State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,08-07-2024,"? 1,200","? 3,300","? 2,950",154
Gujarat,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,10-07-2024,"? 1,500","? 3,800","? 3,050",154
Gujarat,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,13-07-2024,"? 2,000","? 3,800","? 3,100",154
Gujarat,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,26-07-2024,"? 1,200","? 2,800","? 2,150",154
Gujarat,Ahmedabad,Ahmedabad,Cabbage,Other,FAQ,30-07-2024,"? 1,500","? 2,500","? 2,050",154
Gujarat,Ahmedabad,Ahmedabad,Sweet Potato,Other,FAQ,27-07-2024,"? 6,000","? 7,000","? 6,750",152
Gujarat,Ahmedabad,Ahmedabad,Sweet Potato,Other,FAQ,29-07-2024,"? 6,000","? 6,500","? 6,350",152
Gujarat,Ahmedabad,Ahmedabad,Carrot,Other,FAQ,06-07-2024,"? 1,200","? 1,800","? 1,650",153
Gujarat,Ahmedabad,Ahmedabad,Carrot,Other,FAQ,10-07-2024,"? 1,200","? 2,250","? 1,850",153
Gujarat,Ahmedabad,Ahmedabad,Carrot,Other,FAQ,20-07-2024,"? 1,000","? 2,250","? 1,550",153
Gujarat,Ahmedabad,Ahmedabad,Carrot,Other,FAQ,27-07-2024,"? 1,300","? 2,250","? 1,650",153
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,05-07-2024,"? 1,000","? 1,800","? 1,550",157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,01-07-2024,"? 1,200","? 1,800","? 1,500",157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,08-07-2024,"? 1,200","? 1,750","? 1,600",157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,10-07-2024,"? 1,500","? 2,000","? 1,850",157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,18-07-2024,"? 1,000","? 1,500","? 1,350",157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,22-07-2024,? 800,"? 1,800","? 1,650",157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,25-07-2024,? 800,"? 1,800","? 1,500",157
Gujarat,Ahmedabad,Ahmedabad,Beetroot,Other,FAQ,31-07-2024,? 800,"? 1,500","? 1,350",157
