State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Amreli,Amreli,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,01-07-2024,"? 1,845","? 2,315","? 2,175",28
Gujarat,Amreli,Amreli,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,22-07-2024,"? 2,145","? 2,355","? 2,345",28
Gujarat,Amreli,Amreli,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,26-07-2024,"? 2,055","? 2,450","? 2,430",28
Gujarat,Amreli,Amreli,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,29-07-2024,"? 1,555","? 2,420","? 2,325",28
Gujarat,Amreli,Amreli,Maize,Yellow,FAQ,01-07-2024,"? 1,600","? 3,005","? 2,510",4
Gujarat,Amreli,Amreli,Maize,Yellow,FAQ,04-07-2024,"? 2,585","? 2,680","? 2,680",4
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,04-07-2024,"? 13,600","? 15,550","? 14,350",11
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,06-07-2024,"? 15,150","? 15,625","? 15,200",11
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,16-07-2024,"? 13,500","? 15,750","? 15,375",11
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,18-07-2024,"? 14,675","? 16,500","? 15,875",11
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,25-07-2024,"? 15,750","? 17,800","? 16,575",11
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,26-07-2024,"? 15,850","? 18,025","? 16,160",11
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,30-07-2024,"? 14,350","? 16,665","? 16,000",11
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,02-07-2024,"? 11,110","? 12,610","? 12,500",11
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,08-07-2024,"? 11,000","? 12,950","? 12,505",11
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,11-07-2024,"? 9,975","? 12,995","? 12,680",11
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,12-07-2024,"? 8,950","? 13,225","? 12,550",11
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,13-07-2024,"? 8,500","? 12,855","? 12,675",11
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,22-07-2024,"? 7,125","? 12,765","? 12,455",11
Gujarat,Amreli,Amreli,Black Gram (Urd Beans)(Whole),Hybrid,FAQ,15-07-2024,"? 9,500","? 9,500","? 9,500",8
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),FAQ,02-07-2024,"? 4,950","? 6,005","? 5,555",10
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),FAQ,04-07-2024,"? 5,495","? 6,355","? 5,865",10
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),FAQ,05-07-2024,"? 4,000","? 6,190","? 5,915",10
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),FAQ,15-07-2024,"? 5,500","? 6,125","? 5,625",10
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),FAQ,16-07-2024,"? 5,180","? 6,305","? 6,140",10
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),FAQ,19-07-2024,"? 5,525","? 6,455","? 6,005",10
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),FAQ,25-07-2024,"? 5,230","? 6,310","? 6,035",10
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),FAQ,30-07-2024,"? 5,330","? 6,360","? 6,000",10
Gujarat,Amreli,Amreli,Groundnut,Bold,FAQ,10-07-2024,"? 5,500","? 5,930","? 5,835",10
Gujarat,Amreli,Amreli,Groundnut,Bold,FAQ,19-07-2024,"? 5,490","? 6,190","? 5,995",10
Gujarat,Amreli,Amreli,Groundnut,Bold,FAQ,23-07-2024,"? 5,240","? 6,105","? 6,010",10
Gujarat,Amreli,Amreli,Corriander seed,Coriander Seed,FAQ,03-07-2024,"? 4,025","? 6,725","? 6,550",108
Gujarat,Amreli,Amreli,Corriander seed,Coriander Seed,FAQ,04-07-2024,"? 2,650","? 6,500","? 6,050",108
Gujarat,Amreli,Amreli,Corriander seed,Coriander Seed,FAQ,13-07-2024,"? 4,525","? 6,625","? 6,450",108
Gujarat,Amreli,Amreli,Corriander seed,Coriander Seed,FAQ,19-07-2024,"? 4,500","? 6,700","? 6,100",108
Gujarat,Amreli,Amreli,Corriander seed,Coriander Seed,FAQ,20-07-2024,"? 4,050","? 6,760","? 6,500",108
Gujarat,Amreli,Amreli,Corriander seed,Coriander Seed,FAQ,25-07-2024,"? 5,900","? 6,350","? 6,225",108
Gujarat,Amreli,Amreli,Corriander seed,Coriander Seed,FAQ,26-07-2024,"? 4,000","? 6,275","? 6,225",108
Gujarat,Amreli,Amreli,Castor Seed,Castor seed,FAQ,06-07-2024,"? 4,000","? 5,615","? 5,535",123
Gujarat,Amreli,Amreli,Castor Seed,Castor seed,FAQ,12-07-2024,"? 5,640","? 5,800","? 5,800",123
Gujarat,Amreli,Amreli,Castor Seed,Castor seed,FAQ,19-07-2024,"? 5,800","? 5,800","? 5,800",123
Gujarat,Amreli,Amreli,Castor Seed,Castor seed,FAQ,22-07-2024,"? 4,850","? 5,530","? 5,530",123
Gujarat,Amreli,Amreli,Castor Seed,Castor seed,FAQ,30-07-2024,"? 5,050","? 5,785","? 5,760",123
Gujarat,Amreli,Amreli,Mustard,Mustard,FAQ,12-07-2024,"? 3,500","? 4,880","? 4,880",12
Gujarat,Amreli,Amreli,Mustard,Mustard,FAQ,18-07-2024,"? 5,075","? 5,460","? 5,250",12
Gujarat,Amreli,Amreli,Mustard,Mustard,FAQ,11-07-2024,"? 4,700","? 5,700","? 4,710",12
Gujarat,Amreli,Amreli,Mustard,Mustard,FAQ,15-07-2024,"? 3,000","? 5,000","? 4,980",12
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,30-07-2024,"? 8,600","? 13,105","? 12,575",11
Gujarat,Amreli,Amreli,Green Gram (Moong)(Whole),Hybrid,FAQ,05-07-2024,"? 7,360","? 7,815","? 7,815",9
Gujarat,Amreli,Amreli,Green Gram (Moong)(Whole),Hybrid,FAQ,06-07-2024,"? 4,650","? 7,690","? 7,305",9
Gujarat,Amreli,Amreli,Green Gram (Moong)(Whole),Hybrid,FAQ,22-07-2024,"? 7,415","? 8,070","? 7,750",9
Gujarat,Amreli,Amreli,Green Gram (Moong)(Whole),Hybrid,FAQ,29-07-2024,"? 8,145","? 8,145","? 8,145",9
Gujarat,Amreli,Amreli,Jowar(Sorghum),Jowar ( White),FAQ,04-07-2024,"? 3,575","? 4,205","? 4,205",5
Gujarat,Amreli,Amreli,Jowar(Sorghum),Jowar ( White),FAQ,06-07-2024,"? 2,360","? 4,330","? 4,040",5
Gujarat,Amreli,Amreli,Jowar(Sorghum),Jowar ( White),FAQ,16-07-2024,"? 2,000","? 4,125","? 3,925",5
Gujarat,Amreli,Amreli,Jowar(Sorghum),Jowar ( White),FAQ,23-07-2024,"? 2,480","? 4,225","? 3,860",5
Gujarat,Amreli,Amreli,Bengal Gram(Gram)(Whole),Other,FAQ,03-07-2024,"? 5,325","? 6,375","? 6,290",6
Gujarat,Amreli,Amreli,Bengal Gram(Gram)(Whole),Other,FAQ,06-07-2024,"? 5,000","? 6,375","? 6,320",6
Gujarat,Amreli,Amreli,Bengal Gram(Gram)(Whole),Other,FAQ,08-07-2024,"? 4,500","? 6,355","? 6,270",6
