State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Surat,Bardoli,Brinjal,Other,FAQ,11-05-2023,"? 1,800","? 2,000","? 1,850",35
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,01-07-2024,"? 3,000","? 3,750","? 3,500",85
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,09-07-2024,"? 3,000","? 3,500","? 3,250",85
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,10-07-2024,"? 3,000","? 3,800","? 3,500",85
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,12-07-2024,"? 1,850","? 3,500","? 2,500",85
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,13-07-2024,"? 1,850","? 2,850","? 2,500",85
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,15-07-2024,"? 2,500","? 3,500","? 3,000",85
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,18-07-2024,"? 3,250","? 3,700","? 3,500",85
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,23-07-2024,"? 3,500","? 4,000","? 3,750",85
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,FAQ,09-08-2024,"? 3,000","? 4,000","? 3,500",35
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,FAQ,29-08-2024,"? 3,500","? 4,200","? 4,000",35
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,FAQ,06-07-2024,"? 3,200","? 3,700","? 3,500",35
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,FAQ,08-07-2024,"? 3,000","? 3,500","? 3,250",35
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,FAQ,17-07-2024,"? 1,850","? 3,250","? 2,500",35
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,FAQ,26-07-2024,"? 3,000","? 3,750","? 3,500",35
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,02-08-2024,"? 3,500","? 4,200","? 4,000",85
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,22-08-2024,"? 4,000","? 4,800","? 4,500",85
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,23-08-2024,"? 2,550","? 3,250","? 2,850",85
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,09-05-2024,"? 4,000","? 4,500","? 4,250",85
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,14-05-2024,"? 4,000","? 4,500","? 4,250",85
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,18-05-2024,"? 3,500","? 4,200","? 4,000",85
Gujarat,Surat,Bardoli(Katod),Bhindi,Other,FAQ,25-05-2024,"? 4,000","? 4,500","? 4,200",85
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,FAQ,04-06-2024,"? 1,850","? 2,250","? 2,100",35
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,FAQ,07-06-2024,"? 2,000","? 3,000","? 2,250",35
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,FAQ,10-06-2024,"? 1,500","? 2,250","? 1,850",35
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,FAQ,11-06-2024,"? 2,500","? 3,500","? 3,000",35
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,FAQ,18-06-2024,"? 3,200","? 3,400","? 3,250",35
