Rank,Feature,Importance
1,Price_MA_7,0.499481245
2,Price_MA_14,0.247715145
3,Price_Lag_1,0.075178306
4,Month_Commodity_Avg_Price,0.061265711
5,Price_Max_7,0.052963696
6,Price_Change_1d_%,0.013593341
7,Price_Min_7,0.011442508
8,Price_Change_7d_%,0.010877913
9,Month_Cos,0.005975163
10,Min_Price_Lag_1,0.004272925
11,Price_Max_14,0.002079989
12,Max_Price_Lag_1,0.001880619
13,Price_Min_14,0.00156661
14,Price_Std_7,0.000940636
15,Price_Change_30d_%,0.00090199
16,Price_Lag_7,0.000725574
17,Price_Max_30,0.000625684
18,Price_Range,0.000567664
19,Price_Std_14,0.000400852
20,Price_Range_Normalized,0.00027331
21,Price_Volatility_%,0.000271929
22,Max_Price_Lag_7,0.000270194
23,Price_Min_30,0.000236971
24,Min_Price_Lag_14,0.000212168
25,Temp_Min_MA_14,0.000210159
26,Price_Lag_14,0.000195966
27,Price_MA_30,0.000184526
28,Temp_Min_Lag_1,0.000180085
29,Price_Lag_30,0.000173967
30,Max_Price_Lag_14,0.000152832
31,Day_of_Year,0.00015151
32,Temp_Min,0.000149367
33,Temp_Range_30,0.000138945
34,Price_Std_30,0.000138026
35,Min_Price_Lag_7,0.000137253
36,Temp_Max_Lag_1,0.000137146
37,Market_Std_Price,0.000130697
38,Day,0.0001303
39,rain_sum,0.000115206
40,Temp_Min_Lag_7,0.000111519
41,precipitation_sum,0.000110312
42,Temp_Max_MA_14,0.000109808
43,Temp_Max_MA_7,0.000106218
44,Temp_Min_MA_7,0.0001014
45,Temp_Max_MA_30,0.0001005
46,Temp_Mean_Lag_1,0.0000934
47,Wind_Speed_Lag_1,0.0000931
48,Market_Avg_Price,0.0000927
49,temperature_min,0.0000919
50,Max_Price_Lag_30,0.0000908
51,Comm_Market_Std_Price,0.0000895
52,Temp_Min_MA_30,0.000088
53,Temp_Range_7,0.0000865
54,Wind_Speed_MA_7,0.0000861
55,Temp_Mean,0.0000859
56,Temp_Range_14,0.0000843
57,Commodity_Code,0.0000813
58,Rainfall_Lag_1,0.0000805
59,wind_gusts_max,0.00008
60,Commodity_Avg_Price,0.000076
61,Week_of_Year,0.0000752
62,Rainfall_Sum_30,0.0000727
63,Cloud_Cover_Lag_1,0.0000705
64,Rainfall_Lag_7,0.0000703
65,wind_speed_max,0.0000698
66,Temp_Mean_Lag_7,0.0000688
67,Temp_Min_Lag_3,0.0000686
68,Temp_Max_Lag_7,0.0000671
69,Wind_Speed,0.0000667
70,Rainfall_Sum_7,0.0000663
71,Temp_Max_Lag_3,0.0000657
72,temperature_max,0.0000625
73,Commodity_Volatility,0.0000607
74,DayOfWeek_Sin,0.0000592
75,cloud_cover,0.0000592
76,Comm_Market_Records,0.0000574
77,Temp_Max,0.0000568
78,temperature_mean,0.0000566
79,Month,0.0000546
80,Commodity_Max_Price,0.0000522
81,Min_Price_Lag_30,0.0000522
82,Month_Sin,0.0000522
83,DayOfWeek_Cos,0.0000509
84,Temp_Mean_Lag_3,0.0000507
85,Cloud_Cover,0.0000495
86,Is_Weekend,0.0000482
87,Market_Commodity_Count,0.0000479
88,Season,0.0000444
89,Commodity_Std_Price,0.0000443
90,Day_of_Week,0.0000431
91,Commodity_Min_Price,0.0000425
92,Commodity_Encoded,0.0000404
93,Quarter,0.0000376
94,Comm_Market_Avg_Price,0.0000364
95,Market_Encoded,0.000034
96,Year,0.0000311
97,Rainfall,0.0000259
98,Is_Rainy,0.0000146
