Market,Avg_Price,Total_Records,Unique_Commodities
Bardoli(Katod),2788.77,443,2
Bardoli(Madhi),2605.62,48,1
Kosamba,2167.19,16,2
Kosamba(Vankal),2275.0,5,1
Kosamba(Zangvav),2325.0,6,2
Mahuva,2455.33,30,2
Mahuva(Anaval),3358.67,610,3
Mandvi,5894.9,1077,13
Nizar,5396.58,388,9
Nizar(Kukarmuda),4286.16,109,7
Nizar(Pumkitalov),4224.99,107,8
Songadh,6512.77,254,14
Songadh(Badarpada),4721.0,5,1
Songadh(Umrada),2031.6,5,1
Surat,4356.42,10060,40
Uchhal,3154.94,197,5
Valod(Buhari),4166.67,3,2
Vyara(Paati),4201.74,240,3
Vyra,5464.51,1362,13
