Month,Commodity,mean,count
1,Arhar (Tur/Red Gram)(Whole),7205.0,5
1,Banana - Green,1600.0,20
1,Beetroot,1382.61,23
1,Bengal Gram(Gram)(Whole),5111.9,21
1,Bhindi(Ladies Finger),3140.22,69
1,Bitter gourd,3775.0,24
1,Black Gram (Urd Beans)(Whole),7997.5,20
1,Bottle gourd,1934.09,22
1,Brinjal,2636.25,40
1,Cabbage,1253.12,24
1,Capsicum,2542.71,24
1,Carrot,1467.39,23
1,Castor Seed,5100.0,1
1,Cauliflower,2728.26,23
1,Chili Red,3318.8,5
1,Cotton,6881.85,20
1,Cucumbar(Kheera),2132.89,19
1,Drumstick,3763.54,24
1,Elephant Yam (Suran),4173.96,24
1,French Beans (Frasbean),2934.38,24
1,Ginger(Green),6160.87,23
1,Gram Raw(Chholia),5770.83,6
1,Green Chilli,2834.38,24
1,Groundnut,7729.17,12
1,Guar,6000.0,1
1,Indian Beans (Seam),2286.96,23
1,Jowar(Sorghum),2846.88,24
1,Lemon,2813.54,24
1,Little gourd (Kundru),4781.25,24
1,Maize,2180.0,2
1,Mango (Raw-Ripe),15306.82,22
1,Onion,1411.96,23
1,Paddy(Dhan)(Common),1998.23,77
1,Papaya (Raw),695.0,20
1,Pegeon Pea (Arhar Fali),5872.83,23
1,Pointed gourd (Parval),4795.71,42
1,Potato,1581.52,23
1,Pumpkin,1336.96,23
1,Rat Tail Radish (Mogari),4450.0,20
1,Ridgeguard(Tori),3635.53,19
1,"Sesamum(Sesame,Gingelly,Til)",10166.67,3
1,Soyabean,4436.67,15
1,Surat Beans (Papadi),8023.81,21
1,Sweet Potato,2284.78,23
1,Tomato,1767.71,24
1,Turmeric (raw),8847.83,23
1,Yam (Ratalu),9510.42,24
2,Arhar (Tur/Red Gram)(Whole),9007.05,39
2,Banana - Green,1483.0,25
2,Beans,7250.0,5
2,Beetroot,1340.0,25
2,Bengal Gram(Gram)(Whole),5370.19,26
2,Bhindi(Ladies Finger),2918.67,75
2,Bitter gourd,3772.0,25
2,Black Gram (Urd Beans)(Whole),7772.32,28
2,Bottle gourd,2042.0,25
2,Brinjal,1438.89,36
2,Cabbage,1458.33,24
2,Capsicum,3360.42,24
2,Carrot,962.5,24
2,Cauliflower,2175.0,24
2,Chili Red,3215.45,11
2,Cotton,6817.25,20
2,Cucumbar(Kheera),2097.92,24
2,Drumstick,2848.96,24
2,Elephant Yam (Suran),4990.62,24
2,French Beans (Frasbean),2467.71,24
2,Ginger(Green),6154.17,24
2,Gram Raw(Chholia),5856.25,16
2,Green Chilli,3983.33,24
2,Green Gram (Moong)(Whole),7000.0,3
2,Guar,6800.0,15
2,Indian Beans (Seam),1745.83,24
2,Jowar(Sorghum),2254.55,11
2,Lemon,5593.75,24
2,Little gourd (Kundru),5781.25,24
2,Mango (Raw-Ripe),8978.26,23
2,Onion,1365.62,24
2,Paddy(Dhan)(Common),2052.63,65
2,Papaya (Raw),711.46,24
