market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Kosamba(D),21.485,72.963,2024-01-01,29.9,18.0,23.4,0.0,0.0,0,10.7,20.2,0,0
Kosamba(D),21.485,72.963,2024-01-02,29.6,17.6,22.6,0.0,0.0,0,11.4,20.9,0,0
Kosamba(D),21.485,72.963,2024-01-03,28.0,16.3,21.3,0.0,0.0,0,12.2,25.2,1,2
Kosamba(D),21.485,72.963,2024-01-04,28.4,16.5,21.8,0.0,0.0,0,14.4,26.3,3,8
Kosamba(D),21.485,72.963,2024-01-05,27.9,16.5,21.4,0.0,0.0,0,14.9,28.1,0,0
Kosamba(D),21.485,72.963,2024-01-06,29.1,16.5,22.0,0.0,0.0,0,14.8,26.6,3,23
Kosamba(D),21.485,72.963,2024-01-07,29.8,18.2,23.2,0.0,0.0,0,12.4,25.6,3,29
Kosamba(D),21.485,72.963,2024-01-08,31.1,19.7,24.7,0.0,0.0,0,14.5,26.3,1,8
Kosamba(D),21.485,72.963,2024-01-09,29.6,19.8,24.5,0.0,0.0,0,15.2,29.9,3,32
Kosamba(D),21.485,72.963,2024-01-10,30.9,20.5,25.0,0.3,0.3,0,12.6,23.8,51,11
Kosamba(D),21.485,72.963,2024-01-11,30.8,19.8,24.7,0.0,0.0,0,14.1,24.8,0,2
Kosamba(D),21.485,72.963,2024-01-12,32.0,20.0,25.5,0.0,0.0,0,12.6,23.0,2,12
Kosamba(D),21.485,72.963,2024-01-13,31.4,19.8,24.9,0.0,0.0,0,11.1,25.2,0,0
Kosamba(D),21.485,72.963,2024-01-14,29.0,16.7,22.0,0.0,0.0,0,10.8,24.5,0,0
Kosamba(D),21.485,72.963,2024-01-15,27.3,13.8,20.2,0.0,0.0,0,8.5,16.9,0,0
Kosamba(D),21.485,72.963,2024-01-16,27.7,13.2,20.1,0.0,0.0,0,10.4,18.0,3,39
Kosamba(D),21.485,72.963,2024-01-17,27.3,13.9,20.3,0.0,0.0,0,9.7,22.3,3,65
Kosamba(D),21.485,72.963,2024-01-18,28.0,14.3,21.1,0.0,0.0,0,11.5,25.6,2,9
Kosamba(D),21.485,72.963,2024-01-19,29.3,16.1,22.1,0.0,0.0,0,16.4,31.0,1,3
Kosamba(D),21.485,72.963,2024-01-20,27.8,16.1,21.5,0.0,0.0,0,14.1,29.9,3,46
Kosamba(D),21.485,72.963,2024-01-21,28.3,15.3,21.3,0.0,0.0,0,15.6,32.4,3,61
Kosamba(D),21.485,72.963,2024-01-22,28.2,15.1,21.4,0.0,0.0,0,14.4,30.6,3,76
Kosamba(D),21.485,72.963,2024-01-23,27.7,15.2,21.0,0.0,0.0,0,16.3,35.3,2,11
Kosamba(D),21.485,72.963,2024-01-24,28.0,15.1,20.9,0.0,0.0,0,12.5,28.4,0,1
Kosamba(D),21.485,72.963,2024-01-25,29.0,14.2,21.2,0.0,0.0,0,13.5,29.9,3,10
Kosamba(D),21.485,72.963,2024-01-26,30.6,15.7,22.2,0.0,0.0,0,11.5,21.2,3,39
Kosamba(D),21.485,72.963,2024-01-27,31.9,15.6,22.9,0.0,0.0,0,12.9,24.8,3,82
Kosamba(D),21.485,72.963,2024-01-28,31.5,15.6,22.9,0.0,0.0,0,10.5,22.7,3,90
Kosamba(D),21.485,72.963,2024-01-29,29.8,16.6,22.9,0.0,0.0,0,12.3,28.4,3,68
Kosamba(D),21.485,72.963,2024-01-30,29.7,16.2,22.4,0.0,0.0,0,8.8,22.3,3,59
Kosamba(D),21.485,72.963,2024-01-31,30.0,16.9,23.2,0.0,0.0,0,13.7,27.7,3,89
Kosamba(D),21.485,72.963,2024-02-01,29.6,18.0,23.2,0.0,0.0,0,13.3,29.2,3,23
Kosamba(D),21.485,72.963,2024-02-02,29.6,17.2,22.8,0.0,0.0,0,9.1,20.9,3,59
Kosamba(D),21.485,72.963,2024-02-03,33.2,18.8,25.3,0.0,0.0,0,10.2,24.5,3,17
Kosamba(D),21.485,72.963,2024-02-04,34.3,19.2,26.0,0.0,0.0,0,11.3,20.5,0,0
Kosamba(D),21.485,72.963,2024-02-05,32.8,19.7,25.7,0.0,0.0,0,13.4,28.8,0,0
Kosamba(D),21.485,72.963,2024-02-06,32.7,20.0,25.7,0.0,0.0,0,12.7,27.4,3,22
Kosamba(D),21.485,72.963,2024-02-07,31.8,19.8,25.3,0.0,0.0,0,13.8,28.8,3,43
Kosamba(D),21.485,72.963,2024-02-08,30.5,19.5,24.7,0.0,0.0,0,14.1,30.2,3,60
Kosamba(D),21.485,72.963,2024-02-09,30.7,18.4,24.1,0.0,0.0,0,13.7,24.5,3,44
Kosamba(D),21.485,72.963,2024-02-10,30.7,17.1,23.4,0.0,0.0,0,13.8,25.2,0,0
Kosamba(D),21.485,72.963,2024-02-11,31.3,17.4,23.8,0.0,0.0,0,11.2,21.6,3,22
Kosamba(D),21.485,72.963,2024-02-12,31.5,17.7,24.0,0.0,0.0,0,14.4,30.2,3,97
Kosamba(D),21.485,72.963,2024-02-13,31.1,17.9,23.9,0.0,0.0,0,13.0,26.3,3,94
Kosamba(D),21.485,72.963,2024-02-14,31.5,18.2,24.5,0.0,0.0,0,10.9,24.8,3,25
Kosamba(D),21.485,72.963,2024-02-15,33.6,17.8,25.6,0.0,0.0,0,12.6,25.9,0,0
Kosamba(D),21.485,72.963,2024-02-16,36.3,20.9,28.0,0.0,0.0,0,12.7,29.2,1,6
Kosamba(D),21.485,72.963,2024-02-17,36.3,21.9,28.4,0.0,0.0,0,13.0,27.4,3,22
Kosamba(D),21.485,72.963,2024-02-18,35.0,20.4,27.3,0.0,0.0,0,15.5,34.6,3,13
Kosamba(D),21.485,72.963,2024-02-19,34.2,19.7,26.9,0.0,0.0,0,17.1,37.8,3,51
Kosamba(D),21.485,72.963,2024-02-20,32.7,19.5,25.7,0.0,0.0,0,17.4,37.8,3,24
Kosamba(D),21.485,72.963,2024-02-21,30.8,19.9,24.7,0.0,0.0,0,14.0,31.7,3,39
Kosamba(D),21.485,72.963,2024-02-22,30.7,19.0,24.5,0.0,0.0,0,15.1,34.9,3,12
Kosamba(D),21.485,72.963,2024-02-23,30.8,17.8,24.1,0.0,0.0,0,9.2,24.8,3,10
Kosamba(D),21.485,72.963,2024-02-24,31.0,16.7,23.9,0.0,0.0,0,14.3,32.8,0,0
Kosamba(D),21.485,72.963,2024-02-25,32.2,17.4,24.2,0.0,0.0,0,19.6,42.5,3,12
Kosamba(D),21.485,72.963,2024-02-26,36.0,18.5,26.7,0.0,0.0,0,15.6,30.6,3,73
Kosamba(D),21.485,72.963,2024-02-27,35.8,20.3,27.5,0.0,0.0,0,14.4,32.0,1,2
Kosamba(D),21.485,72.963,2024-02-28,36.4,20.2,28.2,0.0,0.0,0,13.5,25.2,0,2
