market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Kosamba,21.4836,72.9612,01-01-2024,29.9,18,23.4,0,0,0,10.7,20.2,0,0
Kosamba,21.4836,72.9612,02-01-2024,29.6,17.6,22.6,0,0,0,11.4,20.9,0,0
Kosamba,21.4836,72.9612,03-01-2024,28,16.3,21.3,0,0,0,12.2,25.2,1,2
Kosamba,21.4836,72.9612,04-01-2024,28.4,16.5,21.8,0,0,0,14.4,26.3,3,8
Kosamba,21.4836,72.9612,05-01-2024,27.9,16.5,21.4,0,0,0,14.9,28.1,0,0
Kosamba,21.4836,72.9612,06-01-2024,29.1,16.5,22,0,0,0,14.8,26.6,3,23
Kosamba,21.4836,72.9612,07-01-2024,29.8,18.2,23.2,0,0,0,12.4,25.6,3,29
Kosamba,21.4836,72.9612,08-01-2024,31.1,19.7,24.7,0,0,0,14.5,26.3,1,8
Kosamba,21.4836,72.9612,09-01-2024,29.6,19.8,24.5,0,0,0,15.2,29.9,3,32
Kosamba,21.4836,72.9612,10-01-2024,30.9,20.5,25,0.3,0.3,0,12.6,23.8,51,11
Kosamba,21.4836,72.9612,11-01-2024,30.8,19.8,24.7,0,0,0,14.1,24.8,0,2
Kosamba,21.4836,72.9612,12-01-2024,32,20,25.5,0,0,0,12.6,23,2,12
Kosamba,21.4836,72.9612,13-01-2024,31.4,19.8,24.9,0,0,0,11.1,25.2,0,0
Kosamba,21.4836,72.9612,14-01-2024,29,16.7,22,0,0,0,10.8,24.5,0,0
Kosamba,21.4836,72.9612,15-01-2024,27.3,13.8,20.2,0,0,0,8.5,16.9,0,0
Kosamba,21.4836,72.9612,16-01-2024,27.7,13.2,20.1,0,0,0,10.4,18,3,39
Kosamba,21.4836,72.9612,17-01-2024,27.3,13.9,20.3,0,0,0,9.7,22.3,3,65
