market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Mahuva(Am),21.0952,71.7733,2024-01-01,30.5,18.7,23.8,0.0,0.0,0,15.6,25.6,0,0
Mahuva(Am),21.0952,71.7733,2024-01-02,30.1,18.3,23.0,0.0,0.0,0,14.4,25.9,0,0
Mahuva(Am),21.0952,71.7733,2024-01-03,29.3,17.0,22.4,0.0,0.0,0,15.5,31.0,0,0
Mahuva(Am),21.0952,71.7733,2024-01-04,29.5,16.9,22.3,0.0,0.0,0,17.9,34.6,1,2
Mahuva(Am),21.0952,71.7733,2024-01-05,29.0,15.7,21.7,0.0,0.0,0,16.0,29.5,1,1
Mahuva(Am),21.0952,71.7733,2024-01-06,29.3,17.1,22.3,0.0,0.0,0,20.0,38.9,3,26
Mahuva(Am),21.0952,71.7733,2024-01-07,29.7,17.8,23.1,0.0,0.0,0,20.9,36.0,3,13
Mahuva(Am),21.0952,71.7733,2024-01-08,30.8,19.8,24.7,0.0,0.0,0,19.2,36.0,2,15
Mahuva(Am),21.0952,71.7733,2024-01-09,30.0,20.4,24.9,0.0,0.0,0,24.2,45.4,3,33
Mahuva(Am),21.0952,71.7733,2024-01-10,31.0,20.0,24.9,0.3,0.3,0,22.3,37.4,51,11
Mahuva(Am),21.0952,71.7733,2024-01-11,31.4,20.1,25.2,0.0,0.0,0,18.1,33.1,0,1
Mahuva(Am),21.0952,71.7733,2024-01-12,31.9,20.9,26.0,0.0,0.0,0,17.5,31.0,2,11
Mahuva(Am),21.0952,71.7733,2024-01-13,32.1,20.0,24.8,0.0,0.0,0,14.2,25.6,0,0
Mahuva(Am),21.0952,71.7733,2024-01-14,30.4,18.7,23.5,0.0,0.0,0,12.8,27.4,0,0
Mahuva(Am),21.0952,71.7733,2024-01-15,28.1,16.9,21.6,0.0,0.0,0,12.2,22.3,0,0
