market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Mandvi,21.2553,73.3041,01-01-2024,31,18.7,24.3,0,0,0,11.6,20.2,0,0
Mandvi,21.2553,73.3041,02-01-2024,30.3,17.9,23.2,0,0,0,11.8,21.2,1,3
Mandvi,21.2553,73.3041,03-01-2024,28.7,16.4,21.9,0,0,0,13.3,25.2,0,1
Mandvi,21.2553,73.3041,04-01-2024,29.2,17.2,22.5,0,0,0,14.2,24.8,2,7
Mandvi,21.2553,73.3041,05-01-2024,28.7,16.8,22,0,0,0,15.5,27,0,1
Mandvi,21.2553,73.3041,06-01-2024,29.5,17.2,22.7,0,0,0,13.8,29.2,3,31
Mandvi,21.2553,73.3041,07-01-2024,28.7,21.1,24,0,0,0,20.6,39.6,3,31
Mandvi,21.2553,73.3041,08-01-2024,30.6,21.3,25,0,0,0,18.4,32.8,1,7
Mandvi,21.2553,73.3041,09-01-2024,30.4,20.3,24.8,0.1,0.1,0,10.8,20.2,51,31
Mandvi,21.2553,73.3041,10-01-2024,31.1,20.7,25.1,0,0,0,12.6,22,1,10
Mandvi,21.2553,73.3041,11-01-2024,31.4,21,25.4,0,0,0,13.7,24.1,0,2
Mandvi,21.2553,73.3041,12-01-2024,32.1,21,26.1,0,0,0,15.5,27.7,3,15
Mandvi,21.2553,73.3041,13-01-2024,31.8,20.2,25.1,0,0,0,11.2,24.1,0,0
Mandvi,21.2553,73.3041,14-01-2024,29.3,17.1,22.2,0,0,0,11.6,23.4,0,0
Mandvi,21.2553,73.3041,15-01-2024,27.6,14.8,20.4,0,0,0,9.8,17.6,0,0
Mandvi,21.2553,73.3041,16-01-2024,27.7,13.8,20.2,0,0,0,9.4,15.8,3,39
Mandvi,21.2553,73.3041,17-01-2024,27.6,14.5,20.6,0,0,0,10,20.5,3,61
Mandvi,21.2553,73.3041,18-01-2024,28,15.4,21.3,0,0,0,10.1,19.1,3,13
Mandvi,21.2553,73.3041,19-01-2024,29,15.6,22.5,0,0,0,17.7,34.6,1,4
Mandvi,21.2553,73.3041,20-01-2024,28.2,15.7,22,0,0,0,15.7,27.4,3,44
