market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Nizar(Kuka),21.375,74.2,2024-01-01,32.1,19.6,24.9,0.0,0.0,0,11.2,25.2,1,2
Nizar(Kuka),21.375,74.2,2024-01-02,31.9,19.1,24.4,0.0,0.0,0,12.5,28.4,1,6
Nizar(Kuka),21.375,74.2,2024-01-03,29.6,18.5,23.5,0.2,0.2,0,10.2,25.2,51,13
Nizar(Kuka),21.375,74.2,2024-01-04,28.0,19.3,22.9,0.4,0.4,0,12.6,28.1,51,14
Nizar(Kuka),21.375,74.2,2024-01-05,28.6,17.6,22.3,0.2,0.2,0,10.5,21.6,51,4
Nizar(Kuka),21.375,74.2,2024-01-06,28.9,17.9,22.7,0.1,0.1,0,16.6,31.3,51,32
Nizar(Kuka),21.375,74.2,2024-01-07,28.1,18.8,22.7,0.5,0.5,0,17.0,35.3,53,39
Nizar(Kuka),21.375,74.2,2024-01-08,30.1,19.1,23.5,0.5,0.5,0,17.7,36.0,51,11
Nizar(Kuka),21.375,74.2,2024-01-09,28.8,19.6,23.8,0.0,0.0,0,13.7,29.9,3,30
Nizar(Kuka),21.375,74.2,2024-01-10,29.9,20.1,24.5,0.0,0.0,0,11.0,25.9,3,23
Nizar(Kuka),21.375,74.2,2024-01-11,30.4,20.0,24.6,0.0,0.0,0,12.2,27.4,1,6
Nizar(Kuka),21.375,74.2,2024-01-12,31.3,20.2,25.3,0.0,0.0,0,13.4,30.2,3,26
Nizar(Kuka),21.375,74.2,2024-01-13,32.6,20.7,25.7,0.0,0.0,0,15.4,30.6,0,0
Nizar(Kuka),21.375,74.2,2024-01-14,30.9,18.7,24.0,0.0,0.0,0,16.5,33.8,0,0
Nizar(Kuka),21.375,74.2,2024-01-15,28.3,14.7,20.8,0.0,0.0,0,9.9,19.8,0,0
Nizar(Kuka),21.375,74.2,2024-01-16,28.7,15.4,21.6,0.0,0.0,0,9.9,20.2,3,41
Nizar(Kuka),21.375,74.2,2024-01-17,28.5,15.6,21.7,0.0,0.0,0,10.5,21.2,3,58
Nizar(Kuka),21.375,74.2,2024-01-18,28.5,16.2,22.0,0.0,0.0,0,8.6,21.2,3,13
Nizar(Kuka),21.375,74.2,2024-01-19,29.1,17.6,22.6,0.0,0.0,0,14.5,30.2,1,4
Nizar(Kuka),21.375,74.2,2024-01-20,28.6,17.3,22.3,0.0,0.0,0,11.5,25.2,3,42
Nizar(Kuka),21.375,74.2,2024-01-21,27.9,16.9,21.6,0.0,0.0,0,12.1,28.4,3,57
Nizar(Kuka),21.375,74.2,2024-01-22,28.2,16.4,21.5,0.0,0.0,0,12.7,28.8,3,65
Nizar(Kuka),21.375,74.2,2024-01-23,27.8,15.8,21.1,0.0,0.0,0,12.4,29.9,3,10
Nizar(Kuka),21.375,74.2,2024-01-24,27.2,14.6,20.3,0.0,0.0,0,11.5,27.7,1,1
Nizar(Kuka),21.375,74.2,2024-01-25,27.8,14.4,20.4,0.0,0.0,0,14.8,32.8,3,10
Nizar(Kuka),21.375,74.2,2024-01-26,28.8,14.9,21.2,0.0,0.0,0,15.5,33.8,3,49
Nizar(Kuka),21.375,74.2,2024-01-27,30.9,16.1,22.8,0.0,0.0,0,15.7,34.2,3,84
Nizar(Kuka),21.375,74.2,2024-01-28,32.0,17.3,23.6,0.0,0.0,0,12.5,28.1,3,90
Nizar(Kuka),21.375,74.2,2024-01-29,30.8,17.1,23.3,0.0,0.0,0,12.0,26.3,3,65
