market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Nizar,21.3733,74.1982,01-01-2024,32.1,19.5,24.9,0,0,0,11.2,25.2,1,2
Nizar,21.3733,74.1982,02-01-2024,31.9,19,24.4,0,0,0,12.5,28.4,1,6
Nizar,21.3733,74.1982,03-01-2024,29.5,18.4,23.5,0.2,0.2,0,10.2,25.2,51,13
Nizar,21.3733,74.1982,04-01-2024,27.9,19.2,22.9,0.4,0.4,0,12.6,28.1,51,14
Nizar,21.3733,74.1982,05-01-2024,28.5,17.6,22.3,0.2,0.2,0,10.5,21.6,51,4
Nizar,21.3733,74.1982,06-01-2024,28.9,17.9,22.7,0.1,0.1,0,16.6,31.3,51,32
Nizar,21.3733,74.1982,07-01-2024,28,18.7,22.7,0.5,0.5,0,17,35.3,53,39
Nizar,21.3733,74.1982,08-01-2024,30.1,19.1,23.5,0.5,0.5,0,17.7,36,51,11
Nizar,21.3733,74.1982,09-01-2024,28.7,19.5,23.8,0,0,0,13.7,29.9,3,30
Nizar,21.3733,74.1982,10-01-2024,29.9,20.1,24.5,0,0,0,11,25.9,3,23
Nizar,21.3733,74.1982,11-01-2024,30.4,19.9,24.5,0,0,0,12.2,27.4,1,6
Nizar,21.3733,74.1982,12-01-2024,31.2,20.1,25.3,0,0,0,13.4,30.2,3,26
Nizar,21.3733,74.1982,13-01-2024,32.5,20.7,25.7,0,0,0,15.4,30.6,0,0
Nizar,21.3733,74.1982,14-01-2024,30.9,18.7,24,0,0,0,16.5,33.8,0,0
Nizar,21.3733,74.1982,15-01-2024,28.3,14.7,20.8,0,0,0,9.9,19.8,0,0
Nizar,21.3733,74.1982,16-01-2024,28.7,15.4,21.6,0,0,0,9.9,20.2,3,41
Nizar,21.3733,74.1982,17-01-2024,28.5,15.6,21.6,0,0,0,10.5,21.2,3,58
Nizar,21.3733,74.1982,18-01-2024,28.5,16.2,22,0,0,0,8.6,21.2,3,13
Nizar,21.3733,74.1982,19-01-2024,29.1,17.5,22.6,0,0,0,14.5,30.2,1,4
Nizar,21.3733,74.1982,20-01-2024,28.5,17.2,22.3,0,0,0,11.5,25.2,3,42
Nizar,21.3733,74.1982,21-01-2024,27.8,16.8,21.6,0,0,0,12.1,28.4,3,57
Nizar,21.3733,74.1982,22-01-2024,28.1,16.3,21.5,0,0,0,12.7,28.8,3,65
Nizar,21.3733,74.1982,23-01-2024,27.8,15.7,21.1,0,0,0,12.4,29.9,3,10
Nizar,21.3733,74.1982,24-01-2024,27.2,14.6,20.3,0,0,0,11.5,27.7,1,1
Nizar,21.3733,74.1982,25-01-2024,27.7,14.4,20.4,0,0,0,14.8,32.8,3,10
Nizar,21.3733,74.1982,26-01-2024,28.8,14.9,21.2,0,0,0,15.5,33.8,3,49
Nizar,21.3733,74.1982,27-01-2024,30.8,16,22.7,0,0,0,15.7,34.2,3,84
Nizar,21.3733,74.1982,28-01-2024,31.9,17.2,23.6,0,0,0,12.5,28.1,3,90
Nizar,21.3733,74.1982,29-01-2024,30.7,17.1,23.3,0,0,0,12,26.3,3,65
Nizar,21.3733,74.1982,30-01-2024,30.4,17.9,23,0,0,0,9.9,22.7,3,46
Nizar,21.3733,74.1982,31-01-2024,29.9,16.9,22.9,0,0,0,14.6,30.6,3,86
Nizar,21.3733,74.1982,01-02-2024,30,17,23,0,0,0,14.2,31.7,3,30
Nizar,21.3733,74.1982,02-02-2024,30.1,17.8,23.6,0,0,0,11.1,22.3,3,35
Nizar,21.3733,74.1982,03-02-2024,32.4,17.7,24.8,0,0,0,12.9,29.9,3,24
Nizar,21.3733,74.1982,04-02-2024,34.1,19.1,26,0,0,0,10.7,25.2,0,0
Nizar,21.3733,74.1982,05-02-2024,33,20.9,26.1,0,0,0,18.4,38.2,0,0
