market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Songadh(B),21.1712,73.565,2024-01-01,31.2,18.7,24.4,0.0,0.0,0,12.4,22.3,0,0
Songadh(B),21.1712,73.565,2024-01-02,30.4,18.4,23.4,0.0,0.0,0,11.3,19.8,3,11
Songadh(B),21.1712,73.565,2024-01-03,29.2,15.9,22.4,0.0,0.0,0,10.3,21.2,1,4
Songadh(B),21.1712,73.565,2024-01-04,29.4,18.2,22.8,0.0,0.0,0,10.5,24.8,2,5
Songadh(B),21.1712,73.565,2024-01-05,28.7,16.8,22.0,0.0,0.0,0,10.9,24.8,2,7
Songadh(B),21.1712,73.565,2024-01-06,28.9,17.7,22.7,0.0,0.0,0,17.3,35.6,3,31
Songadh(B),21.1712,73.565,2024-01-07,27.6,20.3,23.2,0.0,0.0,0,21.3,41.4,3,36
Songadh(B),21.1712,73.565,2024-01-08,30.1,20.4,24.2,0.0,0.0,0,20.5,38.5,1,7
Songadh(B),21.1712,73.565,2024-01-09,28.8,20.6,24.2,0.0,0.0,0,12.2,23.8,3,35
Songadh(B),21.1712,73.565,2024-01-10,30.2,20.5,24.4,0.0,0.0,0,10.6,23.8,3,11
Songadh(B),21.1712,73.565,2024-01-11,30.4,20.8,24.5,0.0,0.0,0,12.1,27.0,0,2
Songadh(B),21.1712,73.565,2024-01-12,31.6,21.0,25.2,0.0,0.0,0,14.7,31.7,2,19
Songadh(B),21.1712,73.565,2024-01-13,31.9,19.2,24.8,0.0,0.0,0,11.5,25.6,0,0
Songadh(B),21.1712,73.565,2024-01-14,29.6,17.4,22.5,0.0,0.0,0,11.3,24.5,0,0
Songadh(B),21.1712,73.565,2024-01-15,27.5,15.2,21.0,0.0,0.0,0,9.5,14.4,0,0
Songadh(B),21.1712,73.565,2024-01-16,27.6,15.7,20.6,0.0,0.0,0,10.9,15.1,3,38
Songadh(B),21.1712,73.565,2024-01-17,27.9,15.4,21.1,0.0,0.0,0,10.5,16.2,3,64
Songadh(B),21.1712,73.565,2024-01-18,27.7,16.8,21.0,0.0,0.0,0,10.4,15.8,3,11
Songadh(B),21.1712,73.565,2024-01-19,28.4,15.8,22.0,0.0,0.0,0,15.6,32.8,2,7
Songadh(B),21.1712,73.565,2024-01-20,28.3,16.4,21.6,0.0,0.0,0,12.3,22.7,3,43
Songadh(B),21.1712,73.565,2024-01-21,27.4,16.0,21.1,0.0,0.0,0,15.3,33.5,3,59
Songadh(B),21.1712,73.565,2024-01-22,28.6,17.1,21.5,0.0,0.0,0,15.5,32.4,3,73
Songadh(B),21.1712,73.565,2024-01-23,26.9,13.8,19.9,0.0,0.0,0,13.1,28.4,3,11
Songadh(B),21.1712,73.565,2024-01-24,26.6,14.3,19.7,0.0,0.0,0,14.0,31.3,1,2
Songadh(B),21.1712,73.565,2024-01-25,27.5,15.8,20.8,0.0,0.0,0,16.6,36.0,3,6
Songadh(B),21.1712,73.565,2024-01-26,28.9,17.2,21.3,0.0,0.0,0,15.9,32.0,3,40
Songadh(B),21.1712,73.565,2024-01-27,30.3,16.9,22.2,0.0,0.0,0,17.3,34.6,3,81
Songadh(B),21.1712,73.565,2024-01-28,30.9,16.6,22.6,0.0,0.0,0,11.8,22.3,3,95
Songadh(B),21.1712,73.565,2024-01-29,29.7,16.0,21.9,0.0,0.0,0,10.5,16.9,3,67
Songadh(B),21.1712,73.565,2024-01-30,28.8,15.4,21.5,0.0,0.0,0,8.0,16.9,3,51
Songadh(B),21.1712,73.565,2024-01-31,29.2,15.1,21.4,0.0,0.0,0,9.3,21.2,3,88
Songadh(B),21.1712,73.565,2024-02-01,28.8,16.1,21.8,0.0,0.0,0,9.4,22.0,3,30
Songadh(B),21.1712,73.565,2024-02-02,28.6,15.1,21.8,0.0,0.0,0,10.3,19.4,3,42
Songadh(B),21.1712,73.565,2024-02-03,31.8,17.9,23.6,0.0,0.0,0,13.2,29.9,3,16
Songadh(B),21.1712,73.565,2024-02-04,32.9,19.4,25.1,0.0,0.0,0,11.4,25.2,0,0
Songadh(B),21.1712,73.565,2024-02-05,31.8,18.1,24.4,0.0,0.0,0,11.3,24.1,0,1
Songadh(B),21.1712,73.565,2024-02-06,32.1,18.2,24.4,0.0,0.0,0,10.2,22.0,2,14
Songadh(B),21.1712,73.565,2024-02-07,31.6,18.5,24.1,0.0,0.0,0,13.2,27.4,3,35
Songadh(B),21.1712,73.565,2024-02-08,29.0,17.6,23.0,0.0,0.0,0,21.0,43.6,3,56
Songadh(B),21.1712,73.565,2024-02-09,29.8,18.9,23.0,0.0,0.0,0,13.9,29.2,3,32
Songadh(B),21.1712,73.565,2024-02-10,29.8,18.3,22.9,0.0,0.0,0,12.1,16.6,0,1
Songadh(B),21.1712,73.565,2024-02-11,29.9,15.6,22.8,0.0,0.0,0,11.5,20.9,3,16
Songadh(B),21.1712,73.565,2024-02-12,30.8,15.7,22.6,0.0,0.0,0,11.9,24.8,3,98
Songadh(B),21.1712,73.565,2024-02-13,30.1,16.4,22.6,0.0,0.0,0,10.7,22.0,3,99
Songadh(B),21.1712,73.565,2024-02-14,30.9,17.5,23.1,0.0,0.0,0,12.0,20.9,3,31
Songadh(B),21.1712,73.565,2024-02-15,31.9,17.1,24.6,0.0,0.0,0,16.4,34.9,0,1
Songadh(B),21.1712,73.565,2024-02-16,33.5,21.0,26.4,0.0,0.0,0,20.8,42.5,3,12
Songadh(B),21.1712,73.565,2024-02-17,35.0,20.8,26.8,0.0,0.0,0,12.3,20.9,3,20
Songadh(B),21.1712,73.565,2024-02-18,34.2,18.4,25.8,0.0,0.0,0,12.1,24.5,3,11
Songadh(B),21.1712,73.565,2024-02-19,33.1,16.9,24.6,0.0,0.0,0,18.0,35.6,3,34
Songadh(B),21.1712,73.565,2024-02-20,32.1,18.1,24.4,0.0,0.0,0,19.0,38.2,3,23
Songadh(B),21.1712,73.565,2024-02-21,29.9,19.6,24.0,0.0,0.0,0,16.2,33.8,3,48
Songadh(B),21.1712,73.565,2024-02-22,29.9,18.7,23.8,0.0,0.0,0,16.3,33.5,3,25
Songadh(B),21.1712,73.565,2024-02-23,29.3,17.1,22.7,0.0,0.0,0,9.4,14.0,0,0
Songadh(B),21.1712,73.565,2024-02-24,29.6,15.6,22.1,0.0,0.0,0,10.1,23.8,0,0
Songadh(B),21.1712,73.565,2024-02-25,30.2,15.3,22.2,0.0,0.0,0,14.8,32.4,3,9
