market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Songadh(U),21.1725,73.5665,2024-01-01,30.6,18.8,24.3,0.0,0.0,0,13.5,22.3,0,0
Songadh(U),21.1725,73.5665,2024-01-02,29.9,19.1,23.7,0.0,0.0,0,13.9,23.4,3,11
Songadh(U),21.1725,73.5665,2024-01-03,28.7,18.1,22.7,0.0,0.0,0,10.0,17.6,2,6
Songadh(U),21.1725,73.5665,2024-01-04,28.7,18.1,22.9,0.0,0.0,0,12.6,25.9,1,4
Songadh(U),21.1725,73.5665,2024-01-05,28.1,18.1,22.3,0.0,0.0,0,10.3,23.4,3,16
Songadh(U),21.1725,73.5665,2024-01-06,28.6,18.8,22.8,0.0,0.0,0,17.5,33.5,3,30
Songadh(U),21.1725,73.5665,2024-01-07,27.2,20.1,23.1,0.1,0.1,0,21.4,39.2,51,40
Songadh(U),21.1725,73.5665,2024-01-08,29.8,20.5,24.0,0.0,0.0,0,21.3,40.3,1,10
Songadh(U),21.1725,73.5665,2024-01-09,28.3,20.5,23.8,0.0,0.0,0,13.0,23.8,3,35
Songadh(U),21.1725,73.5665,2024-01-10,29.5,20.2,24.0,0.0,0.0,0,11.6,23.4,1,11
Songadh(U),21.1725,73.5665,2024-01-11,29.6,20.7,24.1,0.0,0.0,0,11.9,24.8,0,2
Songadh(U),21.1725,73.5665,2024-01-12,30.7,21.0,25.0,0.0,0.0,0,16.1,31.3,2,25
Songadh(U),21.1725,73.5665,2024-01-13,31.6,19.4,24.7,0.0,0.0,0,12.1,22.0,0,0
Songadh(U),21.1725,73.5665,2024-01-14,29.5,18.6,23.2,0.0,0.0,0,10.4,19.4,1,3
Songadh(U),21.1725,73.5665,2024-01-15,26.9,18.1,22.0,0.0,0.0,0,9.9,14.8,0,0
Songadh(U),21.1725,73.5665,2024-01-16,27.2,18.0,21.8,0.0,0.0,0,10.3,14.8,3,40
Songadh(U),21.1725,73.5665,2024-01-17,27.2,17.4,21.8,0.0,0.0,0,10.4,15.8,3,64
Songadh(U),21.1725,73.5665,2024-01-18,26.9,17.9,21.6,0.0,0.0,0,9.2,15.5,3,13
Songadh(U),21.1725,73.5665,2024-01-19,27.5,17.0,21.9,0.0,0.0,0,18.1,34.2,1,5
Songadh(U),21.1725,73.5665,2024-01-20,28.0,16.9,21.7,0.0,0.0,0,12.2,20.9,3,42
Songadh(U),21.1725,73.5665,2024-01-21,27.0,16.7,21.2,0.0,0.0,0,15.2,30.6,3,56
Songadh(U),21.1725,73.5665,2024-01-22,28.0,17.5,21.3,0.0,0.0,0,16.3,31.0,3,66
Songadh(U),21.1725,73.5665,2024-01-23,26.2,14.6,20.9,0.0,0.0,0,12.2,25.6,3,10
Songadh(U),21.1725,73.5665,2024-01-24,26.3,14.6,19.6,0.0,0.0,0,13.5,27.4,1,2
Songadh(U),21.1725,73.5665,2024-01-25,27.2,15.7,20.5,0.0,0.0,0,16.6,32.8,3,8
Songadh(U),21.1725,73.5665,2024-01-26,28.0,17.0,20.8,0.0,0.0,0,15.9,31.0,3,43
Songadh(U),21.1725,73.5665,2024-01-27,30.1,17.0,22.0,0.0,0.0,0,16.5,31.7,3,83
Songadh(U),21.1725,73.5665,2024-01-28,30.3,16.7,22.2,0.0,0.0,0,11.6,20.2,3,95
Songadh(U),21.1725,73.5665,2024-01-29,29.4,19.0,22.8,0.0,0.0,0,10.2,14.0,3,67
