market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Songadh,21.1697,73.5636,01-01-2024,31.2,18.7,24.4,0,0,0,12.4,22.3,0,0
Songadh,21.1697,73.5636,02-01-2024,30.4,18.4,23.4,0,0,0,11.3,19.8,3,11
Songadh,21.1697,73.5636,03-01-2024,29.2,15.9,22.3,0,0,0,10.3,21.2,1,4
Songadh,21.1697,73.5636,04-01-2024,29.4,18.2,22.8,0,0,0,10.5,24.8,2,5
Songadh,21.1697,73.5636,05-01-2024,28.7,16.8,22,0,0,0,10.9,24.8,2,7
Songadh,21.1697,73.5636,06-01-2024,28.9,17.7,22.7,0,0,0,17.3,35.6,3,31
Songadh,21.1697,73.5636,07-01-2024,27.6,20.3,23.2,0,0,0,21.3,41.4,3,36
Songadh,21.1697,73.5636,08-01-2024,30.1,20.4,24.2,0,0,0,20.5,38.5,1,7
Songadh,21.1697,73.5636,09-01-2024,28.8,20.6,24.2,0,0,0,12.2,23.8,3,35
Songadh,21.1697,73.5636,10-01-2024,30.2,20.5,24.4,0,0,0,10.6,23.8,3,11
Songadh,21.1697,73.5636,11-01-2024,30.4,20.8,24.5,0,0,0,12.1,27,0,2
Songadh,21.1697,73.5636,12-01-2024,31.6,21,25.2,0,0,0,14.7,31.7,2,19
Songadh,21.1697,73.5636,13-01-2024,31.9,19.2,24.8,0,0,0,11.5,25.6,0,0
Songadh,21.1697,73.5636,14-01-2024,29.6,17.4,22.5,0,0,0,11.3,24.5,0,0
Songadh,21.1697,73.5636,15-01-2024,27.5,15.2,20.9,0,0,0,9.5,14.4,0,0
Songadh,21.1697,73.5636,16-01-2024,27.6,15.7,20.5,0,0,0,10.9,15.1,3,38
Songadh,21.1697,73.5636,17-01-2024,27.9,15.4,21.1,0,0,0,10.5,16.2,3,64
Songadh,21.1697,73.5636,18-01-2024,27.7,16.8,21,0,0,0,10.4,15.8,3,11
Songadh,21.1697,73.5636,19-01-2024,28.4,15.8,22,0,0,0,15.6,32.8,2,7
Songadh,21.1697,73.5636,20-01-2024,28.3,16.4,21.6,0,0,0,12.3,22.7,3,43
Songadh,21.1697,73.5636,21-01-2024,27.4,16,21.1,0,0,0,15.3,33.5,3,59
Songadh,21.1697,73.5636,22-01-2024,28.6,17.1,21.5,0,0,0,15.5,32.4,3,73
