market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Surat,21.1702,72.8311,2024-01-01,30.6,18.1,23.6,0.0,0.0,0,14.3,29.9,0,0
Surat,21.1702,72.8311,2024-01-02,29.8,17.2,22.6,0.0,0.0,0,13.8,28.4,0,0
Surat,21.1702,72.8311,2024-01-03,29.0,15.8,21.7,0.0,0.0,0,15.5,31.3,0,0
Surat,21.1702,72.8311,2024-01-04,30.0,16.1,22.2,0.0,0.0,0,15.2,27.4,1,2
Surat,21.1702,72.8311,2024-01-05,29.3,16.5,22.0,0.0,0.0,0,16.6,28.8,1,2
Surat,21.1702,72.8311,2024-01-06,30.8,16.6,22.7,0.0,0.0,0,15.9,31.7,3,29
Surat,21.1702,72.8311,2024-01-07,31.2,18.5,24.1,0.0,0.0,0,15.9,33.5,3,42
Surat,21.1702,72.8311,2024-01-08,32.7,20.2,25.4,0.0,0.0,0,15.5,28.4,1,6
Surat,21.1702,72.8311,2024-01-09,31.1,20.2,25.5,0.0,0.0,0,16.6,33.1,3,34
Surat,21.1702,72.8311,2024-01-10,32.1,20.6,25.6,0.2,0.2,0,13.6,24.5,51,7
Surat,21.1702,72.8311,2024-01-11,32.4,20.0,25.4,0.0,0.0,0,15.1,25.6,0,1
Surat,21.1702,72.8311,2024-01-12,33.6,20.5,26.1,0.0,0.0,0,16.5,31.7,2,10
Surat,21.1702,72.8311,2024-01-13,32.2,19.6,25.4,0.0,0.0,0,13.6,29.5,0,0
Surat,21.1702,72.8311,2024-01-14,30.6,17.2,22.7,0.0,0.0,0,12.6,26.6,0,0
Surat,21.1702,72.8311,2024-01-15,27.7,14.3,20.2,0.0,0.0,0,11.0,24.8,0,0
Surat,21.1702,72.8311,2024-01-16,28.0,12.6,19.8,0.0,0.0,0,13.0,26.6,3,37
Surat,21.1702,72.8311,2024-01-17,28.4,13.4,20.2,0.0,0.0,0,12.0,24.5,3,57
Surat,21.1702,72.8311,2024-01-18,28.5,14.7,21.0,0.0,0.0,0,14.6,28.4,3,14
Surat,21.1702,72.8311,2024-01-19,30.8,15.7,22.3,0.0,0.0,0,17.3,32.0,1,5
Surat,21.1702,72.8311,2024-01-20,28.9,16.2,22.0,0.0,0.0,0,17.0,33.5,3,44
Surat,21.1702,72.8311,2024-01-21,29.6,15.6,22.0,0.0,0.0,0,18.6,36.0,3,55
Surat,21.1702,72.8311,2024-01-22,29.9,16.0,22.1,0.0,0.0,0,15.3,31.0,3,73
Surat,21.1702,72.8311,2024-01-23,29.1,14.9,21.5,0.0,0.0,0,19.3,38.5,3,13
Surat,21.1702,72.8311,2024-01-24,29.4,15.1,21.5,0.0,0.0,0,15.1,31.7,0,2
Surat,21.1702,72.8311,2024-01-25,30.0,15.3,21.7,0.0,0.0,0,17.1,35.3,1,4
Surat,21.1702,72.8311,2024-01-26,31.9,15.9,22.7,0.0,0.0,0,11.8,24.1,3,33
Surat,21.1702,72.8311,2024-01-27,33.2,16.1,22.9,0.0,0.0,0,13.9,26.6,3,83
Surat,21.1702,72.8311,2024-01-28,31.7,15.9,23.0,0.0,0.0,0,11.2,25.2,3,85
Surat,21.1702,72.8311,2024-01-29,30.8,16.5,23.0,0.0,0.0,0,13.8,29.9,3,68
Surat,21.1702,72.8311,2024-01-30,30.4,16.0,22.5,0.0,0.0,0,13.0,27.0,3,65
Surat,21.1702,72.8311,2024-01-31,30.5,16.3,23.1,0.0,0.0,0,12.6,27.7,3,81
Surat,21.1702,72.8311,2024-02-01,29.4,18.7,23.7,0.0,0.0,0,11.7,25.6,3,22
Surat,21.1702,72.8311,2024-02-02,30.6,18.3,23.6,0.0,0.0,0,12.3,23.8,3,65
Surat,21.1702,72.8311,2024-02-03,34.6,19.1,25.6,0.0,0.0,0,13.0,28.4,3,11
Surat,21.1702,72.8311,2024-02-04,35.1,18.6,26.2,0.0,0.0,0,11.4,23.8,0,0
Surat,21.1702,72.8311,2024-02-05,33.0,20.3,26.3,0.0,0.0,0,12.0,28.1,2,5
