market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Uchhal,21.385,73.633,01-01-2024,29.7,17.6,23,0,0,0,13,24.5,0,1
Uchhal,21.385,73.633,02-01-2024,29.3,17.2,22.3,0,0,0,13.8,25.9,0,3
Uchhal,21.385,73.633,03-01-2024,28.1,15.7,21,0,0,0,12.4,23.8,2,9
Uchhal,21.385,73.633,04-01-2024,27.4,17,21.2,0,0,0,15.5,33.5,1,6
Uchhal,21.385,73.633,05-01-2024,26.6,15.9,20.4,0,0,0,13.9,25.6,0,1
Uchhal,21.385,73.633,06-01-2024,26.7,16,20.7,0.1,0.1,0,15.8,34.2,51,29
Uchhal,21.385,73.633,07-01-2024,26.2,18.3,21.5,0.1,0.1,0,19.1,41,51,34
Uchhal,21.385,73.633,08-01-2024,27.9,18.6,22.3,0,0,0,20.7,42.8,1,5
Uchhal,21.385,73.633,09-01-2024,27.7,19.7,22.9,0.2,0.2,0,15.9,31.3,51,33
Uchhal,21.385,73.633,10-01-2024,28.2,19.7,23.2,0,0,0,13,28.4,3,13
Uchhal,21.385,73.633,11-01-2024,28.6,19.7,23.2,0,0,0,13.2,28.4,0,3
Uchhal,21.385,73.633,12-01-2024,29.4,19,23.8,0,0,0,16,34.6,2,21
Uchhal,21.385,73.633,13-01-2024,30.5,19.8,23.8,0,0,0,12.5,27.4,0,0
Uchhal,21.385,73.633,14-01-2024,27.6,16.4,21.2,0,0,0,12.7,27.7,0,0
Uchhal,21.385,73.633,15-01-2024,26,14.1,19.3,0,0,0,8.7,15.8,0,0
Uchhal,21.385,73.633,16-01-2024,26.2,13.8,19.4,0,0,0,8.9,16.6,3,41
Uchhal,21.385,73.633,17-01-2024,25.9,14.5,19.6,0,0,0,11.8,21.2,3,60
Uchhal,21.385,73.633,18-01-2024,25.8,14.9,19.8,0,0,0,11.8,21.2,1,10
Uchhal,21.385,73.633,19-01-2024,26.7,15.4,20.6,0,0,0,15.3,33.5,0,2
Uchhal,21.385,73.633,20-01-2024,26.6,14.2,20.2,0,0,0,18,34.2,3,44
Uchhal,21.385,73.633,21-01-2024,25.8,14.6,19.5,0,0,0,14.8,32,3,56
Uchhal,21.385,73.633,22-01-2024,26.7,14.5,19.5,0,0,0,16.9,35.6,3,71
Uchhal,21.385,73.633,23-01-2024,25.6,13.6,19.3,0,0,0,12.7,24.5,3,12
Uchhal,21.385,73.633,24-01-2024,24.6,11.9,18.3,0,0,0,12.4,28.1,0,1
Uchhal,21.385,73.633,25-01-2024,25.4,14.4,19.1,0,0,0,16.8,36,3,7
Uchhal,21.385,73.633,26-01-2024,26.7,15.8,19.8,0,0,0,17.4,36.7,3,43
Uchhal,21.385,73.633,27-01-2024,28.3,16.6,21.4,0,0,0,18.4,38.9,3,78
Uchhal,21.385,73.633,28-01-2024,29.5,16.6,21.9,0,0,0,11.6,24.1,3,94
Uchhal,21.385,73.633,29-01-2024,27.9,16.5,21.2,0,0,0,9.3,18.7,3,63
Uchhal,21.385,73.633,30-01-2024,27.3,15.1,20.6,0,0,0,9.5,16.6,3,55
Uchhal,21.385,73.633,31-01-2024,27.3,15.4,21.1,0,0,0,10.4,23.8,3,88
Uchhal,21.385,73.633,01-02-2024,27.2,15.5,21.2,0,0,0,10.8,21.6,3,41
Uchhal,21.385,73.633,02-02-2024,26.9,14.8,21.1,0,0,0,10.8,19.1,3,48
Uchhal,21.385,73.633,03-02-2024,29.8,16.1,22.2,0,0,0,14.4,31,2,17
Uchhal,21.385,73.633,04-02-2024,30.9,18.2,23.7,0,0,0,10.6,24.1,0,0
Uchhal,21.385,73.633,05-02-2024,30.3,17.5,23.2,0,0,0,12.3,26.6,0,0
Uchhal,21.385,73.633,06-02-2024,30.6,17.6,23.5,0,0,0,10.9,24.5,3,19
Uchhal,21.385,73.633,07-02-2024,29.2,17.8,22.8,0,0,0,14,30.6,3,34
Uchhal,21.385,73.633,08-02-2024,27.1,17,21.2,0,0,0,20.1,42.5,3,49
Uchhal,21.385,73.633,09-02-2024,27.9,17,21.4,0,0,0,16.1,34.6,3,37
Uchhal,21.385,73.633,10-02-2024,28.3,14.9,21.3,0,0,0,14.9,26.3,0,0
Uchhal,21.385,73.633,11-02-2024,28.5,14.5,21.4,0,0,0,14.3,27,3,21
Uchhal,21.385,73.633,12-02-2024,28.5,15.8,21.4,0,0,0,10.6,23.4,3,96
Uchhal,21.385,73.633,13-02-2024,28.6,14.8,21.1,0,0,0,10.6,22,3,97
Uchhal,21.385,73.633,14-02-2024,28.6,16.5,22.1,0,0,0,10,23.8,3,33
Uchhal,21.385,73.633,15-02-2024,30.5,16.1,23,0,0,0,18.3,38.5,0,0
Uchhal,21.385,73.633,16-02-2024,32,20.6,24.9,0,0,0,19.2,40.7,1,5
