market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Valod(Buh),21.1265,73.2095,2024-01-01,31.7,19.4,24.8,0.0,0.0,0,14.2,22.7,0,0
Valod(Buh),21.1265,73.2095,2024-01-02,31.1,18.2,23.8,0.0,0.0,0,15.5,23.8,0,1
Valod(Buh),21.1265,73.2095,2024-01-03,29.6,16.8,22.5,0.0,0.0,0,15.8,25.6,0,0
Valod(Buh),21.1265,73.2095,2024-01-04,30.1,17.1,22.9,0.0,0.0,0,16.6,25.6,2,5
Valod(Buh),21.1265,73.2095,2024-01-05,29.4,17.2,22.6,0.0,0.0,0,18.4,27.7,0,0
Valod(Buh),21.1265,73.2095,2024-01-06,30.3,17.2,23.3,0.0,0.0,0,17.5,32.8,3,32
Valod(Buh),21.1265,73.2095,2024-01-07,29.9,21.0,24.6,0.0,0.0,0,20.5,36.0,3,32
Valod(Buh),21.1265,73.2095,2024-01-08,31.6,21.3,25.7,0.0,0.0,0,19.6,31.3,1,8
Valod(Buh),21.1265,73.2095,2024-01-09,31.4,20.5,25.4,0.0,0.0,0,15.9,25.6,3,29
Valod(Buh),21.1265,73.2095,2024-01-10,32.0,21.5,25.9,0.0,0.0,0,15.2,23.4,1,7
Valod(Buh),21.1265,73.2095,2024-01-11,32.3,21.3,26.0,0.0,0.0,0,17.0,25.9,1,2
Valod(Buh),21.1265,73.2095,2024-01-12,33.4,21.2,26.7,0.0,0.0,0,14.2,27.0,3,14
Valod(Buh),21.1265,73.2095,2024-01-13,33.2,20.8,26.2,0.0,0.0,0,13.4,27.0,0,0
Valod(Buh),21.1265,73.2095,2024-01-14,30.7,18.3,23.7,0.0,0.0,0,13.6,25.9,0,0
Valod(Buh),21.1265,73.2095,2024-01-15,28.7,15.5,21.7,0.0,0.0,0,11.2,20.5,0,0
Valod(Buh),21.1265,73.2095,2024-01-16,28.9,14.4,21.4,0.0,0.0,0,10.6,17.6,3,39
Valod(Buh),21.1265,73.2095,2024-01-17,28.6,15.0,21.7,0.0,0.0,0,11.2,24.8,3,61
Valod(Buh),21.1265,73.2095,2024-01-18,28.9,15.8,22.1,0.0,0.0,0,13.3,21.2,2,12
Valod(Buh),21.1265,73.2095,2024-01-19,31.0,17.2,23.5,0.0,0.0,0,18.4,32.4,1,4
Valod(Buh),21.1265,73.2095,2024-01-20,29.3,16.8,22.8,0.0,0.0,0,16.7,28.1,3,44
Valod(Buh),21.1265,73.2095,2024-01-21,29.6,17.1,22.9,0.0,0.0,0,18.8,34.9,3,58
Valod(Buh),21.1265,73.2095,2024-01-22,30.3,17.3,22.9,0.0,0.0,0,18.4,32.0,3,71
Valod(Buh),21.1265,73.2095,2024-01-23,29.4,16.1,22.4,0.0,0.0,0,16.8,32.4,3,13
Valod(Buh),21.1265,73.2095,2024-01-24,28.7,15.3,21.9,0.0,0.0,0,17.8,33.5,1,3
Valod(Buh),21.1265,73.2095,2024-01-25,30.0,16.2,22.5,0.0,0.0,0,18.5,34.2,1,2
Valod(Buh),21.1265,73.2095,2024-01-26,31.7,17.8,23.7,0.0,0.0,0,16.5,29.2,3,38
Valod(Buh),21.1265,73.2095,2024-01-27,33.5,17.5,24.5,0.0,0.0,0,16.3,30.2,3,81
Valod(Buh),21.1265,73.2095,2024-01-28,33.0,17.5,24.4,0.0,0.0,0,13.7,22.0,3,92
Valod(Buh),21.1265,73.2095,2024-01-29,31.0,17.2,23.7,0.0,0.0,0,12.8,27.7,3,64
Valod(Buh),21.1265,73.2095,2024-01-30,30.8,17.3,23.7,0.0,0.0,0,12.7,19.4,3,60
Valod(Buh),21.1265,73.2095,2024-01-31,30.7,17.8,24.1,0.0,0.0,0,15.8,24.5,3,82
Valod(Buh),21.1265,73.2095,2024-02-01,30.6,19.0,24.2,0.0,0.0,0,14.9,27.4,3,28
Valod(Buh),21.1265,73.2095,2024-02-02,30.5,17.8,24.1,0.0,0.0,0,8.7,22.0,3,41
Valod(Buh),21.1265,73.2095,2024-02-03,34.3,19.5,26.4,0.0,0.0,0,13.8,27.7,2,11
Valod(Buh),21.1265,73.2095,2024-02-04,35.0,20.5,27.4,0.0,0.0,0,12.6,23.0,0,0
Valod(Buh),21.1265,73.2095,2024-02-05,33.9,20.6,26.9,0.0,0.0,0,15.6,27.0,0,1
Valod(Buh),21.1265,73.2095,2024-02-06,34.1,21.6,26.9,0.0,0.0,0,16.0,27.4,3,11
Valod(Buh),21.1265,73.2095,2024-02-07,32.9,20.3,26.3,0.0,0.0,0,17.1,30.2,3,34
Valod(Buh),21.1265,73.2095,2024-02-08,31.4,19.8,25.3,0.0,0.0,0,22.5,40.0,3,58
Valod(Buh),21.1265,73.2095,2024-02-09,32.1,19.3,25.1,0.0,0.0,0,16.1,24.1,3,35
Valod(Buh),21.1265,73.2095,2024-02-10,31.4,17.6,24.4,0.0,0.0,0,15.8,27.0,0,0
Valod(Buh),21.1265,73.2095,2024-02-11,32.0,17.8,24.7,0.0,0.0,0,14.2,21.6,3,14
Valod(Buh),21.1265,73.2095,2024-02-12,32.7,17.5,24.7,0.0,0.0,0,20.9,34.6,3,98
Valod(Buh),21.1265,73.2095,2024-02-13,32.2,18.1,25.0,0.0,0.0,0,16.1,26.6,3,96
Valod(Buh),21.1265,73.2095,2024-02-14,32.6,18.7,25.4,0.0,0.0,0,12.5,26.6,3,35
Valod(Buh),21.1265,73.2095,2024-02-15,34.2,18.1,26.3,0.0,0.0,0,17.5,34.2,0,0
Valod(Buh),21.1265,73.2095,2024-02-16,37.8,22.6,29.2,0.0,0.0,0,23.0,39.6,3,13
Valod(Buh),21.1265,73.2095,2024-02-17,37.4,22.2,29.3,0.0,0.0,0,16.2,26.3,3,22
Valod(Buh),21.1265,73.2095,2024-02-18,36.0,21.2,28.1,0.0,0.0,0,17.8,30.6,3,13
Valod(Buh),21.1265,73.2095,2024-02-19,35.4,19.8,27.1,0.0,0.0,0,23.1,40.7,3,34
Valod(Buh),21.1265,73.2095,2024-02-20,33.7,19.7,25.9,0.0,0.0,0,23.2,41.4,3,24
Valod(Buh),21.1265,73.2095,2024-02-21,30.7,21.2,25.3,0.2,0.2,0,18.1,34.6,51,43
Valod(Buh),21.1265,73.2095,2024-02-22,31.8,21.0,25.4,0.0,0.0,0,18.4,35.3,3,18
Valod(Buh),21.1265,73.2095,2024-02-23,31.2,19.3,24.9,0.0,0.0,0,14.8,21.6,2,4
Valod(Buh),21.1265,73.2095,2024-02-24,31.6,17.7,24.4,0.0,0.0,0,16.2,31.3,0,0
Valod(Buh),21.1265,73.2095,2024-02-25,32.9,17.5,25.2,0.0,0.0,0,19.4,36.4,3,11
