market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Valod,21.125,73.208,01-01-2024,31.7,19.4,24.8,0,0,0,14.2,22.7,0,0
Valod,21.125,73.208,02-01-2024,31.1,18.2,23.8,0,0,0,15.5,23.8,0,1
Valod,21.125,73.208,03-01-2024,29.6,16.8,22.5,0,0,0,15.8,25.6,0,0
Valod,21.125,73.208,04-01-2024,30.1,17.1,22.9,0,0,0,16.6,25.6,2,5
Valod,21.125,73.208,05-01-2024,29.4,17.2,22.6,0,0,0,18.4,27.7,0,0
Valod,21.125,73.208,06-01-2024,30.3,17.2,23.3,0,0,0,17.5,32.8,3,32
Valod,21.125,73.208,07-01-2024,29.9,21,24.6,0,0,0,20.5,36,3,32
Valod,21.125,73.208,08-01-2024,31.6,21.3,25.7,0,0,0,19.6,31.3,1,8
Valod,21.125,73.208,09-01-2024,31.4,20.5,25.4,0,0,0,15.9,25.6,3,29
Valod,21.125,73.208,10-01-2024,32,21.5,25.9,0,0,0,15.2,23.4,1,7
Valod,21.125,73.208,11-01-2024,32.3,21.3,26,0,0,0,17,25.9,1,2
Valod,21.125,73.208,12-01-2024,33.4,21.2,26.7,0,0,0,14.2,27,3,14
Valod,21.125,73.208,13-01-2024,33.2,20.8,26.2,0,0,0,13.4,27,0,0
Valod,21.125,73.208,14-01-2024,30.7,18.3,23.7,0,0,0,13.6,25.9,0,0
Valod,21.125,73.208,15-01-2024,28.7,15.5,21.7,0,0,0,11.2,20.5,0,0
Valod,21.125,73.208,16-01-2024,28.9,14.4,21.4,0,0,0,10.6,17.6,3,39
Valod,21.125,73.208,17-01-2024,28.6,15,21.7,0,0,0,11.2,24.8,3,61
Valod,21.125,73.208,18-01-2024,28.9,15.8,22.1,0,0,0,13.3,21.2,2,12
Valod,21.125,73.208,19-01-2024,31,17.2,23.5,0,0,0,18.4,32.4,1,4
Valod,21.125,73.208,20-01-2024,29.3,16.8,22.8,0,0,0,16.7,28.1,3,44
Valod,21.125,73.208,21-01-2024,29.6,17.1,22.9,0,0,0,18.8,34.9,3,58
Valod,21.125,73.208,22-01-2024,30.3,17.3,22.9,0,0,0,18.4,32,3,71
Valod,21.125,73.208,23-01-2024,29.4,16.1,22.4,0,0,0,16.8,32.4,3,13
Valod,21.125,73.208,24-01-2024,28.7,15.3,21.9,0,0,0,17.8,33.5,1,3
Valod,21.125,73.208,25-01-2024,30,16.2,22.5,0,0,0,18.5,34.2,1,2
Valod,21.125,73.208,26-01-2024,31.7,17.8,23.7,0,0,0,16.5,29.2,3,38
Valod,21.125,73.208,27-01-2024,33.5,17.5,24.5,0,0,0,16.3,30.2,3,81
Valod,21.125,73.208,28-01-2024,33,17.5,24.4,0,0,0,13.7,22,3,92
Valod,21.125,73.208,29-01-2024,31,17.2,23.7,0,0,0,12.8,27.7,3,64
Valod,21.125,73.208,30-01-2024,30.8,17.3,23.7,0,0,0,12.7,19.4,3,60
Valod,21.125,73.208,31-01-2024,30.7,17.8,24.1,0,0,0,15.8,24.5,3,82
Valod,21.125,73.208,01-02-2024,30.6,19,24.2,0,0,0,14.9,27.4,3,28
Valod,21.125,73.208,02-02-2024,30.5,17.8,24.1,0,0,0,8.7,22,3,41
Valod,21.125,73.208,03-02-2024,34.3,19.5,26.4,0,0,0,13.8,27.7,2,11
Valod,21.125,73.208,04-02-2024,35,20.5,27.4,0,0,0,12.6,23,0,0
Valod,21.125,73.208,05-02-2024,33.9,20.6,26.9,0,0,0,15.6,27,0,1
Valod,21.125,73.208,06-02-2024,34.1,21.6,26.9,0,0,0,16,27.4,3,11
Valod,21.125,73.208,07-02-2024,32.9,20.3,26.3,0,0,0,17.1,30.2,3,34
Valod,21.125,73.208,08-02-2024,31.4,19.8,25.3,0,0,0,22.5,40,3,58
Valod,21.125,73.208,09-02-2024,32.1,19.3,25.1,0,0,0,16.1,24.1,3,35
Valod,21.125,73.208,10-02-2024,31.4,17.6,24.4,0,0,0,15.8,27,0,0
Valod,21.125,73.208,11-02-2024,32,17.8,24.7,0,0,0,14.2,21.6,3,14
Valod,21.125,73.208,12-02-2024,32.7,17.5,24.7,0,0,0,20.9,34.6,3,98
Valod,21.125,73.208,13-02-2024,32.2,18.1,25,0,0,0,16.1,26.6,3,96
Valod,21.125,73.208,14-02-2024,32.6,18.7,25.4,0,0,0,12.5,26.6,3,35
Valod,21.125,73.208,15-02-2024,34.2,18.1,26.3,0,0,0,17.5,34.2,0,0
Valod,21.125,73.208,16-02-2024,37.8,22.6,29.2,0,0,0,23,39.6,3,13
Valod,21.125,73.208,17-02-2024,37.4,22.2,29.3,0,0,0,16.2,26.3,3,22
Valod,21.125,73.208,18-02-2024,36,21.2,28.1,0,0,0,17.8,30.6,3,13
Valod,21.125,73.208,19-02-2024,35.4,19.8,27.1,0,0,0,23.1,40.7,3,34
Valod,21.125,73.208,20-02-2024,33.7,19.7,25.9,0,0,0,23.2,41.4,3,24
Valod,21.125,73.208,21-02-2024,30.7,21.2,25.3,0.2,0.2,0,18.1,34.6,51,43
Valod,21.125,73.208,22-02-2024,31.8,21,25.4,0,0,0,18.4,35.3,3,18
Valod,21.125,73.208,23-02-2024,31.2,19.3,24.9,0,0,0,14.8,21.6,2,4
Valod,21.125,73.208,24-02-2024,31.6,17.7,24.4,0,0,0,16.2,31.3,0,0
Valod,21.125,73.208,25-02-2024,32.9,17.5,25.2,0,0,0,19.4,36.4,3,11
Valod,21.125,73.208,26-02-2024,37.2,19.9,28,0,0,0,18.4,32.4,3,72
Valod,21.125,73.208,27-02-2024,36.8,22,29,0,0,0,19.4,34.6,1,4
Valod,21.125,73.208,28-02-2024,36.8,21.3,29.2,0,0,0,18.6,28.8,1,2
Valod,21.125,73.208,29-02-2024,38.4,22.1,30.1,0,0,0,21.7,33.1,1,8
Valod,21.125,73.208,01-03-2024,36.8,23.5,29.2,0,0,0,21.7,37.1,1,5
Valod,21.125,73.208,02-03-2024,33.1,22.2,26.6,0,0,0,24.3,43.9,2,9
Valod,21.125,73.208,03-03-2024,28.9,19.8,24.3,0.6,0.6,0,18.7,33.1,51,8
Valod,21.125,73.208,04-03-2024,30.5,15.9,23.2,0,0,0,11.5,21.2,0,0
Valod,21.125,73.208,05-03-2024,33.2,17,24.6,0,0,0,17.6,31.3,2,2
Valod,21.125,73.208,06-03-2024,34.3,17.4,25.4,0,0,0,16.8,31,3,15
Valod,21.125,73.208,07-03-2024,34.3,19.2,26.8,0,0,0,12.2,22.3,3,53
Valod,21.125,73.208,08-03-2024,34.7,19.5,27.3,0,0,0,15.8,27,0,0
Valod,21.125,73.208,09-03-2024,35.5,21.3,27.7,0,0,0,19.1,32.8,3,20
Valod,21.125,73.208,10-03-2024,35.7,19.8,27.3,0,0,0,19.3,36.4,3,13
Valod,21.125,73.208,11-03-2024,36.9,21.5,28.9,0,0,0,14.5,25.2,0,0
Valod,21.125,73.208,12-03-2024,36.7,21.8,29.2,0,0,0,18.1,31,0,0
Valod,21.125,73.208,13-03-2024,36,22.1,28.4,0,0,0,16.2,29.9,0,1
Valod,21.125,73.208,14-03-2024,34.9,20.7,27.3,0,0,0,16.9,28.8,0,0
