market_name_lookup,latitude_lookup,longitude_lookup,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,cloud_cover_mean
Vyara(Pan),21.115,73.393,2024-01-01,31.4,18.7,24.2,0.0,0.0,0,13.0,24.1,0,1
Vyara(Pan),21.115,73.393,2024-01-02,30.7,17.2,23.3,0.0,0.0,0,12.1,23.8,0,2
Vyara(Pan),21.115,73.393,2024-01-03,29.0,16.3,22.1,0.0,0.0,0,12.8,25.2,0,1
Vyara(Pan),21.115,73.393,2024-01-04,29.4,16.6,22.5,0.0,0.0,0,13.6,24.5,1,5
Vyara(Pan),21.115,73.393,2024-01-05,28.8,16.4,22.1,0.0,0.0,0,14.4,25.9,1,2
Vyara(Pan),21.115,73.393,2024-01-06,29.4,17.4,22.9,0.1,0.1,0,15.6,34.2,51,32
Vyara(Pan),21.115,73.393,2024-01-07,28.8,20.5,23.7,0.0,0.0,0,20.0,40.3,3,33
Vyara(Pan),21.115,73.393,2024-01-08,30.7,20.6,24.8,0.0,0.0,0,18.5,33.8,1,6
Vyara(Pan),21.115,73.393,2024-01-09,30.4,20.4,24.8,0.1,0.1,0,9.7,22.3,51,32
Vyara(Pan),21.115,73.393,2024-01-10,30.9,20.6,25.2,0.0,0.0,0,11.4,22.0,1,9
Vyara(Pan),21.115,73.393,2024-01-11,31.3,20.8,25.3,0.0,0.0,0,13.0,26.3,0,2
Vyara(Pan),21.115,73.393,2024-01-12,32.4,21.0,26.1,0.0,0.0,0,13.6,29.9,3,17
Vyara(Pan),21.115,73.393,2024-01-13,32.3,19.5,25.2,0.0,0.0,0,12.1,27.4,0,0
Vyara(Pan),21.115,73.393,2024-01-14,29.7,17.2,22.6,0.0,0.0,0,11.4,25.6,0,0
Vyara(Pan),21.115,73.393,2024-01-15,27.9,14.1,20.4,0.0,0.0,0,8.4,21.6,0,0
Vyara(Pan),21.115,73.393,2024-01-16,28.0,13.0,20.1,0.0,0.0,0,9.0,18.4,3,38
Vyara(Pan),21.115,73.393,2024-01-17,27.9,13.8,20.6,0.0,0.0,0,10.2,21.6,3,57
Vyara(Pan),21.115,73.393,2024-01-18,28.1,15.5,21.5,0.0,0.0,0,11.6,19.8,3,10
Vyara(Pan),21.115,73.393,2024-01-19,29.1,15.3,22.2,0.0,0.0,0,15.1,32.8,2,5
Vyara(Pan),21.115,73.393,2024-01-20,28.5,16.0,22.1,0.0,0.0,0,16.8,29.9,3,42
Vyara(Pan),21.115,73.393,2024-01-21,28.6,16.2,21.9,0.0,0.0,0,16.3,35.6,3,56
Vyara(Pan),21.115,73.393,2024-01-22,29.4,17.1,22.1,0.0,0.0,0,16.9,34.9,3,74
Vyara(Pan),21.115,73.393,2024-01-23,28.1,15.2,21.0,0.0,0.0,0,12.8,29.5,3,11
Vyara(Pan),21.115,73.393,2024-01-24,27.6,15.1,20.9,0.0,0.0,0,16.3,36.0,1,3
Vyara(Pan),21.115,73.393,2024-01-25,28.9,15.9,21.5,0.0,0.0,0,16.6,36.4,2,4
Vyara(Pan),21.115,73.393,2024-01-26,30.4,17.5,22.5,0.0,0.0,0,15.6,31.3,3,39
Vyara(Pan),21.115,73.393,2024-01-27,32.0,17.0,23.4,0.0,0.0,0,15.4,30.6,3,82
Vyara(Pan),21.115,73.393,2024-01-28,32.3,16.6,23.3,0.0,0.0,0,11.7,24.1,3,93
Vyara(Pan),21.115,73.393,2024-01-29,30.2,15.1,22.3,0.0,0.0,0,9.4,23.8,3,68
Vyara(Pan),21.115,73.393,2024-01-30,30.0,15.4,22.3,0.0,0.0,0,9.9,18.4,3,55
Vyara(Pan),21.115,73.393,2024-01-31,29.9,14.8,22.2,0.0,0.0,0,9.0,23.8,3,82
Vyara(Pan),21.115,73.393,2024-02-01,29.7,17.5,23.0,0.0,0.0,0,11.9,23.8,3,30
Vyara(Pan),21.115,73.393,2024-02-02,29.5,16.0,22.6,0.0,0.0,0,8.0,22.3,3,40
Vyara(Pan),21.115,73.393,2024-02-03,33.0,18.4,25.0,0.0,0.0,0,13.1,29.2,3,14
Vyara(Pan),21.115,73.393,2024-02-04,34.2,19.8,26.3,0.0,0.0,0,12.4,24.5,0,0
Vyara(Pan),21.115,73.393,2024-02-05,33.0,19.5,25.7,0.0,0.0,0,12.6,28.8,1,2
