,count,unique,top,freq,mean,min,25%,50%,75%,max,std
State,20983,1,Gujarat,20983,,,,,,,
District,20983,1,Ahmedabad,20983,,,,,,,
Market,20983,7,Ahmedabad (Vasana),17814,,,,,,,
Commodity,20983,60,Potato,1540,,,,,,,
Variety,20983,25,Other,16350,,,,,,,
Arrival_Date,20983,,,,2024-01-30 09:25:25.063146496,2023-01-02 00:00:00,2023-08-08 00:00:00,2024-02-15 00:00:00,2024-07-24 00:00:00,2024-12-31 00:00:00,
Min_Price,20983.0,,,,3063.8436353238335,200.0,1000.0,1675.0,3500.0,52505.0,4241.641590440456
Max_Price,20983.0,,,,4650.60806367059,0.0,2000.0,3175.0,5687.5,62755.0,4868.661675166057
Modal_Price,20983.0,,,,4023.686603440881,300.0,1650.0,2650.0,4850.0,57630.0,4522.889363251918
Commodity_Code,20983.0,,,,141.72630224467426,1.0,42.0,103.0,174.0,413.0,113.14320552438657
