,count,unique,top,freq,mean,min,25%,50%,75%,max,std
State,35559,1,Gujarat,35559,,,,,,,
District,35559,1,Amreli,35559,,,,,,,
Market,35559,8,Amreli,8708,,,,,,,
Commodity,35559,50,Wheat,3494,,,,,,,
Variety,35559,76,Other,4627,,,,,,,
Arrival_Date,35559,,,,2024-01-08 15:56:57.767653632,2023-01-01 00:00:00,2023-07-12 00:00:00,2024-01-12 00:00:00,2024-07-03 00:00:00,2024-12-31 00:00:00,
Min_Price,35559.0,,,,5600.067099749712,200.0,2600.0,4800.0,6500.0,60000.0,4482.24147626524
Max_Price,35559.0,,,,6978.395089850671,0.0,3500.0,5995.0,7950.0,61500.0,5486.692265138319
Modal_Price,35559.0,,,,6461.166230771394,250.0,3050.0,5535.0,7363.0,61500.0,5100.106771143986
Commodity_Code,35559.0,,,,49.23088388312382,1.0,9.0,15.0,49.0,413.0,74.81745609422632
