State,District,Market,Commodity,Variety,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Amreli,Amreli,Bajra,Hybrid,2024-07-01,1845,2315,2175,28
Gujarat,Amreli,Amreli,Bajra,Hybrid,2024-07-22,2145,2355,2345,28
Gujarat,Amreli,Amreli,Bajra,Hybrid,2024-07-26,2055,2450,2430,28
Gujarat,Amreli,Amreli,Bajra,Hybrid,2024-07-29,1555,2420,2325,28
Gujarat,Amreli,Amreli,Maize,Yellow,2024-07-01,1600,3005,2510,4
Gujarat,Amreli,Amreli,Maize,Yellow,2024-07-04,2585,2680,2680,4
Gujarat,Amreli,Amreli,Til,Black,2024-07-04,13600,15550,14350,11
Gujarat,Amreli,Amreli,Til,Black,2024-07-06,15150,15625,15200,11
Gujarat,Amreli,Amreli,Til,Black,2024-07-16,13500,15750,15375,11
Gujarat,Amreli,Amreli,Til,Black,2024-07-18,14675,16500,15875,11
Gujarat,Amreli,Amreli,Til,Black,2024-07-25,15750,17800,16575,11
Gujarat,Amreli,Amreli,Til,Black,2024-07-26,15850,18025,16160,11
Gujarat,Amreli,Amreli,Til,Black,2024-07-30,14350,16665,16000,11
Gujarat,Amreli,Amreli,Til,White,2024-07-02,11110,12610,12500,11
Gujarat,Amreli,Amreli,Til,White,2024-07-08,11000,12950,12505,11
Gujarat,Amreli,Amreli,Til,White,2024-07-11,9975,12995,12680,11
Gujarat,Amreli,Amreli,Til,White,2024-07-12,8950,13225,12550,11
Gujarat,Amreli,Amreli,Til,White,2024-07-13,8500,12855,12675,11
Gujarat,Amreli,Amreli,Til,White,2024-07-22,7125,12765,12455,11
Gujarat,Amreli,Amreli,Urd Beans,Hybrid,2024-07-15,9500,9500,9500,8
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),2024-07-02,4950,6005,5555,10
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),2024-07-04,5495,6355,5865,10
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),2024-07-05,4000,6190,5915,10
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),2024-07-15,5500,6125,5625,10
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),2024-07-16,5180,6305,6140,10
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),2024-07-19,5525,6455,6005,10
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),2024-07-25,5230,6310,6035,10
Gujarat,Amreli,Amreli,Groundnut,Big (With Shell),2024-07-30,5330,6360,6000,10
Gujarat,Amreli,Amreli,Groundnut,Bold,2024-07-10,5500,5930,5835,10
Gujarat,Amreli,Amreli,Groundnut,Bold,2024-07-19,5490,6190,5995,10
Gujarat,Amreli,Amreli,Groundnut,Bold,2024-07-23,5240,6105,6010,10
Gujarat,Amreli,Amreli,Coriander (seed),Coriander Seed,2024-07-03,4025,6725,6550,108
Gujarat,Amreli,Amreli,Coriander (seed),Coriander Seed,2024-07-04,2650,6500,6050,108
Gujarat,Amreli,Amreli,Coriander (seed),Coriander Seed,2024-07-13,4525,6625,6450,108
Gujarat,Amreli,Amreli,Coriander (seed),Coriander Seed,2024-07-19,4500,6700,6100,108
Gujarat,Amreli,Amreli,Coriander (seed),Coriander Seed,2024-07-20,4050,6760,6500,108
Gujarat,Amreli,Amreli,Coriander (seed),Coriander Seed,2024-07-25,5900,6350,6225,108
Gujarat,Amreli,Amreli,Coriander (seed),Coriander Seed,2024-07-26,4000,6275,6225,108
Gujarat,Amreli,Amreli,Castor Seed,Castor seed,2024-07-06,4000,5615,5535,123
Gujarat,Amreli,Amreli,Castor Seed,Castor seed,2024-07-12,5640,5800,5800,123
Gujarat,Amreli,Amreli,Castor Seed,Castor seed,2024-07-19,5800,5800,5800,123
Gujarat,Amreli,Amreli,Castor Seed,Castor seed,2024-07-22,4850,5530,5530,123
Gujarat,Amreli,Amreli,Castor Seed,Castor seed,2024-07-30,5050,5785,5760,123
Gujarat,Amreli,Amreli,Mustard,Mustard,2024-07-12,3500,4880,4880,12
Gujarat,Amreli,Amreli,Mustard,Mustard,2024-07-18,5075,5460,5250,12
Gujarat,Amreli,Amreli,Mustard,Mustard,2024-07-11,4700,5700,4710,12
Gujarat,Amreli,Amreli,Mustard,Mustard,2024-07-15,3000,5000,4980,12
Gujarat,Amreli,Amreli,Til,White,2024-07-30,8600,13105,12575,11
Gujarat,Amreli,Amreli,Moong,Hybrid,2024-07-05,7360,7815,7815,9
Gujarat,Amreli,Amreli,Moong,Hybrid,2024-07-06,4650,7690,7305,9
Gujarat,Amreli,Amreli,Moong,Hybrid,2024-07-22,7415,8070,7750,9
Gujarat,Amreli,Amreli,Moong,Hybrid,2024-07-29,8145,8145,8145,9
Gujarat,Amreli,Amreli,Jowar,Jowar ( White),2024-07-04,3575,4205,4205,5
Gujarat,Amreli,Amreli,Jowar,Jowar ( White),2024-07-06,2360,4330,4040,5
Gujarat,Amreli,Amreli,Jowar,Jowar ( White),2024-07-16,2000,4125,3925,5
Gujarat,Amreli,Amreli,Jowar,Jowar ( White),2024-07-23,2480,4225,3860,5
Gujarat,Amreli,Amreli,Bengal Gram,Other,2024-07-03,5325,6375,6290,6
Gujarat,Amreli,Amreli,Bengal Gram,Other,2024-07-06,5000,6375,6320,6
Gujarat,Amreli,Amreli,Bengal Gram,Other,2024-07-08,4500,6355,6270,6
Gujarat,Amreli,Amreli,Bengal Gram,Other,2024-07-11,5305,6325,6255,6
Gujarat,Amreli,Amreli,Bengal Gram,Other,2024-07-15,5450,6645,6325,6
Gujarat,Amreli,Amreli,Bengal Gram,Other,2024-07-18,4700,6600,6295,6
Gujarat,Amreli,Amreli,Bengal Gram,Other,2024-07-25,5900,6650,6470,6
Gujarat,Amreli,Amreli,Soyabean,Soyabeen,2024-07-03,3250,4250,4225,13
Gujarat,Amreli,Amreli,Soyabean,Soyabeen,2024-07-09,4185,4285,4220,13
Gujarat,Amreli,Amreli,Soyabean,Soyabeen,2024-07-13,3375,4220,4195,13
Gujarat,Amreli,Amreli,Soyabean,Soyabeen,2024-07-20,3775,4250,4195,13
Gujarat,Amreli,Amreli,Soyabean,Soyabeen,2024-07-29,4080,4130,4100,13
Gujarat,Amreli,Amreli,Cotton,Other,2024-07-01,4445,7575,7295,15
Gujarat,Amreli,Amreli,Cotton,Other,2024-07-03,4500,7615,7240,15
Gujarat,Amreli,Amreli,Cotton,Other,2024-07-08,4500,7655,7340,15
Gujarat,Amreli,Amreli,Cotton,Other,2024-07-16,4750,7920,7430,15
Gujarat,Amreli,Amreli,Cotton,Other,2024-07-24,5000,7900,7315,15
Gujarat,Amreli,Amreli,Cotton,Other,2024-07-30,4260,7835,7305,15
Gujarat,Amreli,Amreli,Wheat,Lokwan,2024-07-06,2225,2805,2645,1
Gujarat,Amreli,Amreli,Wheat,Rajasthan Tukdi,2024-07-08,2335,2865,2755,1
Gujarat,Amreli,Amreli,Wheat,Rajasthan Tukdi,2024-07-11,2460,2905,2750,1
Gujarat,Amreli,Amreli,Wheat,Rajasthan Tukdi,2024-07-15,2350,3060,2760,1
Gujarat,Amreli,Amreli,Wheat,Rajasthan Tukdi,2024-07-19,2285,2965,2800,1
Gujarat,Amreli,Amreli,Wheat,Rajasthan Tukdi,2024-07-31,2435,3000,2755,1
Gujarat,Amreli,Amreli,Ground Nut Seed,Ground Nut Seed,2024-07-01,6750,9500,8000,268
Gujarat,Amreli,Amreli,Ground Nut Seed,Ground Nut Seed,2024-07-03,6500,9475,8000,268
Gujarat,Amreli,Amreli,Ground Nut Seed,Ground Nut Seed,2024-07-10,6500,8550,7625,268
Gujarat,Amreli,Amreli,Ground Nut Seed,Ground Nut Seed,2024-07-12,6500,8350,7510,268
Gujarat,Amreli,Amreli,Ground Nut Seed,Ground Nut Seed,2024-07-13,6500,8180,7675,268
Gujarat,Amreli,Amreli,Ground Nut Seed,Ground Nut Seed,2024-07-15,6500,8200,7750,268
Gujarat,Amreli,Amreli,Ground Nut Seed,Ground Nut Seed,2024-07-19,6500,8250,7800,268
Gujarat,Amreli,Amreli,Ground Nut Seed,Ground Nut Seed,2024-07-23,6625,7830,7125,268
Gujarat,Amreli,Amreli,Ground Nut Seed,Ground Nut Seed,2024-07-25,6500,8380,7860,268
Gujarat,Amreli,Amreli,Ground Nut Seed,Ground Nut Seed,2024-07-26,6500,8425,8250,268
Gujarat,Amreli,Amreli,Ground Nut Seed,Ground Nut Seed,2024-07-27,6500,8380,8000,268
Gujarat,Amreli,Amreli,Arhar,Hybrid,2024-07-25,5100,11280,10700,49
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),2024-07-12,6250,7850,7250,314
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),2024-07-13,5950,7750,7255,314
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),2024-07-15,6375,7950,7505,314
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),2024-07-19,5500,7855,7500,314
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),2024-07-25,6000,7875,7455,314
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),2024-07-27,5550,8030,7000,314
Gujarat,Amreli,Amreli,Groundnut (Split),Groundnut(Split),2024-07-29,5630,6880,6500,314
Gujarat,Amreli,Amreli,Til,Black,2024-08-09,13600,17840,16750,11
Gujarat,Amreli,Amreli,Cotton,Other,2024-08-06,4620,7730,7420,15
Gujarat,Amreli,Amreli,Cotton,Other,2024-08-08,4300,7780,7315,15
Gujarat,Amreli,Amreli,Cotton,Other,2024-08-13,4410,7710,7425,15
Gujarat,Amreli,Amreli,Cotton,Other,2024-08-14,4960,7720,7385,15
Gujarat,Amreli,Amreli,Cotton,Other,2024-08-17,4710,7825,7350,15
Gujarat,Amreli,Amreli,Soyabean,Soyabeen,2024-08-01,3740,4095,4090,13
Gujarat,Amreli,Amreli,Soyabean,Soyabeen,2024-08-02,3945,4105,4085,13
Gujarat,Amreli,Amreli,Soyabean,Soyabeen,2024-08-21,3750,4020,4000,13
Gujarat,Amreli,Amreli,Soyabean,Soyabeen,2024-08-30,4015,4050,4050,13
Gujarat,Amreli,Amreli,Jeera,Jeera,2024-08-20,14500,22650,21750,42
Gujarat,Amreli,Amreli,Bengal Gram,Other,2024-08-07,6575,6880,6755,6
Gujarat,Amreli,Amreli,Bengal Gram,Other,2024-08-08,6125,7010,6865,6
Gujarat,Amreli,Amreli,Bengal Gram,Other,2024-08-14,5225,7270,6990,6
