,count,unique,top,freq,mean,min,25%,50%,75%,max,std
State,28007,1,Gujarat,28007,,,,,,,
District,28007,1,Surat,28007,,,,,,,
Market,28007,20,Surat,19755,,,,,,,
Commodity,28007,68,Paddy(Dhan),1759,,,,,,,
Variety,28007,42,Other,24771,,,,,,,
Arrival_Date,28007,,,,2024-01-19 01:08:53.823686656,2023-01-01 00:00:00,2023-07-18 00:00:00,2024-01-29 00:00:00,2024-07-08 00:00:00,2024-12-31 00:00:00,
Min_Price,28007.0,,,,3198.838576070268,100.0,1500.0,2250.0,4250.0,25000.0,2641.6870424477734
Max_Price,28007.0,,,,5082.543792623273,0.0,2300.0,4000.0,7000.0,40000.0,3692.0846502718764
Modal_Price,28007.0,,,,4141.238083336309,450.0,1950.0,3250.0,5750.0,32500.0,3042.2674493650966
Commodity_Code,28007.0,,,,139.64608847788054,1.0,34.0,90.0,297.0,414.0,115.01809842852622
