Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,92,"[0.0, 0.01, 0.01]"
Date ,object,366,0,366,"['01-01-2024', '02-01-2024', '03-01-2024']"
dewpt (°C),float64,366,0,176,"[15.8, 15.3, 12.5]"
dhi (W/m²),int64,366,0,17,"[40, 40, 40]"
dni (W/m²),int64,366,0,111,"[331, 331, 331]"
ghi (W/m²),int64,366,0,154,"[204, 205, 205]"
max_dhi (W/m²),int64,366,0,16,"[114, 114, 114]"
max_dni (W/m²),int64,366,0,55,"[901, 902, 902]"
max_ghi (W/m²),int64,366,0,205,"[730, 731, 733]"
max_temp (°C),float64,366,0,102,"[27.4, 25.0, 26.0]"
max_uv (Index),float64,366,0,96,"[5.8, 5.9, 5.7]"
max_wind_dir (°),int64,366,0,191,"[89, 61, 88]"
max_wind_spd (m/s),float64,366,0,59,"[3.8, 4.1, 4.5]"
min_temp (°C),float64,366,0,39,"[15.2, 16.0, 14.0]"
precip (mm),float64,366,0,56,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,56,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,24,"[1009, 1009, 1008]"
rh (%),float64,366,0,74,"[0.74, 0.75, 0.67]"
slp (hPa),int64,366,0,24,"[1014, 1014, 1013]"
solar_rad (W/m²),int64,366,0,199,"[204, 205, 205]"
temp (°C),float64,366,0,153,"[20.9, 20.0, 19.5]"
wind_dir (°),int64,366,0,191,"[89, 61, 88]"
wind_gust_spd (m/s),float64,366,0,42,"[4.8, 6.0, 6.8]"
wind_spd (m/s),float64,366,0,44,"[2.1, 2.7, 2.9]"
market_name (Text),object,366,0,1,"['Ahmedabad_Chimanbhai_Patal_Market_Vasana', 'Ahmedabad_Chimanbhai_Patal_Market_Vasana', 'Ahmedabad_Chimanbhai_Patal_Market_Vasana']"
query_lat (°),float64,366,0,1,"[22.99697686, 22.99697686, 22.99697686]"
query_lon (°),float64,366,0,1,"[72.53639246, 72.53639246, 72.53639246]"
