,count,unique,top,freq,mean,std,min,25%,50%,75%,max
clouds (%),366.0,,,,0.363688524590164,0.30990639546505966,0.0,0.05,0.34,0.575,1.0
Date ,366,366,01-01-2024,1,,,,,,,
dewpt (°C),366.0,,,,16.431147540983606,6.886302647937711,-1.0,11.025,15.9,23.3,25.8
dhi (W/m²),366.0,,,,49.06284153005465,5.618841747951004,40.0,44.0,50.0,55.0,56.0
dni (W/m²),366.0,,,,392.3633879781421,38.61764340188063,330.0,355.25,398.5,431.0,440.0
ghi (W/m²),366.0,,,,297.5273224043716,58.13572279708584,202.0,241.0,311.5,354.75,364.0
max_dhi (W/m²),366.0,,,,122.54098360655738,4.755641277616969,113.0,119.0,125.0,126.0,128.0
max_dni (W/m²),366.0,,,,930.8633879781421,15.662989217575376,899.0,921.0,935.0,940.0,953.0
max_ghi (W/m²),366.0,,,,937.74043715847,120.12794938468738,724.0,825.0,989.0,1047.0,1058.0
max_temp (°C),366.0,,,,33.870765027322406,4.870069951339297,23.0,30.0,33.8,37.0,46.2
max_uv (Index),366.0,,,,7.133879781420765,2.7368214193473253,2.2,5.1,6.75,9.2,12.1
max_wind_dir (°),366.0,,,,191.44535519125682,68.13046322653719,34.0,147.5,207.0,244.0,314.0
max_wind_spd (m/s),366.0,,,,4.4338797814207656,1.3348848297870377,2.0,3.525,4.3,5.175,12.5
min_temp (°C),366.0,,,,22.7844262295082,5.260507092986847,12.0,18.0,25.0,27.0,31.0
precip (mm),366.0,,,,3.1327868852459013,10.162963454848917,0.0,0.0,0.0,0.5,75.5
precip_gpm (mm/hr),366.0,,,,3.1327868852459013,10.162963454848917,0.0,0.0,0.0,0.5,75.5
pres (hPa),366.0,,,,1003.0437158469946,5.72696112165072,990.0,999.0,1003.0,1008.0,1013.0
rh (%),366.0,,,,0.552431693989071,0.1863075656545816,0.18,0.41,0.52,0.72,0.94
slp (hPa),366.0,,,,1007.8333333333334,5.81703528813252,995.0,1003.25,1008.0,1013.0,1018.0
solar_rad (W/m²),366.0,,,,232.827868852459,87.27092371064249,34.0,187.5,235.5,302.75,364.0
temp (°C),366.0,,,,27.722950819672132,4.6606564336040925,17.9,23.9,28.3,30.5,37.9
wind_dir (°),366.0,,,,191.44535519125682,68.13046322653719,34.0,147.5,207.0,244.0,314.0
wind_gust_spd (m/s),366.0,,,,7.8513661202185805,2.1121139945236655,3.6,6.4,7.6,9.3,16.4
wind_spd (m/s),366.0,,,,2.5931693989071043,0.9046196862244615,0.9,1.9,2.5,3.1,6.8
market_name (Text),366,1,Ahmedabad_Chimanbhai_Patal_Market_Vasana,366,,,,,,,
query_lat (°),366.0,,,,22.99697685999999,1.0672731243145123e-14,22.99697686,22.99697686,22.99697686,22.99697686,22.99697686
query_lon (°),366.0,,,,72.53639246,0.0,72.53639246,72.53639246,72.53639246,72.53639246,72.53639246
