clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,15.8,40,331,204,114,901,730,27.4,5.8,89,3.8,15.2,0.0,0.0,1009,0.74,1014,204,20.9,89,4.8,2.1,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.01,2024-02-01,15.3,40,331,205,114,902,731,25.0,5.9,61,4.1,16.0,0.0,0.0,1009,0.75,1014,205,20.0,61,6.0,2.7,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.01,2024-03-01,12.5,40,331,205,114,902,733,26.0,5.7,88,4.5,14.0,0.0,0.0,1008,0.67,1013,205,19.5,88,6.8,2.9,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.0,2024-04-01,11.9,40,332,206,114,903,734,25.6,5.9,78,5.0,14.0,0.0,0.0,1009,0.67,1014,206,18.8,78,7.6,3.1,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.15,2024-05-01,10.5,40,332,207,114,903,736,25.4,5.9,86,4.6,13.0,0.0,0.0,1008,0.62,1013,204,18.6,86,6.8,2.8,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.01,2024-06-01,10.5,40,332,207,114,903,737,23.0,6.0,46,5.9,13.0,0.0,0.0,1011,0.63,1016,207,17.9,46,8.2,4.1,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.3,2024-07-01,12.3,40,333,208,114,904,739,25.2,5.7,52,7.5,13.0,0.0,0.0,1011,0.66,1016,208,19.0,52,9.2,4.5,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.35,2024-08-01,15.4,41,333,209,114,905,741,25.4,4.3,111,5.7,16.0,0.0,0.0,1010,0.73,1015,199,20.6,111,7.2,3.5,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.4,2024-09-01,14.8,41,334,209,115,905,743,27.2,4.9,167,3.8,18.0,0.0,0.0,1010,0.64,1015,208,22.3,167,8.8,2.2,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
0.08,2024-10-01,14.5,41,334,210,115,906,745,25.4,5.8,63,6.3,17.0,0.0,0.0,1011,0.67,1016,210,20.9,63,8.0,3.4,Ahmedabad_Chimanbhai_Patal_Market_Vasana,22.99697686,72.53639246
