,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.6676847524289331,0.48111201930091396,0.4722306232727138,0.503166437939497,0.4421690339593346,0.272741250188761,0.4896348003369455,-0.1257447684526725,-0.5290809529625015,0.1656973379883836,0.25480215728075184,0.41393061375209145,0.5052555097143259,0.5052555097143259,-0.6383646835138452,0.7025330430415215,-0.6312245553959994,-0.5927797422734755,0.15301010654063327,0.1656973379883836,0.4469845334133322,0.26918870193949584,,
dewpt (°C),0.6676847524289331,1.0,0.572938168091331,0.5695615587345991,0.5977970016474087,0.49138978847351933,0.25238321689437593,0.5736418116064306,0.23652246291571535,-0.2096432371273143,0.20068458687373172,0.20799558089633643,0.7333918494843591,0.3619814514407856,0.3619814514407856,-0.7701781475134907,0.7975121006095112,-0.7733401610812481,-0.23925653070226036,0.49227604937848296,0.20068458687373172,0.3670009429372418,0.28030984241958673,,
dhi (W/m²),0.48111201930091396,0.572938168091331,1.0,0.9982019737464838,0.9969943694776594,0.9483577503749497,0.7969133398794351,0.9843944337920117,0.6801791954576969,0.334412846065466,0.5180290481365216,0.3415004994432407,0.8715876857681697,0.22178899517028305,0.22178899517028305,-0.8379530806771975,0.12848691164773315,-0.8416718693842702,0.2066798289679411,0.8351338691334012,0.5180290481365216,0.48976733927437976,0.39091856130453595,,
dni (W/m²),0.4722306232727138,0.5695615587345991,0.9982019737464838,1.0,0.9968409034176212,0.9445673867362593,0.7895586437583751,0.9820542452499441,0.6877901250521566,0.3395960105617786,0.5118869123963058,0.33720584620949395,0.8730007218731912,0.2144483807365225,0.2144483807365225,-0.8375425410618343,0.12128180617927004,-0.8413311969686075,0.2122422668237958,0.8391625649460419,0.5118869123963058,0.48661391234089757,0.38626803333485527,,
ghi (W/m²),0.503166437939497,0.5977970016474087,0.9969943694776594,0.9968409034176212,1.0,0.9569436500770757,0.8062529519623303,0.9912690981908007,0.667244207331292,0.3124467678534842,0.5241250701642237,0.3299576301911537,0.8790686306414256,0.23138412236651107,0.23138412236651107,-0.8429765370891527,0.16048135844801398,-0.8470044764545436,0.1882217544120093,0.8320271295312353,0.5241250701642237,0.4830859325338215,0.3777539417986518,,
max_dhi (W/m²),0.4421690339593346,0.49138978847351933,0.9483577503749497,0.9445673867362593,0.9569436500770757,1.0,0.9369607137875761,0.984295017074848,0.6621613367176037,0.35233275863718666,0.596659387324037,0.24361941171357523,0.822811247492929,0.20144070218765658,0.20144070218765658,-0.7148897833316862,0.05982950505100526,-0.7205913418104256,0.23088708084825024,0.8111184024647352,0.596659387324037,0.3793353908621134,0.25852776367840713,,
max_dni (W/m²),0.272741250188761,0.25238321689437593,0.7969133398794351,0.7895586437583751,0.8062529519623303,0.9369607137875761,1.0,0.8692235576371207,0.6172777776401908,0.42319644964883496,0.616661096928126,0.1318470470868802,0.6535792880416638,0.10558474084769935,0.10558474084769935,-0.462961451800557,-0.14364447550565368,-0.4700614060074016,0.3150468199991364,0.7084967647224814,0.616661096928126,0.21849955344226873,0.10862157137954148,,
max_ghi (W/m²),0.4896348003369455,0.5736418116064306,0.9843944337920117,0.9820542452499441,0.9912690981908007,0.984295017074848,0.8692235576371207,1.0,0.668491898550953,0.323171060779039,0.5619842360713042,0.29352522620152177,0.8715122141082476,0.2279853725001096,0.2279853725001096,-0.8028798844059315,0.13576873327853098,-0.8077456373509464,0.20057838609907527,0.8331700746308943,0.5619842360713042,0.44315862400510275,0.3293252570726127,,
max_temp (°C),-0.1257447684526725,0.23652246291571535,0.6801791954576969,0.6877901250521566,0.667244207331292,0.6621613367176037,0.6172777776401908,0.668491898550953,1.0,0.7090829612490008,0.47962664412438355,0.04383426519581158,0.7636223438984443,-0.17595918116538872,-0.17595918116538872,-0.4552440079561124,-0.3756131700312646,-0.46534633888230736,0.6550108087715717,0.9373815324715506,0.47962664412438355,0.10848205947781976,0.08229132998956486,,
max_uv (Index),-0.5290809529625015,-0.2096432371273143,0.334412846065466,0.3395960105617786,0.3124467678534842,0.35233275863718666,0.42319644964883496,0.323171060779039,0.7090829612490008,1.0,0.3273178976921237,0.06104367895671221,0.31211892741852654,-0.3077884581409373,-0.3077884581409373,-0.009883441463739207,-0.627581131056002,-0.019985539146309263,0.9389348028014868,0.550999202085687,0.3273178976921237,-0.026170719083017092,0.04975839183530747,,
max_wind_dir (°),0.1656973379883836,0.20068458687373172,0.5180290481365216,0.5118869123963058,0.5241250701642237,0.596659387324037,0.616661096928126,0.5619842360713042,0.47962664412438355,0.3273178976921237,1.0,-0.1157456015273536,0.4880977759843456,0.0863275734073926,0.0863275734073926,-0.33585526498263635,-0.09548757265747293,-0.345944146088785,0.2687672373715058,0.5289323651415393,1.0,0.024764793018599112,-0.09835581455111733,,
