Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds (%),0,0.00%,0,-0.7374999999999998,1.3624999999999998
dewpt (°C),0,0.00%,0,-7.387500000000001,41.712500000000006
dhi (W/m²),0,0.00%,0,27.5,71.5
dni (W/m²),0,0.00%,0,241.625,544.625
ghi (W/m²),0,0.00%,0,70.375,525.375
max_dhi (W/m²),0,0.00%,0,108.5,136.5
max_dni (W/m²),0,0.00%,0,892.5,968.5
max_ghi (W/m²),0,0.00%,0,492.0,1380.0
max_temp (°C),0,0.00%,0,19.5,47.5
max_uv (Index),0,0.00%,0,-1.0499999999999998,15.349999999999998
max_wind_dir (°),0,0.00%,0,2.75,388.75
max_wind_spd (m/s),5,1.37%,3,1.0500000000000003,7.6499999999999995
min_temp (°C),0,0.00%,0,4.5,40.5
precip (mm),81,22.13%,11,-0.75,1.25
precip_gpm (mm/hr),81,22.13%,11,-0.75,1.25
pres (hPa),0,0.00%,0,985.5,1021.5
rh (%),0,0.00%,0,-0.05499999999999999,1.185
slp (hPa),0,0.00%,0,988.625,1027.625
solar_rad (W/m²),0,0.00%,0,14.625,475.625
temp (°C),0,0.00%,0,13.999999999999996,40.400000000000006
wind_dir (°),0,0.00%,0,2.75,388.75
wind_gust_spd (m/s),3,0.82%,3,2.05,13.650000000000002
wind_spd (m/s),4,1.09%,2,0.09999999999999964,4.9
query_lat (°),0,0.00%,0,22.99697686,22.99697686
query_lon (°),0,0.00%,0,72.53639246,72.53639246
