Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,87,"[0.0, 0.0, 0.0]"
Date ,object,366,0,366,"['01-01-2024', '02-01-2024', '03-01-2024']"
dewpt (°C),float64,366,0,161,"[12.3, 13.4, 11.2]"
dhi (W/m²),int64,366,0,15,"[41, 41, 41]"
dni (W/m²),int64,366,0,102,"[336, 336, 336]"
ghi (W/m²),int64,366,0,142,"[213, 213, 214]"
max_dhi (W/m²),int64,366,0,14,"[115, 115, 115]"
max_dni (W/m²),int64,366,0,50,"[909, 909, 909]"
max_ghi (W/m²),int64,366,0,193,"[752, 753, 754]"
max_temp (°C),float64,366,0,45,"[28.9, 27.8, 27.4]"
max_uv (Index),float64,366,0,94,"[6.1, 6.2, 6.2]"
max_wind_dir (°),int64,366,0,189,"[303, 259, 87]"
max_wind_spd (m/s),float64,366,0,19,"[2.8, 3.2, 3.6]"
min_temp (°C),float64,366,0,50,"[15.9, 15.6, 14.1]"
precip (mm),float64,366,0,54,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,54,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,22,"[1002, 1001, 1001]"
rh (%),float64,366,0,71,"[0.57, 0.64, 0.59]"
slp (hPa),int64,366,0,22,"[1014, 1014, 1014]"
solar_rad (W/m²),int64,366,0,213,"[213, 213, 214]"
temp (°C),float64,366,0,133,"[21.9, 21.3, 20.3]"
wind_dir (°),int64,366,0,189,"[303, 259, 87]"
wind_gust_spd (m/s),float64,366,0,31,"[6.4, 6.4, 8.0]"
wind_spd (m/s),float64,366,0,48,"[2.2, 2.3, 2.5]"
market_name (Text),object,366,0,1,"['Amreli', 'Amreli', 'Amreli']"
query_lat (°),float64,366,0,1,"[21.55933861, 21.55933861, 21.55933861]"
query_lon (°),float64,366,0,1,"[71.22743026, 71.22743026, 71.22743026]"
