,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.6013609047522814,0.4074459779816761,0.3904228772684435,0.43211559233788016,0.3345698928101001,0.14521011483348237,0.4167657091242856,-0.20248198536394937,-0.6449963021127907,0.15197926628877298,0.3449875717580171,0.43503132068450595,0.4323655670957043,0.4323655670957043,-0.6184355448313605,0.6582786706021926,-0.6151254915648654,-0.7223686949922633,0.15304652715495282,0.15197926628877298,0.3330852955750129,0.3132645408597051,,
dewpt (°C),0.6013609047522814,1.0,0.5864131822757507,0.5841439242141135,0.6139010013207491,0.48036605058744264,0.19577328717802162,0.5912577569050087,0.20731194173694623,-0.19083191745092162,0.22968054913652786,0.33130645094375716,0.7840273851863598,0.31318815165521274,0.31318815165521274,-0.7851112734108066,0.8161976018120995,-0.7838894319372471,-0.22902776469080036,0.5551909073645307,0.22968054913652786,0.26829619361310697,0.26691094670691556,,
dhi (W/m²),0.4074459779816761,0.5864131822757507,1.0,0.9978686048460245,0.9965684745362534,0.9362429902437459,0.7412647926176529,0.9839919059377225,0.6589046297121203,0.34122126631236505,0.5814122124935129,0.5618571834207552,0.8928712530825826,0.17422507890683725,0.17422507890683725,-0.8013242866715933,0.1453972032317913,-0.8102541462944256,0.2020725758543513,0.8652418502738426,0.5814122124935129,0.5038193446822393,0.4976280388948196,,
dni (W/m²),0.3904228772684435,0.5841439242141135,0.9978686048460245,1.0,0.99583962992086,0.9327766045734279,0.7360489796590828,0.9816397843802692,0.67563512426817,0.3578507953118082,0.5731137331565349,0.5650460514822266,0.8980844178291862,0.16881877125120018,0.16881877125120018,-0.8024013142465128,0.1336983191067735,-0.8120936581756779,0.21803184913399942,0.8758405869862168,0.5731137331565349,0.5067913899244831,0.5004844067285326,,
ghi (W/m²),0.43211559233788016,0.6139010013207491,0.9965684745362534,0.99583962992086,1.0,0.9430910386246664,0.7456589018822409,0.9905163690812598,0.6430199422555498,0.3178398501046755,0.5859964613608842,0.5566339089356848,0.9052155442449971,0.18984325170482327,0.18984325170482327,-0.8120969402802023,0.18086984422629923,-0.8209740141197404,0.18107213659709914,0.8646237431223043,0.5859964613608842,0.4968798153897508,0.49537058446853527,,
max_dhi (W/m²),0.3345698928101001,0.48036605058744264,0.9362429902437459,0.9327766045734279,0.9430910386246664,1.0,0.9158018116953104,0.9767067794595182,0.6723862608919906,0.38860972285174245,0.630361156630535,0.42040503197547113,0.8388978918023536,0.14175187806803144,0.14175187806803144,-0.6371707216612494,0.04539050893489258,-0.6498575008997545,0.255634798915175,0.8470750076202777,0.630361156630535,0.36105674073544786,0.3685300341212834,,
max_dni (W/m²),0.14521011483348237,0.19577328717802162,0.7412647926176529,0.7360489796590828,0.7456589018822409,0.9158018116953104,1.0,0.8195609020788899,0.6470494972040539,0.45621376016516174,0.5970732232720052,0.21577365752713853,0.6248807846313246,0.05609557649389027,0.05609557649389027,-0.3263747914188008,-0.19823277020143495,-0.3424521650206591,0.340809545513314,0.7148899540120246,0.5970732232720052,0.17674910383096126,0.18318981471830098,,
max_ghi (W/m²),0.4167657091242856,0.5912577569050087,0.9839919059377225,0.9816397843802692,0.9905163690812598,0.9767067794595182,0.8195609020788899,1.0,0.652383437561421,0.33016571331566225,0.6063467372629292,0.5042100993313248,0.899841192301212,0.1851890118516361,0.1851890118516361,-0.7653503488407493,0.15741309063366465,-0.7758091721005241,0.1950111106649969,0.8689911197437268,0.6063467372629292,0.44285386414912925,0.4464672669185136,,
max_temp (°C),-0.20248198536394937,0.20731194173694623,0.6589046297121203,0.67563512426817,0.6430199422555498,0.6723862608919906,0.6470494972040539,0.652383437561421,1.0,0.741485374380434,0.4193194684251392,0.14578534911157442,0.6703400981774301,-0.18341439228592266,-0.18341439228592266,-0.304433885001658,-0.3805506426945475,-0.32606895626175103,0.6787595851137336,0.8983588138872255,0.4193194684251392,0.09234237287456831,0.09785380561101668,,
max_uv (Index),-0.6449963021127907,-0.19083191745092162,0.34122126631236505,0.3578507953118082,0.3178398501046755,0.38860972285174245,0.45621376016516174,0.33016571331566225,0.741485374380434,1.0,0.32031459407100943,0.059963963856331445,0.24148329278122588,-0.308266251132623,-0.308266251132623,0.05899318244680537,-0.6004349304751556,0.04588039213436065,0.9345873942284647,0.5216751018302749,0.32031459407100943,0.022757405372140084,0.0422545962994676,,
max_wind_dir (°),0.15197926628877298,0.22968054913652786,0.5814122124935129,0.5731137331565349,0.5859964613608842,0.630361156630535,0.5970732232720052,0.6063467372629292,0.4193194684251392,0.32031459407100943,1.0,0.2014084334326641,0.48076671385155806,0.09692067086868447,0.09692067086868447,-0.3730719010399265,-0.039703506596789555,-0.378466315206915,0.23155367225278464,0.5143846340348236,1.0,0.1318917596317824,0.20370834146581393,,
max_wind_spd (m/s),0.3449875717580171,0.33130645094375716,0.5618571834207552,0.5650460514822266,0.5566339089356848,0.42040503197547113,0.21577365752713853,0.5042100993313248,0.14578534911157442,0.059963963856331445,0.2014084334326641,1.0,0.45302655524675706,0.23178947687157683,0.23178947687157683,-0.616686365924828,0.1837513889989127,-0.6125901455032065,-0.055653249129730305,0.339198055528097,0.20140843343266404,0.9398819158113875,0.9300076442160717,,
min_temp (°C),0.43503132068450595,0.7840273851863598,0.8928712530825826,0.8980844178291862,0.9052155442449971,0.8388978918023536,0.6248807846313246,0.899841192301212,0.6703400981774301,0.24148329278122588,0.48076671385155806,0.45302655524675706,1.0,0.1902112669797197,0.1902112669797197,-0.8054024165736899,0.3231458086709747,-0.8171664149002681,0.14271774444678015,0.9232177200469838,0.4807667138515582,0.384767138304105,0.387563363290573,,
precip (mm),0.4323655670957043,0.31318815165521274,0.17422507890683725,0.16881877125120018,0.18984325170482327,0.14175187806803144,0.05609557649389027,0.1851890118516361,-0.18341439228592266,-0.308266251132623,0.09692067086868447,0.23178947687157683,0.1902112669797197,1.0,1.0,-0.3557844260944658,0.4086264055184458,-0.3550819040733926,-0.4406943996948341,0.021089378058967982,0.09692067086868447,0.21989228905634284,0.21151346601959106,,
precip_gpm (mm/hr),0.4323655670957043,0.31318815165521274,0.17422507890683725,0.16881877125120018,0.18984325170482327,0.14175187806803144,0.05609557649389027,0.1851890118516361,-0.18341439228592266,-0.308266251132623,0.09692067086868447,0.23178947687157683,0.1902112669797197,1.0,1.0,-0.3557844260944658,0.4086264055184458,-0.3550819040733926,-0.4406943996948341,0.021089378058967982,0.09692067086868447,0.21989228905634284,0.21151346601959106,,
pres (hPa),-0.6184355448313605,-0.7851112734108066,-0.8013242866715933,-0.8024013142465128,-0.8120969402802023,-0.6371707216612494,-0.3263747914188008,-0.7653503488407493,-0.304433885001658,0.05899318244680537,-0.3730719010399265,-0.616686365924828,-0.8054024165736899,-0.3557844260944658,-0.3557844260944658,1.0,-0.5430119911405247,0.9961358127207108,0.17622488966746805,-0.6235476960690222,-0.37307190103992677,-0.5637135369442261,-0.5623209482016726,,
rh (%),0.6582786706021926,0.8161976018120995,0.1453972032317913,0.1336983191067735,0.18086984422629923,0.04539050893489258,-0.19823277020143495,0.15741309063366465,-0.3805506426945475,-0.6004349304751556,-0.039703506596789555,0.1837513889989127,0.3231458086709747,0.4086264055184458,0.4086264055184458,-0.5430119911405247,1.0,-0.5302736628301653,-0.6010880508808557,-0.013680444918745932,-0.039703506596789555,0.15171282167149908,0.14562680410515444,,
slp (hPa),-0.6151254915648654,-0.7838894319372471,-0.8102541462944256,-0.8120936581756779,-0.8209740141197404,-0.6498575008997545,-0.3424521650206591,-0.7758091721005241,-0.32606895626175103,0.04588039213436065,-0.378466315206915,-0.6125901455032065,-0.8171664149002681,-0.3550819040733926,-0.3550819040733926,0.9961358127207108,-0.5302736628301653,1.0,0.16449989342459911,-0.6410883843921694,-0.37846631520691487,-0.5590443796344294,-0.5584815131085331,,
solar_rad (W/m²),-0.7223686949922633,-0.22902776469080036,0.2020725758543513,0.21803184913399942,0.18107213659709914,0.255634798915175,0.340809545513314,0.1950111106649969,0.6787595851137336,0.9345873942284647,0.23155367225278464,-0.055653249129730305,0.14271774444678015,-0.4406943996948341,-0.4406943996948341,0.17622488966746805,-0.6010880508808557,0.16449989342459911,1.0,0.4274756420361897,0.2315536722527846,-0.0805140076783957,-0.06437267889426297,,
temp (°C),0.15304652715495282,0.5551909073645307,0.8652418502738426,0.8758405869862168,0.8646237431223043,0.8470750076202777,0.7148899540120246,0.8689911197437268,0.8983588138872255,0.5216751018302749,0.5143846340348236,0.339198055528097,0.9232177200469838,0.021089378058967982,0.021089378058967982,-0.6235476960690222,-0.013680444918745932,-0.6410883843921694,0.4274756420361897,1.0,0.5143846340348236,0.27191618534547907,0.27979221582198377,,
wind_dir (°),0.15197926628877298,0.22968054913652786,0.5814122124935129,0.5731137331565349,0.5859964613608842,0.630361156630535,0.5970732232720052,0.6063467372629292,0.4193194684251392,0.32031459407100943,1.0,0.20140843343266404,0.4807667138515582,0.09692067086868447,0.09692067086868447,-0.37307190103992677,-0.039703506596789555,-0.37846631520691487,0.2315536722527846,0.5143846340348236,1.0,0.1318917596317824,0.20370834146581393,,
wind_gust_spd (m/s),0.3330852955750129,0.26829619361310697,0.5038193446822393,0.5067913899244831,0.4968798153897508,0.36105674073544786,0.17674910383096126,0.44285386414912925,0.09234237287456831,0.022757405372140084,0.1318917596317824,0.9398819158113875,0.384767138304105,0.21989228905634284,0.21989228905634284,-0.5637135369442261,0.15171282167149908,-0.5590443796344294,-0.0805140076783957,0.27191618534547907,0.1318917596317824,1.0,0.9184232747059462,,
wind_spd (m/s),0.3132645408597051,0.26691094670691556,0.4976280388948196,0.5004844067285326,0.49537058446853527,0.3685300341212834,0.18318981471830098,0.4464672669185136,0.09785380561101668,0.0422545962994676,0.20370834146581393,0.9300076442160717,0.387563363290573,0.21151346601959106,0.21151346601959106,-0.5623209482016726,0.14562680410515444,-0.5584815131085331,-0.06437267889426297,0.27979221582198377,0.20370834146581393,0.9184232747059462,1.0,,
query_lat (°),,,,,,,,,,,,,,,,,,,,,,,,,
query_lon (°),,,,,,,,,,,,,,,,,,,,,,,,,
