,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),366.0,0.375,0.3701711932724738,0.0,0.02,0.25,0.7375,1.0,1.0,98.71231820599301
dewpt (°C),366.0,18.070765027322402,6.545569909528656,0.6,12.9,18.75,24.575000000000003,26.7,26.099999999999998,36.22187494349005
dhi (W/m²),366.0,49.166666666666664,5.0906396329092205,41.0,44.0,50.0,54.0,55.0,14.0,10.353843321171297
dni (W/m²),366.0,393.7049180327869,35.16217344676111,336.0,360.25,402.0,427.0,437.0,101.0,8.931098352150348
ghi (W/m²),366.0,301.0218579234973,54.33129790352085,211.0,248.25,315.5,354.0,362.0,151.0,18.04895441092148
max_dhi (W/m²),366.0,122.85792349726776,4.21107867672032,115.0,119.0,125.0,126.0,128.0,13.0,3.4276003995899953
max_dni (W/m²),366.0,934.1693989071039,13.703064077685308,906.0,927.0,936.0,942.0,955.0,49.0,1.4668714361353186
max_ghi (W/m²),366.0,948.1912568306011,112.08989313281388,747.0,842.75,1000.0,1046.0,1060.0,313.0,11.821443440375372
max_temp (°C),366.0,32.73661202185792,4.113262678217799,24.8,29.6,32.2,36.3,41.5,16.7,12.56471706806866
max_uv (Index),366.0,7.260655737704918,2.7745286864337335,2.0,5.025,6.9,9.4,12.1,10.1,38.21319708116002
max_wind_dir (°),366.0,216.46994535519124,87.87396281503936,12.0,169.5,247.0,281.0,334.0,322.0,40.59407077081892
max_wind_spd (m/s),366.0,4.180327868852459,1.3002195395823006,2.0,3.2,4.0,5.2,9.2,7.199999999999999,31.103290946870715
min_temp (°C),366.0,22.678142076502734,4.971421101811813,11.9,18.5,24.8,26.3,30.0,18.1,21.921641927461064
precip (mm),366.0,3.0967213114754095,10.600981612028118,0.0,0.0,0.0,0.3,131.0,131.0,342.3292103407704
precip_gpm (mm/hr),366.0,3.0967213114754095,10.600981612028118,0.0,0.0,0.0,0.3,131.0,131.0,342.3292103407704
pres (hPa),366.0,996.4016393442623,5.195350665553214,984.0,993.0,997.0,1001.0,1005.0,21.0,0.5214112924354786
rh (%),366.0,0.6131967213114754,0.18183659559084928,0.24,0.48,0.6,0.79,0.96,0.72,29.653876035401165
slp (hPa),366.0,1008.844262295082,5.373227124203208,997.0,1005.0,1009.0,1013.0,1018.0,21.0,0.5326121508565973
solar_rad (W/m²),366.0,233.2568306010929,90.23767487537394,31.0,183.5,238.5,310.0,362.0,331.0,38.685973157928665
temp (°C),366.0,27.391530054644807,4.2281845397089715,18.0,24.225,27.9,30.2,34.9,16.9,15.436102077079825
wind_dir (°),366.0,216.46994535519124,87.87396281503936,12.0,169.5,247.0,281.0,334.0,322.0,40.59407077081892
wind_gust_spd (m/s),366.0,8.633879781420765,2.2844200671159722,4.0,6.8,8.4,10.0,16.4,12.399999999999999,26.45878938495082
wind_spd (m/s),366.0,3.0385245901639344,1.0297583215315769,1.2,2.3,2.8,3.5,7.3,6.1,33.890076942771074
query_lat (°),366.0,21.55933861,0.0,21.55933861,21.55933861,21.55933861,21.55933861,21.55933861,0.0,0.0
query_lon (°),366.0,71.22743026,0.0,71.22743026,71.22743026,71.22743026,71.22743026,71.22743026,0.0,0.0
