Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds (%),0,0.00%,0,-1.05625,1.81375
dewpt (°C),0,0.00%,0,-4.6125000000000025,42.087500000000006
dhi (W/m²),0,0.00%,0,29.0,69.0
dni (W/m²),0,0.00%,0,260.125,527.125
ghi (W/m²),0,0.00%,0,89.625,512.625
max_dhi (W/m²),0,0.00%,0,108.5,136.5
max_dni (W/m²),0,0.00%,0,904.5,964.5
max_ghi (W/m²),0,0.00%,0,537.875,1350.875
max_temp (°C),0,0.00%,0,19.550000000000008,46.349999999999994
max_uv (Index),0,0.00%,0,-1.5374999999999996,15.9625
max_wind_dir (°),0,0.00%,0,2.25,448.25
max_wind_spd (m/s),3,0.82%,3,0.20000000000000018,8.2
min_temp (°C),0,0.00%,0,6.799999999999999,38.0
precip (mm),86,23.50%,7,-0.44999999999999996,0.75
precip_gpm (mm/hr),86,23.50%,7,-0.44999999999999996,0.75
pres (hPa),0,0.00%,0,981.0,1013.0
rh (%),0,0.00%,0,0.014999999999999902,1.2550000000000001
slp (hPa),0,0.00%,0,993.0,1025.0
solar_rad (W/m²),0,0.00%,0,-6.25,499.75
temp (°C),0,0.00%,0,15.262500000000005,39.162499999999994
wind_dir (°),0,0.00%,0,2.25,448.25
wind_gust_spd (m/s),5,1.37%,3,1.9999999999999991,14.8
wind_spd (m/s),11,3.01%,5,0.49999999999999956,5.300000000000001
query_lat (°),0,0.00%,0,21.55933861,21.55933861
query_lon (°),0,0.00%,0,71.22743026,71.22743026
