Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,88,"[0.0, 0.0, 0.0]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,156,"[12.7, 13.8, 11.0]"
dhi (W/m²),int64,366,0,15,"[41, 41, 41]"
dni (W/m²),int64,366,0,102,"[336, 336, 336]"
ghi (W/m²),int64,366,0,142,"[213, 213, 214]"
max_dhi (W/m²),int64,366,0,14,"[115, 115, 115]"
max_dni (W/m²),int64,366,0,50,"[909, 909, 909]"
max_ghi (W/m²),int64,366,0,193,"[752, 753, 754]"
max_temp (°C),float64,366,0,46,"[28.5, 27.4, 27.0]"
max_uv (Index),float64,366,0,96,"[6.1, 6.2, 6.2]"
max_wind_dir (°),int64,366,0,186,"[291, 217, 74]"
max_wind_spd (m/s),float64,366,0,17,"[2.8, 2.8, 3.2]"
min_temp (°C),float64,366,0,48,"[16.7, 15.9, 14.4]"
precip (mm),float64,366,0,62,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,62,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,22,"[996, 996, 995]"
rh (%),float64,366,0,71,"[0.58, 0.65, 0.58]"
slp (hPa),int64,366,0,23,"[1014, 1014, 1014]"
solar_rad (W/m²),int64,366,0,213,"[213, 213, 214]"
temp (°C),float64,366,0,149,"[21.7, 21.2, 20.3]"
wind_dir (°),int64,366,0,186,"[291, 217, 74]"
wind_gust_spd (m/s),float64,366,0,32,"[6.0, 6.0, 7.6]"
wind_spd (m/s),float64,366,0,50,"[2.2, 2.3, 2.5]"
market_name (Text),object,366,0,1,"['Babra', 'Babra', 'Babra']"
query_lat (°),float64,366,0,1,"[21.8483550607114, 21.8483550607114, 21.8483550607114]"
query_lon (°),float64,366,0,1,"[71.3112979502455, 71.3112979502455, 71.3112979502455]"
