clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,12.7,41,336,213,115,909,752,28.5,6.1,291,2.8,16.7,0.0,0.0,996,0.58,1014,213,21.7,291,6.0,2.2,Babra,21.8483550607114,71.3112979502455
0.0,2024-01-02,13.8,41,336,213,115,909,753,27.4,6.2,217,2.8,15.9,0.0,0.0,996,0.65,1014,213,21.2,217,6.0,2.3,Babra,21.8483550607114,71.3112979502455
0.0,2024-01-03,11.0,41,336,214,115,909,754,27.0,6.2,74,3.2,14.4,0.0,0.0,995,0.58,1014,214,20.3,74,7.6,2.5,Babra,21.8483550607114,71.3112979502455
0.0,2024-01-04,10.3,41,337,214,115,910,755,27.0,6.2,15,4.0,14.4,0.0,0.0,996,0.55,1014,214,20.2,15,8.4,2.9,Babra,21.8483550607114,71.3112979502455
0.0,2024-01-05,9.7,41,337,215,115,910,757,27.4,6.2,67,4.0,13.3,0.0,0.0,996,0.54,1014,215,19.9,67,7.6,2.9,Babra,21.8483550607114,71.3112979502455
0.01,2024-01-06,9.4,41,337,216,115,911,758,26.3,6.2,32,4.8,14.8,0.0,0.0,997,0.52,1015,216,19.9,32,9.6,3.3,Babra,21.8483550607114,71.3112979502455
0.02,2024-01-07,13.0,41,337,216,115,911,760,27.4,6.3,35,4.0,15.6,0.0,0.0,996,0.62,1015,216,20.8,35,8.4,3.4,Babra,21.8483550607114,71.3112979502455
0.18,2024-01-08,15.5,41,338,217,115,912,762,27.8,4.7,20,4.0,16.7,0.0,0.0,996,0.69,1015,211,21.7,20,7.6,3.4,Babra,21.8483550607114,71.3112979502455
0.24,2024-01-09,11.8,41,338,218,116,912,763,26.7,5.3,12,5.2,18.1,0.0,0.0,997,0.53,1015,217,22.1,12,10.8,4.3,Babra,21.8483550607114,71.3112979502455
0.18,2024-01-10,13.3,41,339,218,116,913,765,27.4,5.7,16,4.4,17.8,0.0,0.0,997,0.58,1015,218,22.0,16,8.0,3.5,Babra,21.8483550607114,71.3112979502455
0.0,2024-01-11,14.4,41,339,219,116,913,767,29.3,6.4,21,3.2,17.4,0.0,0.0,997,0.6,1016,219,22.7,21,7.2,2.8,Babra,21.8483550607114,71.3112979502455
