,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.5981895001850046,0.4155174673507149,0.39728784329374495,0.4396533129864333,0.3459266132205671,0.15877933614926643,0.4254030051884488,-0.19285537025947125,-0.639465417767358,0.16753986314389702,0.3505652714724741,0.43617638107608536,0.45700668393715205,0.45700668393715205,-0.6289229875292108,0.6580360466213263,-0.6108743533147667,-0.7133138578074936,0.15556360816533263,0.16753986314389702,0.3643003586063459,0.30234154896875837,,
dewpt (°C),0.5981895001850046,1.0,0.5915372176666814,0.5889524761675959,0.6189359271444688,0.48603372995621835,0.20158169108255333,0.5967828307647461,0.21740387666166594,-0.17008576264196623,0.2710650181079458,0.354246787628194,0.7831060456276163,0.3375470098945143,0.3375470098945143,-0.7886957322234068,0.8176961601208292,-0.7873594302064352,-0.22289693179665296,0.5575618754612143,0.2710650181079458,0.3208085206002927,0.2712752675905119,,
dhi (W/m²),0.4155174673507149,0.5915372176666814,1.0,0.9978686048460245,0.9965684745362534,0.9362429902437459,0.7412647926176529,0.9839919059377225,0.6627960618546725,0.3378656256893165,0.575111745718625,0.5735996316464587,0.8978987876628557,0.18121552545102856,0.18121552545102856,-0.7956822456842637,0.15360398824168886,-0.8121076167486047,0.2010932324132364,0.8683586475283093,0.575111745718625,0.5296748547020657,0.48843312729142196,,
dni (W/m²),0.39728784329374495,0.5889524761675959,0.9978686048460245,1.0,0.99583962992086,0.9327766045734279,0.7360489796590828,0.9816397843802692,0.6796274414526263,0.35531783513117976,0.5682138278456034,0.5761275291747525,0.9024518003555192,0.1753722213306681,0.1753722213306681,-0.7968090726303042,0.14171635948832043,-0.8139265108311065,0.21757215160139134,0.8787701355493648,0.5682138278456034,0.5313543403554297,0.49137937991501135,,
ghi (W/m²),0.4396533129864333,0.6189359271444688,0.9965684745362534,0.99583962992086,1.0,0.9430910386246664,0.7456589018822409,0.9905163690812598,0.6477464132459295,0.3162804469317909,0.5810784026711822,0.5691835374820445,0.9101364124638445,0.19878357998678478,0.19878357998678478,-0.8068474459303495,0.18898250732228383,-0.822704389722061,0.18014993065632695,0.8678208496097624,0.5810784026711822,0.5254784751842378,0.48634757026842124,,
max_dhi (W/m²),0.3459266132205671,0.48603372995621835,0.9362429902437459,0.9327766045734279,0.9430910386246664,1.0,0.9158018116953104,0.9767067794595182,0.6762350209540866,0.38233210510300186,0.6192273327494021,0.43577498997547737,0.8445236467041081,0.15211508046163116,0.15211508046163116,-0.6312073319697592,0.05495479226373062,-0.6515654193174505,0.25110614889405725,0.8496850000866997,0.6192273327494021,0.3965242630970487,0.3605226369259594,,
max_dni (W/m²),0.15877933614926643,0.20158169108255333,0.7412647926176529,0.7360489796590828,0.7456589018822409,0.9158018116953104,1.0,0.8195609020788899,0.6480792184349472,0.44383137181847737,0.5769901008590322,0.22807271166758938,0.6292990157250177,0.06200684371184978,0.06200684371184978,-0.32091270206810835,-0.18781066509422367,-0.34389585559963365,0.3347784440449871,0.7158771498080024,0.5769901008590322,0.208473031583012,0.17319681282497787,,
max_ghi (W/m²),0.4254030051884488,0.5967828307647461,0.9839919059377225,0.9816397843802692,0.9905163690812598,0.9767067794595182,0.8195609020788899,1.0,0.6573366309116785,0.3277095997683433,0.6006296176536603,0.517008950728132,0.9045261871391852,0.1955345447924548,0.1955345447924548,-0.7600257981905535,0.16653039351415821,-0.7770294751117184,0.19344302606654143,0.8718798926055249,0.6006296176536603,0.4761362144367421,0.43715769074343763,,
max_temp (°C),-0.19285537025947125,0.21740387666166594,0.6627960618546725,0.6796274414526263,0.6477464132459295,0.6762350209540866,0.6480792184349472,0.6573366309116785,1.0,0.724840565641636,0.4302843917209254,0.16375736561345083,0.6782495673140734,-0.1987828331926668,-0.1987828331926668,-0.3026770932846499,-0.3695675594894952,-0.3375702494405152,0.6726002513040252,0.9031366542914746,0.4302843917209254,0.1034446924681978,0.1010217540620853,,
max_uv (Index),-0.639465417767358,-0.17008576264196623,0.3378656256893165,0.35531783513117976,0.3162804469317909,0.38233210510300186,0.44383137181847737,0.3277095997683433,0.724840565641636,1.0,0.2934434941350445,0.06840885309432154,0.24918581348117622,-0.3304072414231861,-0.3304072414231861,0.060549862679688184,-0.5757080896298803,0.028710431801610488,0.9347076222735979,0.5181741038083142,0.2934434941350445,0.018843399925297735,0.05698298524200118,,
