,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),366.0,0.37527322404371594,0.3682953054186445,0.0,0.0125,0.25,0.735,1.0,1.0,98.14057647122233
dewpt (°C),366.0,17.955737704918032,6.571133000202877,0.5,12.725,18.549999999999997,24.475,26.6,26.1,36.59628531109062
dhi (W/m²),366.0,49.166666666666664,5.0906396329092205,41.0,44.0,50.0,54.0,55.0,14.0,10.353843321171297
dni (W/m²),366.0,393.7049180327869,35.16217344676111,336.0,360.25,402.0,427.0,437.0,101.0,8.931098352150348
ghi (W/m²),366.0,301.0218579234973,54.33129790352085,211.0,248.25,315.5,354.0,362.0,151.0,18.04895441092148
max_dhi (W/m²),366.0,122.85792349726776,4.21107867672032,115.0,119.0,125.0,126.0,128.0,13.0,3.4276003995899953
max_dni (W/m²),366.0,934.1693989071039,13.703064077685308,906.0,927.0,936.0,942.0,955.0,49.0,1.4668714361353186
max_ghi (W/m²),366.0,948.1912568306011,112.08989313281388,747.0,842.75,1000.0,1046.0,1060.0,313.0,11.821443440375372
max_temp (°C),366.0,32.74398907103825,4.17498151122353,24.8,29.3,32.2,35.9,41.5,16.7,12.750375350315096
max_uv (Index),366.0,7.26775956284153,2.8125450682984035,2.0,5.0,6.9,9.5,12.1,10.1,38.69892838335397
max_wind_dir (°),366.0,212.77322404371586,89.06076388986094,12.0,161.0,244.0,277.0,341.0,329.0,41.85712948146273
max_wind_spd (m/s),366.0,4.022950819672132,1.2540861576165148,1.6,3.2,4.0,4.8,8.8,7.200000000000001,31.173290796498527
min_temp (°C),366.0,22.749726775956283,4.788483608368086,12.2,18.6,24.6,26.3,30.0,17.8,21.048532386898533
precip (mm),366.0,3.0693989071038255,9.829917608283534,0.0,0.0,0.0,0.45,87.0,87.0,320.2554606223761
precip_gpm (mm/hr),366.0,3.0693989071038255,9.829917608283534,0.0,0.0,0.0,0.45,87.0,87.0,320.2554606223761
pres (hPa),366.0,990.75956284153,5.186082938666239,979.0,987.0,991.0,995.0,1000.0,21.0,0.5234451559359555
rh (%),366.0,0.6092076502732241,0.18159317936152788,0.24,0.47,0.6,0.7875000000000001,0.96,0.72,29.80809240988438
slp (hPa),366.0,1008.811475409836,5.4616952065755795,996.0,1005.0,1009.0,1013.0,1018.0,22.0,0.5413989967111279
solar_rad (W/m²),366.0,234.07650273224044,89.55041218820868,30.0,180.5,242.5,309.5,362.0,332.0,38.25689940807309
temp (°C),366.0,27.39726775956284,4.2653485196243714,18.1,24.075,27.95,30.175,35.3,17.199999999999996,15.568517842935556
wind_dir (°),366.0,212.77322404371586,89.06076388986094,12.0,161.0,244.0,277.0,341.0,329.0,41.85712948146273
wind_gust_spd (m/s),366.0,8.343169398907104,2.345370212618701,3.6,6.8,8.0,9.6,18.4,14.799999999999999,28.111262045403606
wind_spd (m/s),366.0,2.9401639344262294,1.013443323680288,1.1,2.2,2.8,3.475,7.2,6.1,34.468939361303356
query_lat (°),366.0,21.848355060711405,7.115154162096749e-15,21.8483550607114,21.8483550607114,21.8483550607114,21.8483550607114,21.8483550607114,0.0,3.2566086290365656e-14
query_lon (°),366.0,71.3112979502455,0.0,71.3112979502455,71.3112979502455,71.3112979502455,71.3112979502455,71.3112979502455,0.0,0.0
