Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,91,"[0.0, 0.0, 0.0]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,160,"[12.3, 13.4, 10.9]"
dhi (W/m²),int64,366,0,15,"[41, 41, 41]"
dni (W/m²),int64,366,0,102,"[336, 336, 336]"
ghi (W/m²),int64,366,0,142,"[213, 213, 214]"
max_dhi (W/m²),int64,366,0,14,"[115, 115, 115]"
max_dni (W/m²),int64,366,0,50,"[909, 909, 909]"
max_ghi (W/m²),int64,366,0,193,"[752, 753, 754]"
max_temp (°C),float64,366,0,45,"[28.1, 27.4, 26.7]"
max_uv (Index),float64,366,0,98,"[6.1, 6.2, 6.2]"
max_wind_dir (°),int64,366,0,181,"[200, 188, 30]"
max_wind_spd (m/s),float64,366,0,20,"[2.8, 3.2, 3.2]"
min_temp (°C),float64,366,0,51,"[15.2, 14.4, 13.3]"
precip (mm),float64,366,0,62,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,62,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,22,"[997, 996, 996]"
rh (%),float64,366,0,68,"[0.6, 0.67, 0.6]"
slp (hPa),int64,366,0,22,"[1015, 1014, 1014]"
solar_rad (W/m²),int64,366,0,207,"[213, 213, 214]"
temp (°C),float64,366,0,139,"[21.1, 20.5, 19.6]"
wind_dir (°),int64,366,0,181,"[200, 188, 30]"
wind_gust_spd (m/s),float64,366,0,32,"[6.4, 6.4, 7.6]"
wind_spd (m/s),float64,366,0,51,"[2.3, 2.3, 2.6]"
market_name (Text),object,366,0,1,"['Bagasara', 'Bagasara', 'Bagasara']"
query_lat (°),float64,366,0,1,"[21.4969451177777, 21.4969451177777, 21.4969451177777]"
query_lon (°),float64,366,0,1,"[70.9593292150098, 70.9593292150098, 70.9593292150098]"
