,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.6026496000666871,0.4145161664607964,0.3974167487207442,0.4387806521570189,0.34009488982455116,0.14956019351751165,0.42303828422289985,-0.19138919285738082,-0.6468276538370414,0.18123545249614442,0.37427880710775363,0.4563585163396849,0.45519951679565707,0.45519951679565707,-0.6402180082687436,0.6718058175393238,-0.6252903811237861,-0.7184182276109099,0.18265466170185185,0.18123545249614442,0.37618500535408317,0.36391373679789824,,
dewpt (°C),0.6026496000666871,1.0,0.6181111185700785,0.6161306791472678,0.6447711893067058,0.514305696158403,0.23134352386532722,0.6230321479122523,0.25952881518075904,-0.16823377620308122,0.29479968151246816,0.3674354093843791,0.8360264421942801,0.33138329648917764,0.33138329648917764,-0.7980266772626491,0.8145292388674881,-0.8017828907384345,-0.21025313309464128,0.6206063008722454,0.29479968151246816,0.3431251645837985,0.3277661835808114,,
dhi (W/m²),0.4145161664607964,0.6181111185700785,1.0,0.9978686048460245,0.9965684745362534,0.9362429902437459,0.7412647926176529,0.9839919059377225,0.652323656774445,0.33228928858504975,0.6101373467436317,0.5686552623744118,0.8701344745411269,0.18966932872091696,0.18966932872091696,-0.7902887466100058,0.19397570153495075,-0.8058691042533788,0.19306371900286778,0.8583983962716228,0.6101373467436317,0.5491688343152626,0.5186118595526898,,
dni (W/m²),0.3974167487207442,0.6161306791472678,0.9978686048460245,1.0,0.99583962992086,0.9327766045734279,0.7360489796590828,0.9816397843802692,0.6692684076626761,0.3491331242941371,0.6020058640101449,0.5711329658708164,0.8754961677898082,0.18504507942297024,0.18504507942297024,-0.7912991170995387,0.18203389013360102,-0.8077342694579529,0.20920984634345144,0.8691349598417345,0.6020058640101449,0.5523622233763623,0.5204802068739912,,
ghi (W/m²),0.4387806521570189,0.6447711893067058,0.9965684745362534,0.99583962992086,1.0,0.9430910386246664,0.7456589018822409,0.9905163690812598,0.6374486074089438,0.30916199157824265,0.615892693253921,0.5648091157907579,0.8837167570487422,0.20575032838999227,0.20575032838999227,-0.8015201636711015,0.22893717370260594,-0.8167652824873662,0.17236212791026742,0.8595811520985979,0.615892693253921,0.5444193255543129,0.5185015299991759,,
max_dhi (W/m²),0.34009488982455116,0.514305696158403,0.9362429902437459,0.9327766045734279,0.9430910386246664,1.0,0.9158018116953104,0.9767067794595182,0.6661646512576076,0.38455562806251925,0.6557959964495707,0.42784905566838893,0.8102414202352239,0.14836436808449127,0.14836436808449127,-0.6234413945064301,0.09120435596662872,-0.6436772695616773,0.24777483667249647,0.8375999890726917,0.6557959964495707,0.4082860182553179,0.3862143973230187,,
max_dni (W/m²),0.14956019351751165,0.23134352386532722,0.7412647926176529,0.7360489796590828,0.7456589018822409,0.9158018116953104,1.0,0.8195609020788899,0.6377608117561088,0.4580624759292549,0.6135000920623478,0.21881421178849753,0.5874170120398916,0.052024599480277496,0.052024599480277496,-0.31079249959416383,-0.15885909249257954,-0.33448625990397246,0.335133387901888,0.6974697972206761,0.6135000920623478,0.2123847549281863,0.18649856063741488,,
max_ghi (W/m²),0.42303828422289985,0.6230321479122523,0.9839919059377225,0.9816397843802692,0.9905163690812598,0.9767067794595182,0.8195609020788899,1.0,0.6476616984780669,0.3236218986370196,0.6355932842093105,0.5132957052206273,0.877110868780878,0.1976163024683864,0.1976163024683864,-0.7537582951314796,0.20419718579825358,-0.7707807126717313,0.1866670561001266,0.8640512664469372,0.6355932842093105,0.4926956851713518,0.468797701081258,,
max_temp (°C),-0.19138919285738082,0.25952881518075904,0.652323656774445,0.6692684076626761,0.6374486074089438,0.6661646512576076,0.6377608117561088,0.6476616984780669,1.0,0.729333785802503,0.4181831225957012,0.12749451518222002,0.6532413513370298,-0.18585038967556058,-0.18585038967556058,-0.2848125274172156,-0.3317464103114516,-0.319833369042115,0.6656916044594555,0.8877458432886938,0.4181831225957012,0.10811762126600237,0.07080033206701879,,
max_uv (Index),-0.6468276538370414,-0.16823377620308122,0.33228928858504975,0.3491331242941371,0.30916199157824265,0.38455562806251925,0.4580624759292549,0.3236218986370196,0.729333785802503,1.0,0.3094226142987838,0.03662148360154871,0.19772664690674066,-0.3256349107620889,-0.3256349107620889,0.09278917230063626,-0.5791377639868879,0.0635861799971846,0.9310977561403505,0.48546270641362743,0.3094226142987838,0.010985007618663804,0.010107663035779616,,
