Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds (%),0,0.00%,0,-1.045,1.795
dewpt (°C),0,0.00%,0,-4.000000000000002,41.6
dhi (W/m²),0,0.00%,0,29.0,69.0
dni (W/m²),0,0.00%,0,260.125,527.125
ghi (W/m²),0,0.00%,0,89.625,512.625
max_dhi (W/m²),0,0.00%,0,108.5,136.5
max_dni (W/m²),0,0.00%,0,904.5,964.5
max_ghi (W/m²),0,0.00%,0,537.875,1350.875
max_temp (°C),0,0.00%,0,20.0,44.8
max_uv (Index),0,0.00%,0,-1.2124999999999995,15.8875
max_wind_dir (°),0,0.00%,0,-31.75,470.25
max_wind_spd (m/s),5,1.37%,3,0.350000000000001,7.949999999999999
min_temp (°C),0,0.00%,0,6.400000000000006,37.599999999999994
precip (mm),73,19.95%,9,-1.0875000000000001,1.8125000000000002
precip_gpm (mm/hr),73,19.95%,9,-1.0875000000000001,1.8125000000000002
pres (hPa),0,0.00%,0,976.0,1008.0
rh (%),0,0.00%,0,0.04999999999999993,1.25
slp (hPa),0,0.00%,0,993.0,1025.0
solar_rad (W/m²),0,0.00%,0,-8.5,497.5
temp (°C),0,0.00%,0,14.800000000000002,38.6
wind_dir (°),0,0.00%,0,-31.75,470.25
wind_gust_spd (m/s),6,1.64%,2,1.9999999999999991,14.8
wind_spd (m/s),11,3.01%,5,0.3499999999999994,5.550000000000001
query_lat (°),0,0.00%,0,21.4969451177777,21.4969451177777
query_lon (°),0,0.00%,0,70.9593292150098,70.9593292150098
