Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds,0,0.00%,0,-114.0,206.0
dewpt,0,0.00%,0,0.9000000000000039,39.89999999999999
dhi,0,0.00%,0,31.5,67.5
dni,0,0.00%,0,260.5,528.5
ghi,0,0.00%,0,94.625,509.625
max_dhi,0,0.00%,0,111.0,135.0
max_dni,18,4.92%,0,908.5,960.5
max_ghi,0,0.00%,0,551.75,1345.75
max_temp,0,0.00%,0,22.15,44.15
max_uv,0,0.00%,0,-1.9499999999999993,15.849999999999998
max_wind_dir,0,0.00%,0,8.5,370.5
max_wind_spd,18,4.92%,3,0.8000000000000007,7.199999999999999
min_temp,0,0.00%,0,10.949999999999998,36.15
precip,67,18.31%,11,-3.4499999999999997,5.75
precip_gpm,67,18.31%,11,-3.4499999999999997,5.75
pres,0,0.00%,0,989.5,1017.5
rh,0,0.00%,0,7.0,127.0
slp,0,0.00%,0,993.0,1025.0
solar_rad,0,0.00%,0,-67.75,518.25
t_dhi,0,0.00%,0,683.0,1593.0
t_dni,0,0.00%,0,5987.0,12169.0
t_ghi,0,0.00%,0,2172.5,11708.5
t_solar_rad,0,0.00%,0,-1552.375,11914.625
temp,0,0.00%,0,19.449999999999996,36.65
ts,0,0.00%,0,1688279400.0,1751351400.0
wind_dir,0,0.00%,0,8.5,370.5
wind_gust_spd,4,1.09%,4,1.0000000000000009,15.399999999999999
wind_spd,8,2.19%,4,-0.5500000000000007,6.050000000000001
