Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,93,"[0.0, 0.0, 0.08]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,146,"[17.9, 17.7, 17.7]"
dhi (W/m²),int64,366,0,15,"[41, 41, 42]"
dni (W/m²),int64,366,0,99,"[340, 340, 340]"
ghi (W/m²),int64,366,0,142,"[215, 216, 216]"
max_dhi (W/m²),int64,366,0,14,"[116, 116, 116]"
max_dni (W/m²),int64,366,0,49,"[910, 910, 911]"
max_ghi (W/m²),int64,366,0,193,"[759, 760, 762]"
max_temp (°C),float64,366,0,40,"[30.4, 28.5, 27.8]"
max_uv (Index),float64,366,0,91,"[6.3, 6.3, 6.3]"
max_wind_dir (°),int64,366,0,172,"[154, 163, 142]"
max_wind_spd (m/s),float64,366,0,22,"[4.0, 4.0, 4.0]"
min_temp (°C),float64,366,0,44,"[20.0, 18.5, 17.4]"
precip (mm),float64,366,0,77,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,77,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,21,"[1010, 1010, 1009]"
rh (%),float64,366,0,62,"[0.68, 0.73, 0.77]"
slp (hPa),int64,366,0,21,"[1013, 1013, 1013]"
solar_rad (W/m²),int64,366,0,212,"[215, 216, 216]"
temp (°C),float64,366,0,126,"[24.4, 23.0, 22.2]"
wind_dir (°),int64,366,0,172,"[154, 163, 142]"
wind_gust_spd (m/s),float64,366,0,32,"[7.2, 7.2, 6.8]"
wind_spd (m/s),float64,366,0,61,"[2.7, 2.6, 3.0]"
