clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s)
0.0,2024-01-01,17.9,41,340,215,116,910,759,30.4,6.3,154,4.0,20.0,0.0,0.0,1010,0.68,1013,215,24.4,154,7.2,2.7
0.0,2024-01-02,17.7,41,340,216,116,910,760,28.5,6.3,163,4.0,18.5,0.0,0.0,1010,0.73,1013,216,23.0,163,7.2,2.6
0.08,2024-01-03,17.7,42,340,216,116,911,762,27.8,6.3,142,4.0,17.4,0.0,0.0,1009,0.77,1013,216,22.2,142,6.8,3.0
0.02,2024-01-04,17.1,42,340,217,116,911,763,28.1,6.3,139,4.4,17.0,0.0,0.0,1009,0.75,1013,216,22.2,139,6.8,2.9
0.0,2024-01-05,16.4,42,341,217,116,911,764,28.1,6.3,102,4.8,17.4,0.0,0.0,1010,0.71,1013,217,22.3,102,7.2,3.6
0.24,2024-01-06,16.0,42,341,218,116,912,766,28.9,6.2,27,4.4,17.4,0.0,0.0,1010,0.67,1014,216,22.6,27,8.4,3.7
0.41,2024-01-07,17.7,42,341,218,116,912,768,29.6,5.7,54,4.8,19.6,0.0,0.0,1010,0.7,1013,216,23.9,54,7.6,3.5
0.17,2024-01-08,18.4,42,342,219,116,913,769,31.1,6.4,141,4.4,20.7,0.0,0.0,1010,0.68,1013,219,25.0,141,6.4,3.1
0.3,2024-01-09,18.6,42,342,220,116,913,771,29.3,4.8,77,4.4,20.7,0.0,0.0,1010,0.7,1013,195,24.7,77,7.2,3.2
0.07,2024-01-10,19.7,42,342,221,117,914,773,29.6,6.2,141,3.6,20.7,0.0,0.0,1011,0.75,1014,221,24.7,141,6.8,2.7
0.02,2024-01-11,20.0,42,343,221,117,915,775,30.7,6.5,33,4.0,20.7,0.0,0.0,1011,0.75,1014,221,25.2,33,6.4,3.0
0.03,2024-01-12,19.8,42,343,222,117,915,777,33.0,6.5,129,4.0,21.5,0.0,0.0,1010,0.69,1014,222,26.4,129,6.8,3.1
0.0,2024-01-13,18.8,42,344,223,117,916,780,32.2,6.5,215,3.6,20.7,0.0,0.0,1011,0.67,1014,223,25.8,215,7.6,2.6
0.0,2024-01-14,13.9,42,344,224,117,916,782,30.0,6.6,134,3.6,19.3,0.0,0.0,1012,0.57,1015,224,24.1,134,7.2,2.6
0.0,2024-01-15,12.1,42,345,225,117,917,784,28.9,6.6,170,2.4,16.3,0.0,0.0,1011,0.57,1015,225,22.0,170,5.6,2.0
0.27,2024-01-16,13.1,42,345,226,117,918,787,28.9,6.4,180,2.8,14.8,0.0,0.0,1009,0.63,1012,212,21.5,180,5.6,1.8
0.43,2024-01-17,13.5,42,346,227,117,918,789,28.5,3.3,182,2.8,15.2,0.0,0.0,1008,0.64,1012,159,21.7,182,6.4,1.9
0.01,2024-01-18,14.0,43,347,228,118,919,792,28.1,6.6,180,3.2,16.3,0.0,0.0,1010,0.63,1013,228,22.0,180,5.6,2.1
0.01,2024-01-19,14.1,43,347,229,118,920,795,30.0,6.7,132,4.0,16.7,0.0,0.0,1010,0.6,1013,229,22.9,132,7.2,3.0
0.3,2024-01-20,12.3,43,348,230,118,920,797,29.3,6.8,140,4.4,17.4,0.0,0.0,1011,0.53,1014,223,22.7,140,7.6,3.5
0.62,2024-01-21,10.6,43,348,231,118,921,800,29.3,2.4,33,4.4,17.0,0.0,0.0,1012,0.48,1015,68,22.8,33,9.2,3.8
0.51,2024-01-22,10.2,43,349,232,118,922,803,29.6,5.5,157,4.4,16.3,0.0,0.0,1012,0.48,1015,219,22.5,157,8.0,3.4
0.0,2024-01-23,7.5,43,350,233,118,922,806,28.9,6.9,100,4.8,15.9,0.0,0.0,1012,0.42,1016,233,22.0,100,9.2,3.4
0.03,2024-01-24,8.6,43,350,235,118,923,809,29.3,7.0,37,4.0,16.3,0.0,0.0,1012,0.44,1015,235,22.2,37,8.8,3.2
0.01,2024-01-25,9.6,43,351,236,119,924,813,30.0,7.0,46,4.0,14.8,0.0,0.0,1013,0.49,1016,236,22.3,46,8.0,3.0
0.31,2024-01-26,10.8,43,352,237,119,925,816,31.5,6.8,116,3.2,15.6,0.0,0.0,1014,0.49,1017,237,23.1,116,6.0,2.5
0.79,2024-01-27,13.4,43,353,238,119,925,819,32.2,4.8,141,4.0,16.3,0.0,0.0,1013,0.57,1017,123,23.3,141,6.8,2.5
0.68,2024-01-28,14.5,44,353,240,119,926,822,31.9,4.4,168,3.2,16.3,0.0,0.0,1013,0.62,1016,208,23.1,168,6.4,1.7
0.54,2024-01-29,13.8,44,354,241,119,927,826,30.4,6.2,161,3.6,15.9,0.0,0.0,1013,0.61,1016,233,22.8,161,7.2,2.2
0.24,2024-01-30,14.4,44,355,242,120,928,829,30.0,7.2,175,2.4,17.0,0.0,0.0,1012,0.62,1015,237,22.8,175,6.0,2.0
0.83,2024-01-31,15.5,44,356,243,120,928,833,29.6,3.6,223,3.2,17.0,0.0,0.0,1011,0.66,1014,150,23.1,223,6.4,1.5
0.19,2024-02-01,18.1,44,357,245,120,929,836,29.3,7.4,255,2.8,18.5,0.0,0.0,1012,0.74,1015,245,23.6,255,6.4,1.8
0.4,2024-02-02,17.3,44,358,246,120,930,840,30.0,3.6,191,3.2,18.5,0.0,0.0,1013,0.7,1016,189,24.0,191,6.0,2.0
0.01,2024-02-03,15.6,44,358,248,120,931,843,33.3,7.5,146,3.2,19.6,0.0,0.0,1012,0.56,1015,248,25.8,146,6.4,2.5
0.0,2024-02-04,16.4,44,359,249,120,931,847,34.4,7.5,147,2.8,20.0,0.0,0.0,1012,0.57,1015,249,26.5,147,5.6,2.0
0.0,2024-02-05,17.7,45,360,251,121,932,851,31.5,7.6,270,2.8,20.7,0.0,0.0,1013,0.63,1016,251,25.9,270,6.4,1.8
0.06,2024-02-06,18.8,45,361,252,121,933,854,31.9,7.7,223,2.8,20.4,0.0,0.0,1013,0.69,1016,238,25.7,223,6.4,1.7
0.23,2024-02-07,16.6,45,362,253,121,934,858,31.5,7.7,175,4.8,20.0,0.0,0.0,1014,0.61,1017,248,25.5,175,8.4,2.9
0.5,2024-02-08,14.1,45,363,255,121,934,862,30.7,7.6,99,4.0,20.4,0.0,0.0,1013,0.52,1017,224,25.1,99,8.4,3.4
0.28,2024-02-09,13.6,45,364,256,121,935,866,30.7,7.8,153,4.0,18.1,0.0,0.0,1012,0.53,1016,254,24.3,153,6.8,3.1
0.0,2024-02-10,12.5,45,365,258,121,936,869,30.4,7.9,176,4.0,18.1,0.0,0.0,1013,0.52,1016,258,23.7,176,6.8,2.7
0.05,2024-02-11,13.7,46,366,259,122,937,873,30.7,8.0,204,3.2,17.4,0.0,0.0,1013,0.56,1017,259,23.5,204,5.6,2.3
0.96,2024-02-12,14.4,46,367,261,122,937,877,30.7,2.7,199,2.8,17.8,0.0,0.0,1012,0.58,1016,84,23.9,199,6.0,1.9
0.98,2024-02-13,14.0,46,368,263,122,938,881,30.0,2.5,163,4.4,18.1,0.0,0.0,1013,0.58,1016,69,23.7,163,8.0,2.2
0.32,2024-02-14,12.6,46,369,264,122,939,885,30.7,7.6,183,3.6,18.5,0.0,0.0,1012,0.51,1016,242,24.5,183,6.8,2.8
0.0,2024-02-15,14.6,46,371,266,122,939,889,33.3,8.2,104,3.6,18.1,0.0,0.0,1011,0.53,1014,266,25.3,104,6.8,2.6
0.08,2024-02-16,16.3,46,372,267,123,940,892,35.6,8.3,102,4.0,21.5,0.0,0.0,1011,0.52,1014,267,27.9,102,8.0,2.6
0.23,2024-02-17,16.6,47,373,269,123,941,896,35.6,8.1,173,3.6,21.9,0.0,0.0,1009,0.53,1012,260,28.1,173,6.8,2.0
0.1,2024-02-18,18.5,47,374,270,123,941,900,34.8,8.4,235,3.2,20.0,0.0,0.0,1008,0.66,1011,268,26.9,235,7.2,1.8
0.32,2024-02-19,16.2,47,375,272,123,942,904,34.1,7.3,220,4.0,20.0,0.0,0.0,1009,0.59,1012,266,26.8,220,8.8,2.3
0.17,2024-02-20,17.5,47,377,274,123,943,908,32.2,8.6,228,4.0,20.7,0.0,0.0,1010,0.63,1013,274,26.0,228,8.8,2.5
0.24,2024-02-21,19.6,47,378,275,123,943,912,29.3,7.0,244,4.0,21.5,0.0,0.0,1009,0.73,1013,271,25.2,244,8.8,3.1
0.11,2024-02-22,18.3,47,379,277,124,944,916,29.6,8.7,259,4.0,21.9,0.0,0.0,1010,0.67,1013,277,25.4,259,7.6,2.6
0.23,2024-02-23,14.8,48,380,278,124,945,919,30.7,8.8,207,2.8,20.4,0.0,0.0,1010,0.61,1014,273,25.3,207,7.2,1.9
0.0,2024-02-24,6.6,48,381,280,124,945,923,31.1,8.9,186,4.0,18.9,0.0,0.0,1010,0.36,1013,280,24.6,186,8.8,3.1
0.02,2024-02-25,5.1,48,382,282,124,946,927,32.2,8.9,29,5.2,18.1,0.0,0.0,1009,0.3,1012,282,25.1,29,10.4,3.9
0.81,2024-02-26,11.6,48,384,283,124,946,931,34.4,4.1,152,3.6,19.3,0.0,0.0,1007,0.42,1010,150,26.2,152,6.8,2.6
0.06,2024-02-27,16.8,48,385,285,124,947,934,33.7,8.3,229,3.2,20.7,0.0,0.0,1009,0.58,1012,284,26.8,229,6.8,1.5
0.0,2024-02-28,15.8,48,386,286,125,947,938,35.6,9.2,199,4.0,21.5,0.0,0.0,1008,0.5,1012,286,28.2,199,6.4,2.5
0.15,2024-02-29,16.3,48,387,288,125,948,942,37.4,9.1,153,3.6,23.0,0.0,0.0,1008,0.48,1011,287,29.4,153,7.2,2.3
0.03,2024-03-01,18.3,49,388,290,125,948,945,34.4,9.3,216,4.4,23.3,0.0,0.0,1009,0.59,1012,290,28.0,216,8.8,3.0
0.05,2024-03-02,20.8,49,389,291,125,949,949,30.0,9.4,221,6.4,23.0,0.8,0.8,1009,0.73,1012,291,26.4,221,11.2,3.9
0.15,2024-03-03,14.8,49,390,293,125,949,953,27.0,9.4,277,5.2,20.4,0.0,0.0,1010,0.57,1014,293,24.5,277,9.2,3.4
0.0,2024-03-04,11.0,49,391,294,125,950,956,30.0,9.5,177,4.0,17.0,0.0,0.0,1011,0.51,1014,294,23.7,177,7.6,2.3
0.0,2024-03-05,7.5,49,392,296,125,950,960,31.9,9.6,190,4.4,17.4,0.0,0.0,1011,0.37,1014,296,24.4,190,8.8,3.0
0.0,2024-03-06,8.4,49,393,297,126,950,963,32.2,9.7,196,3.6,18.1,0.0,0.0,1010,0.4,1013,297,24.9,196,8.0,2.3
0.06,2024-03-07,11.5,49,394,299,126,951,967,33.0,9.7,196,4.0,17.8,0.0,0.0,1010,0.46,1013,298,26.0,196,8.0,2.2
0.0,2024-03-08,10.6,50,395,300,126,951,970,33.3,9.8,148,4.0,19.3,0.0,0.0,1010,0.39,1013,300,27.0,148,8.4,2.6
0.08,2024-03-09,9.1,50,396,302,126,952,973,34.1,9.9,111,4.8,21.1,0.0,0.0,1010,0.34,1013,300,27.1,111,8.4,2.9
0.01,2024-03-10,10.9,50,396,303,126,952,976,33.7,9.9,230,3.6,19.3,0.0,0.0,1010,0.42,1013,303,26.6,230,8.4,1.8
0.0,2024-03-11,14.2,50,397,305,126,952,980,35.6,10.0,184,3.2,20.4,0.0,0.0,1012,0.48,1015,305,28.1,184,7.2,2.2
0.0,2024-03-12,16.0,50,398,306,126,953,983,34.8,10.1,215,3.6,21.5,0.0,0.0,1011,0.5,1014,306,28.3,215,8.4,2.5
0.01,2024-03-13,17.5,50,399,308,126,953,986,33.3,10.1,280,3.2,23.0,0.0,0.0,1010,0.59,1013,308,27.7,280,7.2,2.4
0.0,2024-03-14,17.8,50,400,309,126,953,989,33.0,10.2,271,3.2,21.5,0.0,0.0,1010,0.62,1014,309,27.0,271,6.8,2.2
0.06,2024-03-15,18.0,50,401,310,127,953,992,33.0,10.3,222,3.2,20.4,0.0,0.0,1009,0.64,1012,309,26.6,222,6.4,1.8
0.12,2024-03-16,17.6,50,401,312,127,954,995,33.7,10.3,239,2.8,20.4,0.0,0.0,1009,0.63,1012,311,27.0,239,6.4,1.8
0.11,2024-03-17,18.4,51,402,313,127,954,998,33.3,10.4,220,3.6,20.7,0.0,0.0,1009,0.65,1012,312,26.9,220,8.0,2.3
0.12,2024-03-18,21.4,51,403,314,127,954,1001,33.3,10.5,240,3.2,22.2,0.0,0.0,1009,0.73,1012,314,27.4,240,7.6,2.3
0.06,2024-03-19,16.2,51,403,316,127,954,1003,35.6,10.5,253,3.2,22.2,0.0,0.0,1009,0.55,1012,316,28.6,253,7.6,2.0
0.05,2024-03-20,10.8,51,404,317,127,954,1006,37.8,10.6,197,2.8,21.1,0.0,0.0,1008,0.35,1012,317,30.0,197,6.4,1.7
0.83,2024-03-21,13.7,51,405,318,127,954,1009,37.8,4.3,187,4.0,20.7,0.0,0.0,1007,0.44,1010,119,29.8,187,6.4,1.9
0.15,2024-03-22,17.5,51,405,320,127,955,1011,35.9,10.7,215,4.0,22.2,0.0,0.0,1006,0.53,1009,299,29.1,215,8.0,2.1
0.3,2024-03-23,18.2,51,406,321,127,955,1014,36.3,10.8,203,4.0,22.2,0.0,0.0,1006,0.59,1009,318,28.8,203,8.4,2.1
0.23,2024-03-24,19.1,51,407,322,127,955,1016,35.2,10.1,249,3.2,23.3,0.0,0.0,1007,0.59,1010,322,29.2,249,7.6,2.2
0.0,2024-03-25,19.3,51,407,323,127,955,1018,37.0,10.9,206,3.6,24.1,0.0,0.0,1008,0.58,1011,323,30.0,206,7.2,2.0
0.0,2024-03-26,20.7,51,408,324,127,955,1021,37.4,10.9,237,3.6,24.1,0.0,0.0,1007,0.61,1011,324,30.4,237,7.2,2.1
0.04,2024-03-27,22.3,52,408,326,128,955,1023,36.7,11.0,235,4.0,25.6,0.0,0.0,1009,0.63,1012,326,30.7,235,7.6,2.1
0.08,2024-03-28,22.6,52,409,327,128,955,1025,37.0,10.2,231,3.6,26.3,0.0,0.0,1007,0.64,1011,323,31.0,231,7.2,2.3
0.28,2024-03-29,21.2,52,409,328,128,955,1027,37.4,7.0,256,3.6,26.7,0.0,0.0,1007,0.58,1010,309,31.3,256,5.6,2.1
0.08,2024-03-30,19.5,52,410,329,128,955,1029,37.0,9.9,255,3.6,25.6,0.0,0.0,1008,0.55,1011,328,30.8,255,8.0,2.3
0.14,2024-03-31,17.8,52,410,330,128,955,1031,35.9,10.3,245,3.6,25.6,0.0,0.0,1009,0.51,1013,320,30.4,245,7.6,2.1
0.42,2024-04-01,19.1,52,411,331,128,955,1033,36.7,8.7,237,3.6,23.3,0.0,0.0,1007,0.59,1010,213,29.5,237,7.6,2.1
0.39,2024-04-02,19.5,52,411,332,128,955,1035,36.7,8.3,241,4.0,24.4,0.0,0.0,1005,0.58,1008,281,30.1,241,8.0,2.3
0.47,2024-04-03,20.3,52,412,333,128,955,1037,35.9,11.3,219,3.6,24.4,0.0,0.0,1006,0.61,1009,314,29.7,219,8.0,2.3
0.75,2024-04-04,19.1,52,412,334,128,955,1038,36.3,4.6,279,3.6,24.8,0.0,0.0,1007,0.56,1010,215,30.4,279,8.0,2.4
0.25,2024-04-05,18.1,52,413,335,128,954,1040,37.8,9.2,217,5.2,24.8,0.0,0.0,1006,0.54,1009,333,31.1,217,10.0,2.6
0.14,2024-04-06,15.6,52,413,336,128,954,1042,38.1,11.3,301,4.8,25.9,0.3,0.3,1005,0.41,1009,336,32.0,301,10.0,3.1
0.0,2024-04-07,16.5,53,414,337,128,954,1043,37.0,11.5,233,4.4,26.7,0.0,0.0,1005,0.45,1008,337,30.9,233,8.0,2.9
0.0,2024-04-08,19.8,53,414,338,128,954,1045,37.4,11.5,250,3.2,24.8,0.0,0.0,1005,0.56,1008,338,30.9,250,6.4,2.1
0.0,2024-04-09,22.3,53,415,339,128,954,1046,36.7,11.6,219,4.0,25.6,0.0,0.0,1005,0.65,1008,339,30.8,219,7.6,2.6
0.11,2024-04-10,22.5,53,416,339,128,954,1047,35.9,11.6,205,4.4,25.9,0.0,0.0,1005,0.66,1008,339,30.2,205,8.4,3.0
0.24,2024-04-11,21.2,53,417,340,128,954,1048,35.6,10.4,208,4.4,25.6,0.0,0.0,1006,0.61,1009,339,30.2,208,8.4,2.6
