,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s)
clouds (%),1.0,0.6043133120588285,0.4184481235199971,0.40987332883901856,0.43999668564208716,0.30602574159304863,0.06431464242926381,0.4117998440149333,-0.41099850357860424,-0.7160173269888812,0.30183351259002467,0.4660189316891689,0.41429526409322026,0.5342468681334838,0.5342468681334838,-0.6573847357469839,0.7330395041658825,-0.6568390335765185,-0.7716279867718492,0.07752911437947665,0.30183351259002467,0.4479794418242507,0.46470262716235433
dewpt (°C),0.6043133120588285,1.0,0.6711741554913854,0.6727932709631547,0.6982207144685442,0.5765521351900259,0.2958256748528904,0.6769301438291946,0.061524838217352586,-0.15530301699584267,0.5160630869740388,0.4082349760259946,0.8572897241720929,0.35704644487766535,0.35704644487766535,-0.7857106412499285,0.8390602621047062,-0.788213295109462,-0.21967608859481702,0.6001821375912593,0.5160630869740388,0.39044688864189236,0.38297140562914755
dhi (W/m²),0.4184481235199971,0.6711741554913854,1.0,0.9968389468978075,0.99662059131261,0.9329400924428588,0.7125733700410524,0.9825315237504656,0.35346044916233804,0.2165047499794502,0.6676641703488702,0.5808360777729612,0.8370599267708008,0.25369800491640027,0.25369800491640027,-0.8008989646538229,0.3586443869748911,-0.8034158886690315,0.06156987882667076,0.7636196962309978,0.6676641703488702,0.592304027740163,0.4997209407843553
dni (W/m²),0.40987332883901856,0.6727932709631547,0.9968389468978075,1.0,0.9949111694058032,0.919811816624858,0.6901257936552033,0.9750428201433835,0.36884641064511686,0.22429913185000794,0.6584677717539622,0.5853802735198242,0.8427007438894746,0.24320357121196848,0.24320357121196848,-0.8050622823022204,0.34992108247407255,-0.8077767931659254,0.0740802582969753,0.7744576227477158,0.6584677717539622,0.5957752204286567,0.5048961762414237
ghi (W/m²),0.43999668564208716,0.6982207144685442,0.99662059131261,0.9949111694058032,1.0,0.9407173028956405,0.7214254208800472,0.9899442730404213,0.3450645532707978,0.19781455804740514,0.6776805738589357,0.5662807978596142,0.8507994012967696,0.26444462932261265,0.26444462932261265,-0.8071518507269054,0.3898324470584467,-0.8100044511570434,0.04720145347470421,0.7678114099410276,0.6776805738589357,0.5788324195901814,0.484606085474471
max_dhi (W/m²),0.30602574159304863,0.5765521351900259,0.9329400924428588,0.919811816624858,0.9407173028956405,1.0,0.9075297578213464,0.9754653108336274,0.4380304773077689,0.3137498232931384,0.686140736170727,0.3845938833680428,0.7604854247219875,0.19567818397052866,0.19567818397052866,-0.6310711846764259,0.256201401240727,-0.6347872804312157,0.16090207082378097,0.7568882850848292,0.686140736170727,0.41421010377139433,0.28611076115503586
max_dni (W/m²),0.06431464242926381,0.2958256748528904,0.7125733700410524,0.6901257936552033,0.7214254208800472,0.9075297578213464,1.0,0.8019439552285594,0.49866983147530614,0.4446878188253089,0.5984421408491275,0.10702605106268391,0.5041787548115028,0.055758318024418274,0.055758318024418274,-0.2886670080145735,0.003966303514649572,-0.2930852495397725,0.30987157578544244,0.6158587326827617,0.5984421408491275,0.1522630614044112,-0.0016814036008273537
max_ghi (W/m²),0.4117998440149333,0.6769301438291946,0.9825315237504656,0.9750428201433835,0.9899442730404213,0.9754653108336274,0.8019439552285594,1.0,0.37211400651080884,0.22742142873376556,0.6912300444468865,0.498107142108845,0.835074718450053,0.2531717359086298,0.2531717359086298,-0.756959031398731,0.36595993632636054,-0.7600321347265776,0.07428234218038142,0.772159211150443,0.6912300444468865,0.5184453574227813,0.4102530127414944
max_temp (°C),-0.41099850357860424,0.061524838217352586,0.35346044916233804,0.36884641064511686,0.3450645532707978,0.4380304773077689,0.49866983147530614,0.37211400651080884,1.0,0.6837629402252858,0.14440823154968735,-0.182997290892306,0.4286819670262009,-0.33381971635440383,-0.33381971635440383,-0.04754584065026534,-0.46018496658941543,-0.05180279994280086,0.6766445245485844,0.7875863280504669,0.14440823154968735,-0.1716936404299337,-0.27066080226881695
max_uv (Index),-0.7160173269888812,-0.15530301699584267,0.2165047499794502,0.22429913185000794,0.19781455804740514,0.3137498232931384,0.4446878188253089,0.22742142873376556,0.6837629402252858,1.0,0.15362421691868794,-0.13606269281260006,0.14353383655051438,-0.4287678962437162,-0.4287678962437162,0.18227802755409897,-0.5102737931554822,0.18337500274481874,0.930198017264073,0.4478131482477951,0.15362421691868794,-0.1041381537228458,-0.20513350197326582
max_wind_dir (°),0.30183351259002467,0.5160630869740388,0.6676641703488702,0.6584677717539622,0.6776805738589357,0.686140736170727,0.5984421408491275,0.6912300444468865,0.14440823154968735,0.15362421691868794,1.0,0.2559134452716939,0.5389370086887452,0.16729453604224018,0.16729453604224018,-0.48140936304642995,0.3649539808845581,-0.4826266413558416,0.07303608591893913,0.4504326482955324,1.0,0.27639681346911105,0.17159002346132726
max_wind_spd (m/s),0.4660189316891689,0.4082349760259946,0.5808360777729612,0.5853802735198242,0.5662807978596142,0.3845938833680428,0.10702605106268391,0.498107142108845,-0.182997290892306,-0.13606269281260006,0.2559134452716939,1.0,0.4374928870510644,0.30416922132422797,0.30416922132422797,-0.660668178011325,0.3801253804967944,-0.6597379334943402,-0.2380349334373198,0.21817111739495698,0.2559134452716939,0.9623389921637389,0.9569572529660855
min_temp (°C),0.41429526409322026,0.8572897241720929,0.8370599267708008,0.8427007438894746,0.8507994012967696,0.7604854247219875,0.5041787548115028,0.835074718450053,0.4286819670262009,0.14353383655051438,0.5389370086887452,0.4374928870510644,1.0,0.22497258304376402,0.22497258304376402,-0.7962079737410374,0.4785308016777886,-0.797957899475704,0.06471341043644595,0.8887071473046148,0.5389370086887451,0.43880672753451566,0.38313137151734444
precip (mm),0.5342468681334838,0.35704644487766535,0.25369800491640027,0.24320357121196848,0.26444462932261265,0.19567818397052866,0.055758318024418274,0.2531717359086298,-0.33381971635440383,-0.4287678962437162,0.16729453604224018,0.30416922132422797,0.22497258304376402,1.0,1.0,-0.44903574290139675,0.497065878164885,-0.4482828076451749,-0.5697401134169723,-0.00918469684211796,0.16729453604224018,0.31498738443961616,0.32251464652261985
