Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,86,"[0.0, 0.0, 0.01]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,158,"[15.5, 15.5, 13.6]"
dhi (W/m²),int64,366,0,17,"[40, 40, 40]"
dni (W/m²),int64,366,0,111,"[331, 331, 331]"
ghi (W/m²),int64,366,0,154,"[204, 205, 205]"
max_dhi (W/m²),int64,366,0,16,"[114, 114, 114]"
max_dni (W/m²),int64,366,0,55,"[901, 902, 902]"
max_ghi (W/m²),int64,366,0,205,"[730, 731, 733]"
max_temp (°C),float64,366,0,54,"[27.8, 26.7, 26.3]"
max_uv (Index),float64,366,0,92,"[5.8, 5.9, 5.7]"
max_wind_dir (°),int64,366,0,202,"[276, 192, 91]"
max_wind_spd (m/s),float64,366,0,18,"[2.8, 3.2, 4.0]"
min_temp (°C),float64,366,0,56,"[15.6, 15.6, 14.1]"
precip (mm),float64,366,0,56,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,56,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,23,"[1011, 1011, 1011]"
rh (%),float64,366,0,68,"[0.74, 0.75, 0.7]"
slp (hPa),int64,366,0,23,"[1014, 1014, 1014]"
solar_rad (W/m²),int64,366,0,206,"[204, 205, 205]"
temp (°C),float64,366,0,145,"[20.9, 20.5, 19.6]"
wind_dir (°),int64,366,0,202,"[276, 192, 91]"
wind_gust_spd (m/s),float64,366,0,27,"[5.6, 6.4, 7.6]"
wind_spd (m/s),float64,366,0,43,"[1.9, 2.3, 2.4]"
market_name (Text),object,366,0,1,"['Bavla', 'Bavla', 'Bavla']"
query_lat (°),float64,366,0,1,"[22.8309655214228, 22.8309655214228, 22.8309655214228]"
query_lon (°),float64,366,0,1,"[72.3579378735662, 72.3579378735662, 72.3579378735662]"
