,count,unique,top,freq,mean,std,min,25%,50%,75%,max
clouds (%),366.0,,,,0.36672131147540993,0.3692356621112236,0.0,0.02,0.23,0.71,1.0
Date ,366,366,2024-01-01,1,,,,,,,
dewpt (°C),366.0,,,,18.450273224043716,6.218988811933361,3.8,13.5,18.05,24.9,27.1
dhi (W/m²),366.0,,,,49.06284153005465,5.618841747951004,40.0,44.0,50.0,55.0,56.0
dni (W/m²),366.0,,,,392.3633879781421,38.61764340188063,330.0,355.25,398.5,431.0,440.0
ghi (W/m²),366.0,,,,297.5273224043716,58.13572279708584,202.0,241.0,311.5,354.75,364.0
max_dhi (W/m²),366.0,,,,122.54098360655738,4.755641277616969,113.0,119.0,125.0,126.0,128.0
max_dni (W/m²),366.0,,,,930.8633879781421,15.662989217575376,899.0,921.0,935.0,940.0,953.0
max_ghi (W/m²),366.0,,,,937.74043715847,120.12794938468738,724.0,825.0,989.0,1047.0,1058.0
max_temp (°C),366.0,,,,33.663387978142076,4.607501149899024,24.8,30.0,33.3,36.925,44.8
max_uv (Index),366.0,,,,7.1502732240437155,2.7250813599404298,2.2,5.2,6.75,9.149999999999999,12.1
max_wind_dir (°),366.0,,,,199.65027322404373,87.95635958647883,23.0,133.75,224.5,270.75,345.0
max_wind_spd (m/s),366.0,,,,3.9081967213114757,1.1915172896797004,1.6,3.2,3.6,4.7,9.6
min_temp (°C),366.0,,,,23.384972677595627,5.718072131703223,11.9,18.1,25.9,27.8,32.2
precip (mm),366.0,,,,2.9795081967213113,9.665259963830552,0.0,0.0,0.0,0.8,87.0
precip_gpm (mm/hr),366.0,,,,2.9795081967213113,9.665259963830552,0.0,0.0,0.0,0.8,87.0
pres (hPa),366.0,,,,1005.431693989071,5.7490421714979965,993.0,1001.0,1006.0,1010.0,1015.0
rh (%),366.0,,,,0.5993715846994536,0.16446638882571799,0.23,0.48,0.58,0.75,0.95
slp (hPa),366.0,,,,1008.2677595628415,5.814898098694076,996.0,1004.0,1009.0,1013.0,1018.0
solar_rad (W/m²),366.0,,,,234.1912568306011,85.41217731059545,36.0,193.75,236.0,301.5,364.0
temp (°C),366.0,,,,28.071857923497266,4.972543831390673,18.3,23.75,29.1,31.375,37.7
wind_dir (°),366.0,,,,199.65027322404373,87.95635958647883,23.0,133.75,224.5,270.75,345.0
wind_gust_spd (m/s),366.0,,,,7.887431693989072,2.0754020477259503,4.0,6.4,7.6,8.8,18.4
wind_spd (m/s),366.0,,,,2.7745901639344264,0.8959783640437382,1.2,2.2,2.6,3.2,7.5
market_name (Text),366,1,Bavla,366,,,,,,,
query_lat (°),366.0,,,,22.8309655214228,0.0,22.8309655214228,22.8309655214228,22.8309655214228,22.8309655214228,22.8309655214228
query_lon (°),366.0,,,,72.3579378735662,0.0,72.3579378735662,72.3579378735662,72.3579378735662,72.3579378735662,72.3579378735662
