,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.5816589719836626,0.4259523563292352,0.4181573121765086,0.4487961824729081,0.3995477400396093,0.24997480731596064,0.4402477825934081,-0.12103553076329071,-0.6227697971210541,0.17591917973332352,0.31050701292185634,0.3902479960901262,0.46591344135682056,0.46591344135682056,-0.5737603561555908,0.5929378109338277,-0.5702312720588878,-0.6929103397426991,0.182599948210824,0.17591917973332352,0.3253328651973667,0.2711469063383389,,
dewpt (°C),0.5816589719836626,1.0,0.6074808918773689,0.6054550242287257,0.6327418850194196,0.5348455873851293,0.3001080787359915,0.6126843222708903,0.31909708580128004,-0.1491065044423541,0.22711160145002776,0.2613743224785285,0.7836708373631729,0.356822484339053,0.356822484339053,-0.792681976629852,0.6993368403026211,-0.7902945107284052,-0.1931425055380735,0.6148050260138023,0.22711160145002776,0.27506388363387013,0.18987896261931309,,
dhi (W/m²),0.4259523563292352,0.6074808918773689,1.0,0.9982019737464838,0.9969943694776594,0.9483577503749497,0.7969133398794351,0.9843944337920117,0.7109687813902723,0.3386310536664908,0.5392997747277595,0.5001160684650388,0.8947205921416177,0.20911697074450306,0.20911697074450306,-0.8373573808896213,-0.0008762114468836844,-0.8368654989655182,0.22197651107461458,0.872796636439165,0.5392997747277595,0.4773497660003812,0.39682607093574257,,
dni (W/m²),0.4181573121765086,0.6054550242287257,0.9982019737464838,1.0,0.9968409034176212,0.9445673867362593,0.7895586437583751,0.9820542452499441,0.7181144835887519,0.34401441904146085,0.53162304036088,0.49744743055463864,0.8949506788086056,0.2018593262200432,0.2018593262200432,-0.8369986123477294,-0.007301453831630323,-0.8368307020410144,0.22721863692223662,0.8760390114874524,0.53162304036088,0.47716936102914925,0.3922082101322329,,
ghi (W/m²),0.4487961824729081,0.6327418850194196,0.9969943694776594,0.9968409034176212,1.0,0.9569436500770757,0.8062529519623303,0.9912690981908007,0.6980610577358567,0.31856648366529305,0.544661433361701,0.4866629872826685,0.9023318283514224,0.22093000019707895,0.22093000019707895,-0.8420740467930007,0.03258868566215124,-0.8418035139234552,0.20399672090113674,0.8721741520719043,0.544661433361701,0.46764211102744463,0.38088626977716694,,
max_dhi (W/m²),0.3995477400396093,0.5348455873851293,0.9483577503749497,0.9445673867362593,0.9569436500770757,1.0,0.9369607137875761,0.984295017074848,0.6916388393365254,0.3604791248625488,0.5711543535726584,0.39017449983497526,0.8468682807735095,0.19601528194025702,0.19601528194025702,-0.7126269885327856,-0.05638029627565942,-0.7126347390082449,0.24983355646828265,0.8423295599091446,0.5711543535726584,0.3751527801001393,0.28415489186083903,,
max_dni (W/m²),0.24997480731596064,0.3001080787359915,0.7969133398794351,0.7895586437583751,0.8062529519623303,0.9369607137875761,1.0,0.8692235576371207,0.6416742670738637,0.4322035296339374,0.5500027178580581,0.2503576702198827,0.6749689728753857,0.10567637473202414,0.10567637473202414,-0.45825031908837777,-0.23951154702930363,-0.4589923090978336,0.3351286985614096,0.721222072639068,0.5500027178580581,0.2340293908129182,0.15097309074665252,,
max_ghi (W/m²),0.4402477825934081,0.6126843222708903,0.9843944337920117,0.9820542452499441,0.9912690981908007,0.984295017074848,0.8692235576371207,1.0,0.6984527187278149,0.3307411119780921,0.5621907603568581,0.44409373254962853,0.8945087064225652,0.2201689614711171,0.2201689614711171,-0.8011098222578441,0.01299629581006206,-0.8008875044488613,0.2180248221368602,0.8704166184889742,0.5621907603568581,0.42822313743343837,0.33758816692066457,,
max_temp (°C),-0.12103553076329071,0.31909708580128004,0.7109687813902723,0.7181144835887519,0.6980610577358567,0.6916388393365254,0.6416742670738637,0.6984527187278149,1.0,0.6904520151026519,0.3777466567178301,0.16397174773195614,0.7642284041962846,-0.18508393192358835,-0.18508393192358835,-0.48436389802306984,-0.43409269117787513,-0.4841442724841874,0.6502163697079028,0.9197487142462105,0.3777466567178301,0.14638689295516585,0.07696406118322699,,
max_uv (Index),-0.6227697971210541,-0.1491065044423541,0.3386310536664908,0.34401441904146085,0.31856648366529305,0.3604791248625488,0.4322035296339374,0.3307411119780921,0.6904520151026519,1.0,0.26510619212154357,0.06170466793284581,0.2959568074266703,-0.3210456193372467,-0.3210456193372467,-0.018352124394558605,-0.6477425763160989,-0.02166852859696677,0.9388252099825557,0.49885073503849203,0.26510619212154357,0.027452902388567426,-0.0027743371756442214,,
