,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),366.0,0.36672131147540993,0.3692356621112236,0.0,0.02,0.23,0.71,1.0,1.0,100.68562981128579
dewpt (°C),366.0,18.450273224043716,6.218988811933361,3.8,13.5,18.05,24.9,27.1,23.3,33.70675727354001
dhi (W/m²),366.0,49.06284153005465,5.618841747951004,40.0,44.0,50.0,55.0,56.0,16.0,11.452336580442541
dni (W/m²),366.0,392.3633879781421,38.61764340188063,330.0,355.25,398.5,431.0,440.0,110.0,9.84231571678445
ghi (W/m²),366.0,297.5273224043716,58.13572279708584,202.0,241.0,311.5,354.75,364.0,162.0,19.53962490815319
max_dhi (W/m²),366.0,122.54098360655738,4.755641277616969,113.0,119.0,125.0,126.0,128.0,15.0,3.880857765011841
max_dni (W/m²),366.0,930.8633879781421,15.662989217575376,899.0,921.0,935.0,940.0,953.0,54.0,1.6826302784983056
max_ghi (W/m²),366.0,937.74043715847,120.12794938468738,724.0,825.0,989.0,1047.0,1058.0,334.0,12.810362508062218
max_temp (°C),366.0,33.663387978142076,4.607501149899024,24.8,30.0,33.3,36.925,44.8,19.999999999999996,13.686979910907107
max_uv (Index),366.0,7.1502732240437155,2.7250813599404298,2.2,5.2,6.75,9.149999999999999,12.1,9.899999999999999,38.11156964991201
max_wind_dir (°),366.0,199.65027322404373,87.95635958647883,23.0,133.75,224.5,270.75,345.0,322.0,44.0552162369324
max_wind_spd (m/s),366.0,3.9081967213114757,1.1915172896797004,1.6,3.2,3.6,4.7,9.6,8.0,30.487648771166832
min_temp (°C),366.0,23.384972677595627,5.718072131703223,11.9,18.1,25.9,27.8,32.2,20.300000000000004,24.451908542025024
precip (mm),366.0,2.9795081967213113,9.665259963830552,0.0,0.0,0.0,0.8,87.0,87.0,324.391118455936
precip_gpm (mm/hr),366.0,2.9795081967213113,9.665259963830552,0.0,0.0,0.0,0.8,87.0,87.0,324.391118455936
pres (hPa),366.0,1005.431693989071,5.7490421714979965,993.0,1001.0,1006.0,1010.0,1015.0,22.0,0.5717983833082239
rh (%),366.0,0.5993715846994536,0.16446638882571799,0.23,0.48,0.58,0.75,0.95,0.72,27.439804125547145
slp (hPa),366.0,1008.2677595628415,5.814898098694076,996.0,1004.0,1009.0,1013.0,1018.0,22.0,0.5767216142282744
solar_rad (W/m²),366.0,234.1912568306011,85.41217731059545,36.0,193.75,236.0,301.5,364.0,328.0,36.47112128202853
temp (°C),366.0,28.071857923497266,4.972543831390673,18.3,23.75,29.1,31.375,37.7,19.400000000000002,17.713625670741425
wind_dir (°),366.0,199.65027322404373,87.95635958647883,23.0,133.75,224.5,270.75,345.0,322.0,44.0552162369324
wind_gust_spd (m/s),366.0,7.887431693989072,2.0754020477259503,4.0,6.4,7.6,8.8,18.4,14.399999999999999,26.31277364097609
wind_spd (m/s),366.0,2.7745901639344264,0.8959783640437382,1.2,2.2,2.6,3.2,7.5,6.3,32.29227781782454
query_lat (°),366.0,22.8309655214228,0.0,22.8309655214228,22.8309655214228,22.8309655214228,22.8309655214228,22.8309655214228,0.0,0.0
query_lon (°),366.0,72.3579378735662,0.0,72.3579378735662,72.3579378735662,72.3579378735662,72.3579378735662,72.3579378735662,0.0,0.0
