Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds (%),0,0.00%,0,-1.015,1.7449999999999999
dewpt (°C),0,0.00%,0,-3.599999999999998,42.0
dhi (W/m²),0,0.00%,0,27.5,71.5
dni (W/m²),0,0.00%,0,241.625,544.625
ghi (W/m²),0,0.00%,0,70.375,525.375
max_dhi (W/m²),0,0.00%,0,108.5,136.5
max_dni (W/m²),0,0.00%,0,892.5,968.5
max_ghi (W/m²),0,0.00%,0,492.0,1380.0
max_temp (°C),0,0.00%,0,19.612500000000004,47.31249999999999
max_uv (Index),0,0.00%,0,-0.724999999999997,15.074999999999996
max_wind_dir (°),0,0.00%,0,-71.75,476.25
max_wind_spd (m/s),5,1.37%,4,0.9500000000000002,6.95
min_temp (°C),0,0.00%,0,3.5500000000000025,42.35
precip (mm),63,17.21%,10,-1.2000000000000002,2.0
precip_gpm (mm/hr),63,17.21%,10,-1.2000000000000002,2.0
pres (hPa),0,0.00%,0,987.5,1023.5
rh (%),0,0.00%,0,0.07499999999999996,1.155
slp (hPa),0,0.00%,0,990.5,1026.5
solar_rad (W/m²),0,0.00%,0,32.125,463.125
temp (°C),0,0.00%,0,12.3125,42.8125
wind_dir (°),0,0.00%,0,-71.75,476.25
wind_gust_spd (m/s),8,2.19%,4,2.8,12.400000000000002
wind_spd (m/s),8,2.19%,4,0.7000000000000002,4.7
query_lat (°),0,0.00%,0,22.8309655214228,22.8309655214228
query_lon (°),0,0.00%,0,72.3579378735662,72.3579378735662
