Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,91,"[0.0, 0.0, 0.0]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,165,"[14.5, 15.0, 13.0]"
dhi (W/m²),int64,366,0,17,"[40, 40, 40]"
dni (W/m²),int64,366,0,109,"[331, 331, 332]"
ghi (W/m²),int64,366,0,152,"[206, 207, 207]"
max_dhi (W/m²),int64,366,0,14,"[114, 114, 114]"
max_dni (W/m²),int64,366,0,54,"[903, 903, 904]"
max_ghi (W/m²),int64,366,0,193,"[734, 736, 737]"
max_temp (°C),float64,366,0,56,"[29.3, 27.4, 27.4]"
max_uv (Index),float64,366,0,93,"[5.9, 5.9, 6.0]"
max_wind_dir (°),int64,366,0,198,"[312, 258, 158]"
max_wind_spd (m/s),float64,366,0,21,"[3.6, 4.0, 4.8]"
min_temp (°C),float64,366,0,55,"[16.3, 16.3, 14.4]"
precip (mm),float64,366,0,78,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,78,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,23,"[1012, 1011, 1011]"
rh (%),float64,366,0,70,"[0.63, 0.68, 0.63]"
slp (hPa),int64,366,0,23,"[1014, 1014, 1014]"
solar_rad (W/m²),int64,366,0,195,"[206, 207, 207]"
temp (°C),float64,366,0,157,"[22.5, 21.7, 20.8]"
wind_dir (°),int64,366,0,198,"[312, 258, 158]"
wind_gust_spd (m/s),float64,366,0,26,"[6.4, 7.2, 8.0]"
wind_spd (m/s),float64,366,0,51,"[2.8, 3.0, 3.1]"
market_name (Text),object,366,0,1,"['Dhandhuka', 'Dhandhuka', 'Dhandhuka']"
query_lat (°),float64,366,0,1,"[22.3771177068201, 22.3771177068201, 22.3771177068201]"
query_lon (°),float64,366,0,1,"[71.9785232834218, 71.9785232834218, 71.9785232834218]"
