,count,unique,top,freq,mean,std,min,25%,50%,75%,max
clouds (%),366.0,,,,0.3666939890710382,0.36548897525406,0.0,0.02,0.235,0.71,1.0
Date ,366,366,2024-01-01,1,,,,,,,
dewpt (°C),366.0,,,,17.72704918032787,6.720967439558241,2.0,12.425,16.85,24.875,26.9
dhi (W/m²),366.0,,,,49.01912568306011,5.4719374045673215,40.0,44.0,50.0,54.0,56.0
dni (W/m²),366.0,,,,392.3879781420765,37.72760724230544,331.0,356.25,400.0,429.0,439.0
ghi (W/m²),366.0,,,,298.3606557377049,57.26899740895037,204.0,242.25,312.5,354.0,364.0
max_dhi (W/m²),366.0,,,,122.55464480874316,4.573421459487006,114.0,119.0,125.0,126.0,127.0
max_dni (W/m²),366.0,,,,931.5136612021857,15.1823105154081,900.0,922.25,935.0,940.0,953.0
max_ghi (W/m²),366.0,,,,939.5601092896175,118.22145666219178,729.0,828.5,991.0,1046.0,1058.0
max_temp (°C),366.0,,,,34.78005464480874,4.878699691714717,25.6,31.1,34.1,38.9,47.0
max_uv (Index),366.0,,,,7.22896174863388,2.705201993047905,2.2,5.225,6.85,9.275,12.1
max_wind_dir (°),366.0,,,,211.5054644808743,85.36120656654283,26.0,163.25,231.5,276.75,346.0
max_wind_spd (m/s),366.0,,,,4.756284153005465,1.416556258714898,2.0,3.6,4.6,5.6,11.6
min_temp (°C),366.0,,,,24.101912568306012,5.302221984781135,13.0,19.6,26.3,27.8,33.3
precip (mm),366.0,,,,4.121584699453551,9.828033636139038,0.0,0.0,0.0,4.0,91.8
precip_gpm (mm/hr),366.0,,,,4.121584699453551,9.828033636139038,0.0,0.0,0.0,4.0,91.8
pres (hPa),366.0,,,,1005.6420765027323,5.7075081581153455,994.0,1001.0,1006.0,1010.0,1016.0
rh (%),366.0,,,,0.5580327868852459,0.1877814498151448,0.2,0.42,0.5,0.76,0.93
slp (hPa),366.0,,,,1008.2431693989071,5.759889155016327,996.0,1004.0,1009.0,1013.0,1018.0
solar_rad (W/m²),366.0,,,,236.0928961748634,84.268371705791,36.0,198.0,237.5,302.75,364.0
temp (°C),366.0,,,,29.12185792349727,4.792221190212671,19.3,25.625,29.5,32.1,39.1
wind_dir (°),366.0,,,,211.5054644808743,85.36120656654283,26.0,163.25,231.5,276.75,346.0
wind_gust_spd (m/s),366.0,,,,8.433879781420766,2.055490402912843,4.8,6.8,8.4,9.6,18.0
wind_spd (m/s),366.0,,,,3.33415300546448,1.0781809737431036,1.4,2.6,3.1,3.9,8.6
market_name (Text),366,1,Dhandhuka,366,,,,,,,
query_lat (°),366.0,,,,22.377117706820105,3.557577081048374e-15,22.3771177068201,22.3771177068201,22.3771177068201,22.3771177068201,22.3771177068201
query_lon (°),366.0,,,,71.97852328342178,1.4230308324193497e-14,71.9785232834218,71.9785232834218,71.9785232834218,71.9785232834218,71.9785232834218
