clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,14.5,40,331,206,114,903,734,29.3,5.9,312,3.6,16.3,0.0,0.0,1012,0.63,1014,206,22.5,312,6.4,2.8,Dhandhuka,22.3771177068201,71.9785232834218
0.0,2024-01-02,15.0,40,331,207,114,903,736,27.4,5.9,258,4.0,16.3,0.0,0.0,1011,0.68,1014,207,21.7,258,7.2,3.0,Dhandhuka,22.3771177068201,71.9785232834218
0.0,2024-01-03,13.0,40,332,207,114,904,737,27.4,6.0,158,4.8,14.4,0.0,0.0,1011,0.63,1014,207,20.8,158,8.0,3.1,Dhandhuka,22.3771177068201,71.9785232834218
0.0,2024-01-04,12.3,40,332,208,114,904,738,27.0,6.0,91,5.2,14.8,0.0,0.0,1012,0.63,1014,208,20.3,91,9.2,3.5,Dhandhuka,22.3771177068201,71.9785232834218
0.09,2024-01-05,11.7,40,332,209,114,904,740,27.0,6.0,90,5.2,13.7,0.0,0.0,1012,0.61,1015,207,19.9,90,8.0,3.3,Dhandhuka,22.3771177068201,71.9785232834218
0.01,2024-01-06,11.6,40,333,209,114,905,741,26.3,6.0,29,5.2,14.4,0.0,0.0,1013,0.61,1016,209,20.0,29,9.2,3.7,Dhandhuka,22.3771177068201,71.9785232834218
0.04,2024-01-07,13.5,40,333,210,114,905,743,27.8,6.0,36,4.8,15.6,0.0,0.0,1013,0.64,1015,210,20.9,36,8.8,4.1,Dhandhuka,22.3771177068201,71.9785232834218
0.34,2024-01-08,16.5,41,333,211,115,906,745,27.8,4.7,48,5.2,17.8,0.0,0.0,1012,0.71,1015,204,22.3,48,8.4,3.8,Dhandhuka,22.3771177068201,71.9785232834218
0.24,2024-01-09,12.8,41,334,211,115,906,746,27.4,4.9,232,6.4,18.5,0.0,0.0,1013,0.55,1015,210,22.4,232,11.2,5.2,Dhandhuka,22.3771177068201,71.9785232834218
0.06,2024-01-10,14.4,41,334,212,115,907,748,27.8,5.7,204,5.2,17.4,0.0,0.0,1013,0.62,1015,212,22.3,204,8.4,4.2,Dhandhuka,22.3771177068201,71.9785232834218
