,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.6132907349618918,0.4207581688418545,0.40950962302701216,0.44777861786090034,0.3861778969922735,0.23094587070320877,0.4380065060274295,-0.22434260966931657,-0.6107401653573458,0.12345763996939313,0.18990545421840996,0.3456146923690731,0.4646281560669366,0.4646281560669366,-0.5790941171904841,0.6560862930212238,-0.5762649255931991,-0.6843761982091945,0.07968798782083258,0.12345763996939313,0.16304680912986025,0.18443130997720356,,
dewpt (°C),0.6132907349618918,1.0,0.5761992392278832,0.571433239306196,0.604534554679351,0.49525438131922256,0.2508023102214645,0.5840858555982187,0.11720206629517808,-0.17442417231627294,0.1325995746915784,0.16656917694232712,0.698718198448068,0.46450057973564557,0.46450057973564557,-0.7791051782329409,0.7885579780205529,-0.7785699221594304,-0.22124036180176543,0.4515115662852296,0.1325995746915784,0.11144315158872001,0.1070540588842269,,
dhi (W/m²),0.4207581688418545,0.5761992392278832,1.0,0.997857391497444,0.9969099801991813,0.9486352209342103,0.7931082546286449,0.9859749719750214,0.6380776092586022,0.3575426573583507,0.4747391525708114,0.5069603641410807,0.8902525910486088,0.20867216127913424,0.20867216127913424,-0.8318443573870241,0.10335686802238297,-0.8276007381967995,0.23959005391496416,0.8290774097358159,0.4747391525708114,0.4311851361923239,0.39047975697542087,,
dni (W/m²),0.40950962302701216,0.571433239306196,0.997857391497444,1.0,0.9965911250500881,0.9443714615536586,0.7860894059882284,0.9834910720564715,0.6520228780991123,0.36617677849033226,0.4661946353573986,0.5129600667484978,0.8930060562511316,0.194627489850692,0.194627489850692,-0.8357479200925751,0.09085544036725536,-0.8320730002314881,0.24860894900833488,0.8377438183715119,0.4661946353573986,0.43830640453717123,0.3949674448562153,,
ghi (W/m²),0.44777861786090034,0.604534554679351,0.9969099801991813,0.9965911250500881,1.0,0.9536681307066848,0.7954918253461786,0.9911926354292226,0.6204099914434104,0.33350425788003774,0.4773918330734382,0.49859855264057884,0.8949542043068386,0.2300837031600299,0.2300837031600299,-0.8438428832144862,0.14001208670162235,-0.8396767353070653,0.21635745247884886,0.8228781885840714,0.4773918330734382,0.4232603300236084,0.3842007467774768,,
max_dhi (W/m²),0.3861778969922735,0.49525438131922256,0.9486352209342103,0.9443714615536586,0.9536681307066848,1.0,0.9333531055271282,0.98249457630072,0.6417539250067478,0.38215252763618324,0.5159074740793753,0.4109157680681279,0.854187973516351,0.22466994630207168,0.22466994630207168,-0.7076689115015001,0.03843940310983335,-0.7026916361733432,0.2690437597882775,0.8118934527689586,0.5159074740793753,0.3523876872750996,0.29918050490519843,,
max_dni (W/m²),0.23094587070320877,0.2508023102214645,0.7931082546286449,0.7860894059882284,0.7954918253461786,0.9333531055271282,1.0,0.8600236280774272,0.6363719303907829,0.4436100204230519,0.5070556623252489,0.2945026373697035,0.6990332813204619,0.13011605081415512,0.13011605081415512,-0.44465444625658707,-0.16435741048273322,-0.43923238299035267,0.3462260305063694,0.7224421207283848,0.5070556623252489,0.2597258633803315,0.19345950137448648,,
max_ghi (W/m²),0.4380065060274295,0.5840858555982187,0.9859749719750214,0.9834910720564715,0.9911926354292226,0.98249457630072,0.8600236280774272,1.0,0.6288519890233376,0.3449196522340264,0.49396315741753577,0.45839665543463404,0.894150440554494,0.24396544533908487,0.24396544533908487,-0.8034052051338191,0.12036310225650132,-0.7987633730417152,0.229245481500932,0.8272895243096693,0.49396315741753577,0.39017100735588334,0.3458550063074603,,
max_temp (°C),-0.22434260966931657,0.11720206629517808,0.6380776092586022,0.6520228780991123,0.6204099914434104,0.6417539250067478,0.6363719303907829,0.6288519890233376,1.0,0.7442051704369926,0.3286229623216388,0.26072605585530245,0.7283699099835138,-0.23568113798070767,-0.23568113798070767,-0.36082168093568223,-0.5024814441963074,-0.36190934744739656,0.7088418519039967,0.9212175383714875,0.3286229623216388,0.20427142244570962,0.1270450010183828,,
max_uv (Index),-0.6107401653573458,-0.17442417231627294,0.3575426573583507,0.36617677849033226,0.33350425788003774,0.38215252763618324,0.4436100204230519,0.3449196522340264,0.7442051704369926,1.0,0.2753110464894499,0.20989644717557437,0.3567592053448016,-0.3144733827748602,-0.3144733827748602,-0.03609314104664849,-0.5984739586281143,-0.03583024227010671,0.9385772898507576,0.580381481153022,0.2753110464894499,0.18598886138875584,0.10959851454369268,,
