,count,mean,std,min,25%,50%,75%,max,range,cv
clouds (%),366.0,0.3666939890710382,0.36548897525406,0.0,0.02,0.235,0.71,1.0,1.0,99.67138435510468
dewpt (°C),366.0,17.72704918032787,6.720967439558241,2.0,12.425,16.85,24.875,26.9,24.9,37.913627762801376
dhi (W/m²),366.0,49.01912568306011,5.4719374045673215,40.0,44.0,50.0,54.0,56.0,16.0,11.16286210396098
dni (W/m²),366.0,392.3879781420765,37.72760724230544,331.0,356.25,400.0,429.0,439.0,108.0,9.614873376330852
ghi (W/m²),366.0,298.3606557377049,57.26899740895037,204.0,242.25,312.5,354.0,364.0,160.0,19.194554076626222
max_dhi (W/m²),366.0,122.55464480874316,4.573421459487006,114.0,119.0,125.0,126.0,127.0,13.0,3.731740617929427
max_dni (W/m²),366.0,931.5136612021857,15.1823105154081,900.0,922.25,935.0,940.0,953.0,53.0,1.6298537689521622
max_ghi (W/m²),366.0,939.5601092896175,118.22145666219178,729.0,828.5,991.0,1046.0,1058.0,329.0,12.582638991727379
max_temp (°C),366.0,34.78005464480874,4.878699691714717,25.6,31.1,34.1,38.9,47.0,21.4,14.027291623139842
max_uv (Index),366.0,7.22896174863388,2.705201993047905,2.2,5.225,6.85,9.275,12.1,9.899999999999999,37.42172233182905
max_wind_dir (°),366.0,211.5054644808743,85.36120656654283,26.0,163.25,231.5,276.75,346.0,320.0,40.358865798600554
max_wind_spd (m/s),366.0,4.756284153005465,1.416556258714898,2.0,3.6,4.6,5.6,11.6,9.6,29.78283494310964
min_temp (°C),366.0,24.101912568306012,5.302221984781135,13.0,19.6,26.3,27.8,33.3,20.299999999999997,21.999175251152273
precip (mm),366.0,4.121584699453551,9.828033636139038,0.0,0.0,0.0,4.0,91.8,91.8,238.45278825501413
precip_gpm (mm/hr),366.0,4.121584699453551,9.828033636139038,0.0,0.0,0.0,4.0,91.8,91.8,238.45278825501413
pres (hPa),366.0,1005.6420765027323,5.7075081581153455,994.0,1001.0,1006.0,1010.0,1016.0,22.0,0.567548662836786
rh (%),366.0,0.5580327868852459,0.1877814498151448,0.2,0.42,0.5,0.76,0.93,0.73,33.65061233467635
slp (hPa),366.0,1008.2431693989071,5.759889155016327,996.0,1004.0,1009.0,1013.0,1018.0,22.0,0.5712797596685182
solar_rad (W/m²),366.0,236.0928961748634,84.268371705791,36.0,198.0,237.5,302.75,364.0,328.0,35.692887448581764
temp (°C),366.0,29.12185792349727,4.792221190212671,19.3,25.625,29.5,32.1,39.1,19.8,16.45575362259431
wind_dir (°),366.0,211.5054644808743,85.36120656654283,26.0,163.25,231.5,276.75,346.0,320.0,40.358865798600554
wind_gust_spd (m/s),366.0,8.433879781420766,2.055490402912843,4.8,6.8,8.4,9.6,18.0,13.2,24.37182478508813
wind_spd (m/s),366.0,3.33415300546448,1.0781809737431036,1.4,2.6,3.1,3.9,8.6,7.199999999999999,32.337477373594695
query_lat (°),366.0,22.377117706820105,3.557577081048374e-15,22.3771177068201,22.3771177068201,22.3771177068201,22.3771177068201,22.3771177068201,0.0,1.5898281126546047e-14
query_lon (°),366.0,71.97852328342178,1.4230308324193497e-14,71.9785232834218,71.9785232834218,71.9785232834218,71.9785232834218,71.9785232834218,0.0,1.9770214329294315e-14
