Column,IQR Outliers,IQR %,Z-Score Outliers (>3),Lower Bound,Upper Bound
clouds (%),0,0.00%,0,-1.015,1.7449999999999999
dewpt (°C),0,0.00%,0,-6.2499999999999964,43.55
dhi (W/m²),0,0.00%,0,29.0,69.0
dni (W/m²),0,0.00%,0,247.125,538.125
ghi (W/m²),0,0.00%,0,74.625,521.625
max_dhi (W/m²),0,0.00%,0,108.5,136.5
max_dni (W/m²),0,0.00%,0,895.625,966.625
max_ghi (W/m²),0,0.00%,0,502.25,1372.25
max_temp (°C),0,0.00%,0,19.400000000000006,50.599999999999994
max_uv (Index),0,0.00%,0,-0.8500000000000014,15.350000000000001
max_wind_dir (°),0,0.00%,0,-7.0,447.0
max_wind_spd (m/s),5,1.37%,5,0.600000000000001,8.599999999999998
min_temp (°C),0,0.00%,0,7.3000000000000025,40.1
precip (mm),50,13.66%,10,-6.0,10.0
precip_gpm (mm/hr),50,13.66%,10,-6.0,10.0
pres (hPa),0,0.00%,0,987.5,1023.5
rh (%),0,0.00%,0,-0.09000000000000002,1.27
slp (hPa),0,0.00%,0,990.5,1026.5
solar_rad (W/m²),2,0.55%,0,40.875,459.875
temp (°C),0,0.00%,0,15.912499999999998,41.8125
wind_dir (°),0,0.00%,0,-7.0,447.0
wind_gust_spd (m/s),5,1.37%,4,2.6000000000000005,13.799999999999999
wind_spd (m/s),7,1.91%,4,0.6500000000000004,5.85
query_lat (°),0,0.00%,0,22.3771177068201,22.3771177068201
query_lon (°),0,0.00%,0,71.9785232834218,71.9785232834218
