Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,86,"[0.0, 0.0, 0.0]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,153,"[11.7, 12.7, 10.4]"
dhi (W/m²),int64,366,0,15,"[41, 41, 41]"
dni (W/m²),int64,366,0,102,"[336, 336, 336]"
ghi (W/m²),int64,366,0,142,"[213, 213, 214]"
max_dhi (W/m²),int64,366,0,14,"[115, 115, 115]"
max_dni (W/m²),int64,366,0,50,"[909, 909, 909]"
max_ghi (W/m²),int64,366,0,193,"[752, 753, 754]"
max_temp (°C),float64,366,0,45,"[28.9, 27.8, 27.0]"
max_uv (Index),float64,366,0,96,"[6.1, 6.2, 6.2]"
max_wind_dir (°),int64,366,0,201,"[157, 144, 15]"
max_wind_spd (m/s),float64,366,0,20,"[2.8, 3.6, 3.6]"
min_temp (°C),float64,366,0,46,"[16.3, 15.9, 14.4]"
precip (mm),float64,366,0,61,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,61,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,22,"[991, 990, 990]"
rh (%),float64,366,0,75,"[0.54, 0.61, 0.55]"
slp (hPa),int64,366,0,22,"[1015, 1014, 1014]"
solar_rad (W/m²),int64,366,0,210,"[213, 213, 214]"
temp (°C),float64,366,0,134,"[21.9, 21.3, 20.6]"
wind_dir (°),int64,366,0,201,"[157, 144, 15]"
wind_gust_spd (m/s),float64,366,0,33,"[6.8, 7.2, 8.4]"
wind_spd (m/s),float64,366,0,56,"[2.4, 2.7, 2.8]"
market_name (Text),object,366,0,1,"['Dhari', 'Dhari', 'Dhari']"
query_lat (°),float64,366,0,1,"[21.3313652169747, 21.3313652169747, 21.3313652169747]"
query_lon (°),float64,366,0,1,"[71.0238281988568, 71.0238281988568, 71.0238281988568]"
