clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,11.7,41,336,213,115,909,752,28.9,6.1,157,2.8,16.3,0.0,0.0,991,0.54,1015,213,21.9,157,6.8,2.4,Dhari,21.3313652169747,71.0238281988568
0.0,2024-01-02,12.7,41,336,213,115,909,753,27.8,6.2,144,3.6,15.9,0.0,0.0,990,0.61,1014,213,21.3,144,7.2,2.7,Dhari,21.3313652169747,71.0238281988568
0.0,2024-01-03,10.4,41,336,214,115,909,754,27.0,6.2,15,3.6,14.4,0.0,0.0,990,0.55,1014,214,20.6,15,8.4,2.8,Dhari,21.3313652169747,71.0238281988568
0.01,2024-01-04,9.9,41,337,214,115,910,755,27.0,6.2,16,4.8,14.8,0.0,0.0,990,0.53,1014,214,20.4,16,9.6,3.3,Dhari,21.3313652169747,71.0238281988568
0.0,2024-01-05,8.8,41,337,215,115,910,757,27.8,6.2,22,4.8,13.7,0.0,0.0,991,0.49,1014,215,20.3,22,9.2,3.4,Dhari,21.3313652169747,71.0238281988568
0.12,2024-01-06,9.1,41,337,216,115,911,758,26.7,6.2,32,5.2,15.2,0.0,0.0,991,0.5,1015,216,20.2,32,10.8,3.9,Dhari,21.3313652169747,71.0238281988568
0.09,2024-01-07,12.7,41,337,216,115,911,760,27.8,6.3,32,4.8,15.9,0.0,0.0,991,0.59,1015,215,21.1,32,9.2,3.6,Dhari,21.3313652169747,71.0238281988568
0.18,2024-01-08,15.8,41,338,217,115,912,762,28.1,4.7,21,4.8,17.0,0.0,0.0,991,0.69,1015,209,21.9,21,8.8,4.0,Dhari,21.3313652169747,71.0238281988568
0.27,2024-01-09,12.7,41,338,218,116,912,763,27.0,5.6,18,5.6,18.1,0.0,0.0,992,0.56,1015,216,22.2,18,11.6,4.9,Dhari,21.3313652169747,71.0238281988568
0.29,2024-01-10,13.6,41,339,218,116,913,765,27.8,5.8,22,4.8,17.8,0.0,0.0,992,0.58,1015,217,22.2,22,8.8,3.9,Dhari,21.3313652169747,71.0238281988568
0.01,2024-01-11,15.4,41,339,219,116,913,767,29.3,6.4,24,4.0,17.8,0.0,0.0,992,0.63,1016,219,23.1,24,8.8,3.3,Dhari,21.3313652169747,71.0238281988568
0.03,2024-01-12,15.0,41,339,220,116,914,769,30.7,6.4,119,3.6,18.5,0.0,0.0,991,0.59,1015,220,23.9,119,8.0,2.7,Dhari,21.3313652169747,71.0238281988568
0.0,2024-01-13,12.1,41,340,221,116,914,772,30.4,6.4,283,3.6,18.1,0.0,0.0,992,0.51,1015,221,23.5,283,8.0,2.4,Dhari,21.3313652169747,71.0238281988568
0.0,2024-01-14,9.2,41,340,222,116,915,774,29.3,6.4,286,3.6,16.3,0.0,0.0,992,0.44,1016,222,22.5,286,7.6,2.3,Dhari,21.3313652169747,71.0238281988568
0.0,2024-01-15,9.3,42,341,223,116,916,776,28.1,6.5,244,2.8,15.9,0.0,0.0,991,0.49,1015,223,21.3,244,7.6,2.3,Dhari,21.3313652169747,71.0238281988568
0.26,2024-01-16,9.0,42,341,224,116,916,779,27.8,5.1,313,2.4,14.1,0.0,0.0,989,0.49,1013,206,21.0,313,6.4,1.8,Dhari,21.3313652169747,71.0238281988568
0.34,2024-01-17,13.1,42,342,225,117,917,781,27.4,5.5,199,2.8,15.2,0.0,0.0,988,0.64,1012,192,20.8,199,6.8,1.9,Dhari,21.3313652169747,71.0238281988568
0.02,2024-01-18,12.9,42,343,226,117,917,784,27.4,6.6,81,3.2,16.3,0.0,0.0,990,0.61,1014,226,21.5,81,7.6,2.2,Dhari,21.3313652169747,71.0238281988568
0.0,2024-01-19,9.9,42,343,227,117,918,786,27.8,6.6,25,4.8,15.2,0.0,0.0,990,0.52,1014,227,20.8,25,9.6,3.3,Dhari,21.3313652169747,71.0238281988568
0.35,2024-01-20,7.7,42,344,228,117,919,789,27.4,6.7,23,4.8,15.6,0.0,0.0,992,0.45,1016,202,20.9,23,9.6,3.4,Dhari,21.3313652169747,71.0238281988568
0.73,2024-01-21,6.3,42,344,229,117,920,792,27.8,2.3,35,4.4,15.2,0.0,0.0,992,0.39,1016,86,21.1,35,9.6,3.3,Dhari,21.3313652169747,71.0238281988568
0.4,2024-01-22,7.0,42,345,230,117,920,795,28.1,6.7,112,4.0,15.6,0.0,0.0,992,0.42,1016,212,21.4,112,8.8,3.0,Dhari,21.3313652169747,71.0238281988568
0.07,2024-01-23,8.0,42,346,231,117,921,798,27.4,6.8,148,4.0,14.4,0.0,0.0,993,0.46,1017,231,20.7,148,9.2,2.5,Dhari,21.3313652169747,71.0238281988568
0.19,2024-01-24,8.7,42,346,232,118,922,801,28.1,6.8,83,4.0,14.4,0.0,0.0,992,0.48,1016,232,20.8,83,9.2,2.8,Dhari,21.3313652169747,71.0238281988568
