,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.62315817491144,0.42435160258558646,0.4078563068347896,0.4498686619463872,0.34490137511577024,0.1439679508705664,0.4324917726729238,-0.2695228622664324,-0.666973378237133,0.21078052865031696,0.3781796799005739,0.4543237841222042,0.47275776630964744,0.47275776630964744,-0.6513607687013919,0.7048391200930656,-0.6355965340541172,-0.7355103700988793,0.12514528553799611,0.21078052865031696,0.32557993991567563,0.3749945293850386,,
dewpt (°C),0.62315817491144,1.0,0.6058293353939981,0.603981776650615,0.6323341344281731,0.4973656855678347,0.2109521762745787,0.6085908269212565,0.11894138823207871,-0.21456476439274685,0.3414072327592317,0.32452210476602544,0.7817531281056586,0.34848511707938856,0.34848511707938856,-0.7841113337453386,0.8678857807546434,-0.7893397297644565,-0.25819152269198,0.51175066244419,0.3414072327592317,0.24395977530915014,0.3117242922678506,,
dhi (W/m²),0.42435160258558646,0.6058293353939981,1.0,0.9978686048460245,0.9965684745362534,0.9362429902437459,0.7412647926176529,0.9839919059377225,0.5806673274299212,0.298726000730685,0.6690540843019068,0.5057183885039248,0.8881377431192709,0.20109672879076496,0.20109672879076496,-0.7814482519093622,0.2715761432774042,-0.8042379030338231,0.1559691249685121,0.8389451680269622,0.6690540843019068,0.4834294030148389,0.47699326047715235,,
dni (W/m²),0.4078563068347896,0.603981776650615,0.9978686048460245,1.0,0.99583962992086,0.9327766045734279,0.7360489796590828,0.9816397843802692,0.5970822219289406,0.3150472999757566,0.6625035458076018,0.5069981574371308,0.8942782348254039,0.19543243810032546,0.19543243810032546,-0.7823418743331096,0.2609723932077094,-0.8055840397594723,0.17223715770036208,0.8506175606776806,0.6625035458076018,0.4873158985218546,0.47856522832476767,,
ghi (W/m²),0.4498686619463872,0.6323341344281731,0.9965684745362534,0.99583962992086,1.0,0.9430910386246664,0.7456589018822409,0.9905163690812598,0.5624586824763586,0.2737577470900932,0.6764874797409135,0.5029301302325834,0.9002656601537641,0.21803000045153872,0.21803000045153872,-0.7919343603629356,0.3055532194229051,-0.8143496200987693,0.13403357358206405,0.8367691982738388,0.6764874797409135,0.4769095480756497,0.47661044461863816,,
max_dhi (W/m²),0.34490137511577024,0.4973656855678347,0.9362429902437459,0.9327766045734279,0.9430910386246664,1.0,0.9158018116953104,0.9767067794595182,0.6162074144979012,0.36199236443659516,0.7145048315134671,0.36297330550704127,0.8340443214422109,0.1559047713516316,0.1559047713516316,-0.6114186260031356,0.16353319878421,-0.6396945754089597,0.22173904742303788,0.8327731189374046,0.7145048315134671,0.3499530266200646,0.33219721130188656,,
max_dni (W/m²),0.1439679508705664,0.2109521762745787,0.7412647926176529,0.7360489796590828,0.7456589018822409,0.9158018116953104,1.0,0.8195609020788899,0.6320182817643295,0.4554034392283877,0.6634938116983291,0.16161544064515165,0.6198596064419207,0.05467253567365267,0.05467253567365267,-0.29887683423870515,-0.09948184490728937,-0.33002239233278646,0.32746930199229785,0.7219796880446282,0.6634938116983291,0.1783692942185205,0.12769835807552304,,
max_ghi (W/m²),0.4324917726729238,0.6085908269212565,0.9839919059377225,0.9816397843802692,0.9905163690812598,0.9767067794595182,0.8195609020788899,1.0,0.5783514361090565,0.29218576998254614,0.6985242370972289,0.4497839494017939,0.8944220060401185,0.20950198023044558,0.20950198023044558,-0.7431699941271676,0.2799180628116835,-0.7678016799487823,0.15152296067204257,0.8448456189765953,0.6985242370972289,0.42541791482045277,0.42235285817095025,,
max_temp (°C),-0.2695228622664324,0.11894138823207871,0.5806673274299212,0.5970822219289406,0.5624586824763586,0.6162074144979012,0.6320182817643295,0.5783514361090565,1.0,0.7584005155941241,0.4548528552727651,-0.010494481031024608,0.5951564122418647,-0.24694363046694073,-0.24694363046694073,-0.16819408068772065,-0.37501343518258606,-0.2090908306914401,0.7020071964462309,0.8786681971061281,0.4548528552727651,0.024111412094241887,-0.033566687383467866,,
max_uv (Index),-0.666973378237133,-0.21456476439274685,0.298726000730685,0.3150472999757566,0.2737577470900932,0.36199236443659516,0.4554034392283877,0.29218576998254614,0.7584005155941241,1.0,0.306504211564576,-0.030261051575314453,0.20483360779923365,-0.35186462659633094,-0.35186462659633094,0.1366931356547992,-0.566981787974501,0.10285977764336084,0.9334358290398495,0.5263541226238998,0.306504211564576,0.011158425527294456,-0.04642802539241606,,
