Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,366,0,87,"[0.0, 0.01, 0.01]"
Date ,object,366,0,366,"['2024-01-01', '2024-01-02', '2024-01-03']"
dewpt (°C),float64,366,0,158,"[15.9, 16.0, 14.3]"
dhi (W/m²),int64,366,0,17,"[40, 40, 40]"
dni (W/m²),int64,366,0,111,"[331, 331, 331]"
ghi (W/m²),int64,366,0,154,"[204, 205, 205]"
max_dhi (W/m²),int64,366,0,16,"[114, 114, 114]"
max_dni (W/m²),int64,366,0,55,"[901, 902, 902]"
max_ghi (W/m²),int64,366,0,205,"[730, 731, 733]"
max_temp (°C),float64,366,0,49,"[27.0, 25.9, 25.6]"
max_uv (Index),float64,366,0,95,"[5.8, 5.9, 5.5]"
max_wind_dir (°),int64,366,0,202,"[219, 182, 66]"
max_wind_spd (m/s),float64,366,0,15,"[2.4, 2.8, 3.6]"
min_temp (°C),float64,366,0,56,"[15.2, 15.6, 14.1]"
precip (mm),float64,366,0,59,"[0.0, 0.0, 0.0]"
precip_gpm (mm/hr),float64,366,0,59,"[0.0, 0.0, 0.0]"
pres (hPa),int64,366,0,22,"[1011, 1011, 1011]"
rh (%),float64,366,0,63,"[0.77, 0.79, 0.75]"
slp (hPa),int64,366,0,23,"[1014, 1014, 1014]"
solar_rad (W/m²),int64,366,0,204,"[204, 205, 205]"
temp (°C),float64,366,0,149,"[20.4, 20.0, 19.1]"
wind_dir (°),int64,366,0,202,"[219, 182, 66]"
wind_gust_spd (m/s),float64,366,0,28,"[4.8, 5.6, 6.8]"
wind_spd (m/s),float64,366,0,40,"[1.8, 2.2, 2.3]"
market_name (Text),object,366,0,1,"['Dholka', 'Dholka', 'Dholka']"
query_lat (°),float64,366,0,1,"[22.7212505077608, 22.7212505077608, 22.7212505077608]"
query_lon (°),float64,366,0,1,"[72.448905310359, 72.448905310359, 72.448905310359]"
