clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),market_name (Text),query_lat (°),query_lon (°)
0.0,2024-01-01,15.9,40,331,204,114,901,730,27.0,5.8,219,2.4,15.2,0.0,0.0,1011,0.77,1014,204,20.4,219,4.8,1.8,Dholka,22.7212505077608,72.448905310359
0.01,2024-01-02,16.0,40,331,205,114,902,731,25.9,5.9,182,2.8,15.6,0.0,0.0,1011,0.79,1014,205,20.0,182,5.6,2.2,Dholka,22.7212505077608,72.448905310359
0.01,2024-01-03,14.3,40,331,205,114,902,733,25.6,5.5,66,3.6,14.1,0.0,0.0,1011,0.75,1014,205,19.1,66,6.8,2.3,Dholka,22.7212505077608,72.448905310359
0.0,2024-01-04,13.8,40,332,206,114,903,734,25.6,5.9,42,4.0,15.2,0.0,0.0,1011,0.73,1014,206,19.2,42,7.6,3.0,Dholka,22.7212505077608,72.448905310359
0.15,2024-01-05,13.3,40,332,207,114,903,736,25.6,5.9,31,4.0,14.1,0.0,0.0,1012,0.71,1015,202,18.9,31,6.8,2.6,Dholka,22.7212505077608,72.448905310359
0.01,2024-01-06,13.1,40,332,207,114,903,737,24.8,6.0,42,4.0,14.8,0.0,0.0,1013,0.71,1016,207,18.8,42,8.0,3.2,Dholka,22.7212505077608,72.448905310359
0.11,2024-01-07,13.7,40,333,208,114,904,739,25.9,5.6,47,4.8,15.6,0.0,0.0,1013,0.68,1016,208,19.9,47,9.2,3.7,Dholka,22.7212505077608,72.448905310359
0.37,2024-01-08,17.0,41,333,209,114,905,741,26.3,4.7,64,3.6,17.8,0.0,0.0,1012,0.77,1015,199,21.4,64,6.8,3.1,Dholka,22.7212505077608,72.448905310359
0.24,2024-01-09,16.1,41,334,209,115,905,743,26.7,4.7,131,4.4,18.5,0.0,0.0,1012,0.69,1015,208,22.1,131,8.8,3.4,Dholka,22.7212505077608,72.448905310359
0.05,2024-01-10,16.6,41,334,210,115,906,745,26.7,5.7,38,4.0,18.5,0.0,0.0,1012,0.72,1015,210,22.0,38,7.6,2.9,Dholka,22.7212505077608,72.448905310359
0.0,2024-01-11,16.7,41,335,211,115,906,747,27.8,6.1,27,3.2,16.7,0.0,0.0,1013,0.75,1016,211,21.5,27,6.4,2.4,Dholka,22.7212505077608,72.448905310359
0.01,2024-01-12,16.6,41,335,212,115,907,749,29.3,6.1,119,2.8,15.9,0.0,0.0,1012,0.75,1015,212,21.8,119,6.0,2.0,Dholka,22.7212505077608,72.448905310359
0.0,2024-01-13,14.5,41,336,213,115,908,751,28.9,6.1,268,2.8,15.9,0.0,0.0,1012,0.67,1015,213,21.5,268,6.0,2.3,Dholka,22.7212505077608,72.448905310359
0.0,2024-01-14,9.8,41,336,214,115,908,754,27.8,6.2,335,3.2,13.3,0.0,0.0,1013,0.54,1016,214,19.8,335,6.4,2.4,Dholka,22.7212505077608,72.448905310359
0.0,2024-01-15,10.9,41,337,215,115,909,756,27.0,6.2,225,2.8,11.9,0.0,0.0,1012,0.61,1015,215,19.0,225,4.0,1.7,Dholka,22.7212505077608,72.448905310359
0.16,2024-01-16,10.6,41,337,216,115,910,759,27.4,5.9,329,2.8,13.0,0.0,0.0,1009,0.58,1012,211,20.0,329,4.4,1.6,Dholka,22.7212505077608,72.448905310359
0.78,2024-01-17,13.0,41,338,217,116,910,761,27.8,3.6,288,2.8,13.0,0.0,0.0,1009,0.67,1012,145,19.6,288,4.8,1.9,Dholka,22.7212505077608,72.448905310359
0.01,2024-01-18,14.0,41,339,218,116,911,764,27.0,6.3,95,2.8,14.1,0.0,0.0,1011,0.72,1014,218,19.8,95,5.2,2.3,Dholka,22.7212505077608,72.448905310359
0.01,2024-01-19,12.2,41,339,219,116,912,767,27.4,6.4,70,3.6,15.2,0.0,0.0,1011,0.62,1014,219,20.3,70,7.6,2.8,Dholka,22.7212505077608,72.448905310359
0.2,2024-01-20,10.7,42,340,220,116,913,770,27.0,6.4,115,3.6,14.1,0.0,0.0,1013,0.59,1016,218,19.4,115,6.8,2.6,Dholka,22.7212505077608,72.448905310359
0.51,2024-01-21,10.0,42,341,221,116,913,773,26.3,2.3,50,3.6,14.8,0.0,0.0,1014,0.56,1017,98,19.4,50,7.2,2.9,Dholka,22.7212505077608,72.448905310359
0.39,2024-01-22,9.5,42,342,222,116,914,776,26.7,5.8,44,3.2,13.0,0.0,0.0,1014,0.57,1017,215,18.8,44,6.4,2.5,Dholka,22.7212505077608,72.448905310359
0.0,2024-01-23,10.5,42,342,223,117,915,779,27.0,6.5,35,2.4,12.2,0.0,0.0,1014,0.61,1017,223,18.9,35,5.6,2.1,Dholka,22.7212505077608,72.448905310359
0.0,2024-01-24,11.4,42,343,225,117,916,782,27.4,6.6,43,2.8,13.0,0.0,0.0,1013,0.63,1016,225,19.6,43,4.8,2.0,Dholka,22.7212505077608,72.448905310359
0.18,2024-01-25,11.0,42,344,226,117,916,785,27.4,6.5,57,3.2,12.2,0.0,0.0,1014,0.61,1017,225,19.7,57,6.4,2.2,Dholka,22.7212505077608,72.448905310359
0.39,2024-01-26,11.4,42,345,227,117,917,789,27.8,6.5,49,3.2,13.7,0.0,0.0,1015,0.61,1018,174,19.7,49,6.0,2.4,Dholka,22.7212505077608,72.448905310359
0.53,2024-01-27,11.7,42,346,229,117,918,792,28.5,3.3,49,3.2,14.1,0.0,0.0,1015,0.59,1018,175,20.6,49,5.6,2.3,Dholka,22.7212505077608,72.448905310359
0.68,2024-01-28,12.2,42,346,230,117,919,796,29.6,4.7,169,2.8,12.6,0.0,0.0,1013,0.62,1016,195,20.5,169,4.4,2.0,Dholka,22.7212505077608,72.448905310359
0.49,2024-01-29,12.4,43,347,231,118,920,799,27.4,6.8,327,2.8,14.4,0.0,0.0,1014,0.61,1017,210,20.4,327,5.2,2.2,Dholka,22.7212505077608,72.448905310359
0.89,2024-01-30,13.7,43,348,233,118,921,803,28.9,2.4,141,2.4,15.9,0.0,0.0,1012,0.61,1015,71,22.0,141,4.4,1.3,Dholka,22.7212505077608,72.448905310359
0.91,2024-01-31,15.3,43,349,234,118,921,806,27.8,2.3,225,2.4,15.9,0.3,0.3,1012,0.69,1015,78,21.6,225,4.0,1.3,Dholka,22.7212505077608,72.448905310359
0.18,2024-02-01,16.7,43,350,235,118,922,810,28.5,6.5,287,2.8,18.5,0.0,0.0,1012,0.71,1015,235,22.7,287,6.4,2.1,Dholka,22.7212505077608,72.448905310359
0.18,2024-02-02,15.6,43,351,237,118,923,814,29.6,7.0,52,2.4,17.0,0.0,0.0,1013,0.66,1016,237,22.9,52,4.4,1.2,Dholka,22.7212505077608,72.448905310359
0.01,2024-02-03,15.6,43,352,238,119,924,817,30.0,7.1,118,2.8,16.7,0.0,0.0,1013,0.66,1016,238,22.9,118,5.6,1.9,Dholka,22.7212505077608,72.448905310359
0.0,2024-02-04,16.4,43,353,240,119,925,821,31.5,7.1,191,2.8,18.9,1.0,1.0,1013,0.62,1015,240,24.6,191,5.2,1.6,Dholka,22.7212505077608,72.448905310359
0.01,2024-02-05,17.7,44,354,241,119,926,825,28.5,7.0,276,2.8,19.3,0.0,0.0,1013,0.7,1016,241,23.8,276,6.4,2.2,Dholka,22.7212505077608,72.448905310359
0.05,2024-02-06,15.6,44,355,243,119,926,829,28.5,7.2,101,2.4,18.5,0.8,0.8,1014,0.64,1017,243,23.1,101,4.4,1.7,Dholka,22.7212505077608,72.448905310359
0.47,2024-02-07,15.1,44,356,244,119,927,833,28.5,5.7,262,4.0,18.1,0.8,0.8,1015,0.63,1018,229,22.9,262,7.6,2.5,Dholka,22.7212505077608,72.448905310359
0.81,2024-02-08,12.8,44,357,246,120,928,837,27.0,5.9,36,5.2,18.5,0.0,0.0,1015,0.57,1018,185,22.1,36,10.0,3.4,Dholka,22.7212505077608,72.448905310359
0.42,2024-02-09,10.6,44,358,247,120,929,841,28.1,7.5,48,3.2,15.2,0.0,0.0,1014,0.53,1017,235,20.9,48,6.8,2.3,Dholka,22.7212505077608,72.448905310359
0.02,2024-02-10,10.5,44,359,249,120,930,845,27.8,7.5,103,4.4,14.8,0.0,0.0,1014,0.53,1017,249,20.7,103,8.0,2.8,Dholka,22.7212505077608,72.448905310359
0.36,2024-02-11,10.6,45,360,251,120,931,849,28.5,7.4,66,4.4,15.6,0.0,0.0,1015,0.52,1018,236,21.3,66,8.8,3.0,Dholka,22.7212505077608,72.448905310359
0.97,2024-02-12,11.8,45,361,252,120,931,853,27.8,2.4,130,3.6,15.9,0.0,0.0,1013,0.55,1016,79,21.5,130,7.2,2.5,Dholka,22.7212505077608,72.448905310359
0.92,2024-02-13,12.1,45,362,254,121,932,857,27.8,2.5,203,3.2,17.0,0.0,0.0,1013,0.54,1016,77,21.9,203,5.6,2.2,Dholka,22.7212505077608,72.448905310359
0.09,2024-02-14,10.8,45,364,256,121,933,861,28.5,7.8,282,3.2,16.7,0.0,0.0,1013,0.49,1016,256,22.3,282,5.6,2.4,Dholka,22.7212505077608,72.448905310359
0.0,2024-02-15,13.9,45,365,257,121,934,865,30.4,7.9,69,4.4,17.0,0.0,0.0,1013,0.56,1016,257,23.4,69,8.8,3.2,Dholka,22.7212505077608,72.448905310359
0.01,2024-02-16,14.6,46,366,259,121,935,869,31.1,7.9,48,4.8,19.6,0.0,0.0,1013,0.54,1016,259,24.8,48,9.6,3.7,Dholka,22.7212505077608,72.448905310359
0.23,2024-02-17,15.8,46,368,261,121,935,873,33.0,7.5,102,3.2,20.0,0.0,0.0,1011,0.56,1013,245,25.6,102,6.4,2.5,Dholka,22.7212505077608,72.448905310359
0.05,2024-02-18,13.3,46,369,262,122,936,877,33.7,8.1,177,3.2,17.8,0.0,0.0,1009,0.49,1011,262,25.7,177,5.6,1.9,Dholka,22.7212505077608,72.448905310359
0.65,2024-02-19,12.0,46,370,264,122,937,881,33.7,5.0,255,4.4,18.5,0.0,0.0,1008,0.45,1011,219,25.6,255,8.8,2.9,Dholka,22.7212505077608,72.448905310359
0.33,2024-02-20,16.6,46,372,266,122,937,885,31.5,8.1,259,2.4,18.5,0.0,0.0,1009,0.64,1012,243,24.6,259,5.6,1.9,Dholka,22.7212505077608,72.448905310359
0.36,2024-02-21,17.1,46,373,267,122,938,889,29.6,7.3,283,3.6,21.1,0.0,0.0,1009,0.65,1012,244,24.8,283,7.6,3.0,Dholka,22.7212505077608,72.448905310359
