,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s),query_lat (°),query_lon (°)
clouds (%),1.0,0.58064018288372,0.42297482823623167,0.4148383861822094,0.4461301736592705,0.39577855819495594,0.24545325782839283,0.4375291560434141,-0.11695399440021807,-0.6268114701087142,0.1864866987002455,0.3025238644287755,0.3987925425937245,0.46531854377810905,0.46531854377810905,-0.5717845581812903,0.6089918271733412,-0.5706137141060286,-0.6909484940629381,0.19680349201859643,0.1864866987002455,0.34657140613817283,0.2839415640278262,,
dewpt (°C),0.58064018288372,1.0,0.6349885850560134,0.6324845119538541,0.6598705559196205,0.5683336561745685,0.3401141027237887,0.6422355557345022,0.36963154912756335,-0.128257545154962,0.2786599681254873,0.26716110626691697,0.8267949043012525,0.35065802761118564,0.35065802761118564,-0.8009425768540847,0.6769536591648506,-0.8007754543955131,-0.17275483627612698,0.6736842589760046,0.2786599681254873,0.3214312507906458,0.20022388480441575,,
dhi (W/m²),0.42297482823623167,0.6349885850560134,1.0,0.9982019737464838,0.9969943694776594,0.9483577503749497,0.7969133398794351,0.9843944337920117,0.7148081400317714,0.3447174590537473,0.5602115216082465,0.4670343111745803,0.8846884438063911,0.21405478241159973,0.21405478241159973,-0.837365020574471,0.010945505303208553,-0.8371012054098961,0.2165559475734495,0.8707774554477734,0.5602115216082465,0.4489841956113212,0.35502764900778916,,
dni (W/m²),0.4148383861822094,0.6324845119538541,0.9982019737464838,1.0,0.9968409034176212,0.9445673867362593,0.7895586437583751,0.9820542452499441,0.7220188242719527,0.35018569989995135,0.5521427384041132,0.46388339224484954,0.8847219195504208,0.20623006039837194,0.20623006039837194,-0.836931155144848,0.0037195536090958484,-0.836922781640455,0.22208218653553508,0.8739766712552722,0.5521427384041132,0.4478595486219702,0.3509201455566118,,
ghi (W/m²),0.4461301736592705,0.6598705559196205,0.9969943694776594,0.9968409034176212,1.0,0.9569436500770757,0.8062529519623303,0.9912690981908007,0.7026321559221658,0.32363451536037874,0.5645984450991413,0.45323532740382066,0.8929520757668788,0.22473397101814702,0.22473397101814702,-0.8420857160256889,0.04486859557195147,-0.8419671501562678,0.19824385153523982,0.8712156406245821,0.5645984450991413,0.44121652100369535,0.340707825095448,,
max_dhi (W/m²),0.39577855819495594,0.5683336561745685,0.9483577503749497,0.9445673867362593,0.9569436500770757,1.0,0.9369607137875761,0.984295017074848,0.6942267771147783,0.3654849483860003,0.5877373084385131,0.347348855582114,0.8277837597838997,0.19756112453953126,0.19756112453953126,-0.7122418165067652,-0.03717731986298165,-0.7127365055926965,0.24341826465553765,0.834371850214152,0.5877373084385131,0.33455718878316304,0.2293022426962255,,
max_dni (W/m²),0.24545325782839283,0.3401141027237887,0.7969133398794351,0.7895586437583751,0.8062529519623303,0.9369607137875761,1.0,0.8692235576371207,0.6389474611347532,0.4362571279377689,0.561566864418837,0.20207044383292758,0.6435271881479856,0.10496531078243676,0.10496531078243676,-0.45765874362213116,-0.21262214734680518,-0.4587592883554362,0.3281437456849797,0.7021190186742787,0.561566864418837,0.1735147174804468,0.08210460530061689,,
max_ghi (W/m²),0.4375291560434141,0.6422355557345022,0.9843944337920117,0.9820542452499441,0.9912690981908007,0.984295017074848,0.8692235576371207,1.0,0.7030161838397248,0.33537548251259697,0.5820386149912581,0.4068926415242961,0.881560519460415,0.22285078142634426,0.22285078142634426,-0.8009555012107874,0.027573906152051637,-0.8011018922764915,0.21153793778885252,0.8675528733130955,0.5820386149912581,0.3973846131078135,0.2915829467689321,,
max_temp (°C),-0.11695399440021807,0.36963154912756335,0.7148081400317714,0.7220188242719527,0.7026321559221658,0.6942267771147783,0.6389474611347532,0.7030161838397248,1.0,0.6928817797164912,0.4029185924888844,0.13090063416738307,0.7533206711846422,-0.17779151527658862,-0.17779151527658862,-0.49740950285183266,-0.4133632451949208,-0.49807795625336226,0.6382918588136524,0.9140696964448749,0.4029185924888844,0.09802925758054075,0.006791651765243572,,
max_uv (Index),-0.6268114701087142,-0.128257545154962,0.3447174590537473,0.35018569989995135,0.32363451536037874,0.3654849483860003,0.4362571279377689,0.33537548251259697,0.6928817797164912,1.0,0.27071565184148666,0.03473039662795631,0.2766803983548674,-0.3283827825728903,-0.3283827825728903,-0.021924809746226605,-0.6615000285148693,-0.02215555943923751,0.9325805987124641,0.48379128670339555,0.27071565184148666,-0.03260388332740581,-0.06229395133932307,,
max_wind_dir (°),0.1864866987002455,0.2786599681254873,0.5602115216082465,0.5521427384041132,0.5645984450991413,0.5877373084385131,0.561566864418837,0.5820386149912581,0.4029185924888844,0.27071565184148666,1.0,0.11641599044305773,0.47764840468431713,0.12094854856620126,0.12094854856620126,-0.4271422077432831,-0.07737505998054732,-0.4287613014771188,0.20035203017886785,0.48466362549039066,1.0,0.08966532654485528,0.0481960002727568,,
max_wind_spd (m/s),0.3025238644287755,0.26716110626691697,0.4670343111745803,0.46388339224484954,0.45323532740382066,0.347348855582114,0.20207044383292758,0.4068926415242961,0.13090063416738307,0.03473039662795631,0.11641599044305773,1.0,0.37649270589837036,0.27712506662691955,0.27712506662691955,-0.520721054489269,0.09237687089694793,-0.5201945326962291,-0.04677541781354956,0.27433371258526285,0.1164159904430577,0.9019575835472573,0.9096355709753534,,
min_temp (°C),0.3987925425937245,0.8267949043012525,0.8846884438063911,0.8847219195504208,0.8929520757668788,0.8277837597838997,0.6435271881479856,0.881560519460415,0.7533206711846422,0.2766803983548674,0.47764840468431713,0.37649270589837036,1.0,0.19847082004946962,0.19847082004946962,-0.844490379114939,0.17647235959093865,-0.844134882601959,0.19840026471402547,0.9516935114358089,0.47764840468431713,0.39345404893000663,0.2709906431589116,,
precip (mm),0.46531854377810905,0.35065802761118564,0.21405478241159973,0.20623006039837194,0.22473397101814702,0.19756112453953126,0.10496531078243676,0.22285078142634426,-0.17779151527658862,-0.3283827825728903,0.12094854856620126,0.27712506662691955,0.19847082004946962,1.0,1.0,-0.38827364220919675,0.4652386059780284,-0.39031088681262543,-0.4687063660075121,0.04952381643480934,0.12094854856620126,0.25903251589151033,0.269353454601705,,
precip_gpm (mm/hr),0.46531854377810905,0.35065802761118564,0.21405478241159973,0.20623006039837194,0.22473397101814702,0.19756112453953126,0.10496531078243676,0.22285078142634426,-0.17779151527658862,-0.3283827825728903,0.12094854856620126,0.27712506662691955,0.19847082004946962,1.0,1.0,-0.38827364220919675,0.4652386059780284,-0.39031088681262543,-0.4687063660075121,0.04952381643480934,0.12094854856620126,0.25903251589151033,0.269353454601705,,
pres (hPa),-0.5717845581812903,-0.8009425768540847,-0.837365020574471,-0.836931155144848,-0.8420857160256889,-0.7122418165067652,-0.45765874362213116,-0.8009555012107874,-0.49740950285183266,-0.021924809746226605,-0.4271422077432831,-0.520721054489269,-0.844490379114939,-0.38827364220919675,-0.38827364220919675,1.0,-0.3657262377433979,0.9981768053669804,0.08503647117571031,-0.7397320029366947,-0.42714220774328326,-0.5287589904573284,-0.45313630198907817,,
rh (%),0.6089918271733412,0.6769536591648506,0.010945505303208553,0.0037195536090958484,0.04486859557195147,-0.03717731986298165,-0.21262214734680518,0.027573906152051637,-0.4133632451949208,-0.6615000285148693,-0.07737505998054732,0.09237687089694793,0.17647235959093865,0.4652386059780284,0.4652386059780284,-0.3657262377433979,1.0,-0.3656354025611376,-0.6617583640018004,-0.08090610091812048,-0.0773750599805473,0.17307847207531363,0.12836334916014927,,
slp (hPa),-0.5706137141060286,-0.8007754543955131,-0.8371012054098961,-0.836922781640455,-0.8419671501562678,-0.7127365055926965,-0.4587592883554362,-0.8011018922764915,-0.49807795625336226,-0.02215555943923751,-0.4287613014771188,-0.5201945326962291,-0.844134882601959,-0.39031088681262543,-0.39031088681262543,0.9981768053669804,-0.3656354025611376,1.0,0.08522173256024926,-0.739866945091841,-0.4287613014771188,-0.5274926675118894,-0.45266784952042205,,
solar_rad (W/m²),-0.6909484940629381,-0.17275483627612698,0.2165559475734495,0.22208218653553508,0.19824385153523982,0.24341826465553765,0.3281437456849797,0.21153793778885252,0.6382918588136524,0.9325805987124641,0.20035203017886785,-0.04677541781354956,0.19840026471402547,-0.4687063660075121,-0.4687063660075121,0.08503647117571031,-0.6617583640018004,0.08522173256024926,1.0,0.4092449540721203,0.20035203017886782,-0.09660614128907306,-0.12046803068695908,,
temp (°C),0.19680349201859643,0.6736842589760046,0.8707774554477734,0.8739766712552722,0.8712156406245821,0.834371850214152,0.7021190186742787,0.8675528733130955,0.9140696964448749,0.48379128670339555,0.48466362549039066,0.27433371258526285,0.9516935114358089,0.04952381643480934,0.04952381643480934,-0.7397320029366947,-0.08090610091812048,-0.739866945091841,0.4092449540721203,1.0,0.48466362549039077,0.2677244681138208,0.1503664276261306,,
wind_dir (°),0.1864866987002455,0.2786599681254873,0.5602115216082465,0.5521427384041132,0.5645984450991413,0.5877373084385131,0.561566864418837,0.5820386149912581,0.4029185924888844,0.27071565184148666,1.0,0.1164159904430577,0.47764840468431713,0.12094854856620126,0.12094854856620126,-0.42714220774328326,-0.0773750599805473,-0.4287613014771188,0.20035203017886782,0.48466362549039077,1.0,0.08966532654485528,0.0481960002727568,,
