clouds (%),Date ,dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s)
0.0,2024-01-01,17.7,41,340,215,116,910,759,29.3,6.3,156,3.2,19.3,0.0,0.0,1010,0.71,1014,215,23.6,156,6.4,2.4
0.0,2024-01-02,17.5,41,340,216,116,910,760,27.8,6.3,161,3.2,17.8,0.0,0.0,1010,0.76,1013,216,22.1,161,6.0,2.2
0.05,2024-01-03,17.0,42,340,216,116,911,762,27.0,6.2,112,3.2,16.7,0.0,0.0,1009,0.78,1013,215,21.4,112,6.8,2.6
0.02,2024-01-04,16.7,42,340,217,116,911,763,27.4,6.3,133,4.0,16.7,0.0,0.0,1010,0.75,1013,216,21.7,133,7.2,2.9
0.01,2024-01-05,15.6,42,341,217,116,911,764,27.0,6.2,73,4.4,16.7,0.0,0.0,1010,0.71,1013,217,21.5,73,7.2,3.2
0.13,2024-01-06,15.5,42,341,218,116,912,766,27.0,6.3,28,3.6,16.7,0.0,0.0,1011,0.7,1014,217,21.4,28,7.2,3.2
0.45,2024-01-07,17.0,42,341,218,116,912,768,28.5,5.4,43,4.0,18.1,0.0,0.0,1011,0.71,1014,216,22.6,43,8.4,3.1
0.19,2024-01-08,18.4,42,342,219,116,913,769,30.0,6.4,105,4.0,20.0,0.0,0.0,1010,0.71,1014,219,24.3,105,7.6,2.7
0.21,2024-01-09,18.3,42,342,220,116,913,771,29.3,5.8,18,4.0,20.4,0.0,0.0,1011,0.71,1014,218,24.1,18,7.2,3.1
0.15,2024-01-10,18.9,42,342,221,117,914,773,28.9,5.6,20,3.6,20.4,0.0,0.0,1011,0.73,1014,220,24.2,20,6.8,2.7
0.03,2024-01-11,19.5,42,343,221,117,915,775,30.0,6.5,23,4.0,20.0,0.0,0.0,1011,0.75,1015,221,24.4,23,6.4,2.8
0.03,2024-01-12,19.5,42,343,222,117,915,777,32.2,6.5,126,3.6,20.4,0.0,0.0,1011,0.71,1014,222,25.5,126,6.8,2.7
