,clouds (%),dewpt (°C),dhi (W/m²),dni (W/m²),ghi (W/m²),max_dhi (W/m²),max_dni (W/m²),max_ghi (W/m²),max_temp (°C),max_uv (Index),max_wind_dir (°),max_wind_spd (m/s),min_temp (°C),precip (mm),precip_gpm (mm/hr),pres (hPa),rh (%),slp (hPa),solar_rad (W/m²),temp (°C),wind_dir (°),wind_gust_spd (m/s),wind_spd (m/s)
clouds (%),1.0,0.5952492372634595,0.4057558970477638,0.39451659572212483,0.4263569187680132,0.30398127821935406,0.07636792056847014,0.4020134345149737,-0.28662969951237055,-0.7012538596517062,0.2742732531719161,0.43116240510718334,0.4328531439158934,0.522009587806802,0.522009587806802,-0.6254607213401027,0.7222729172107188,-0.6277056020721652,-0.7651875698573032,0.14834757663830478,0.2742732531719161,0.4541811113146486,0.41757495104070486
dewpt (°C),0.5952492372634595,1.0,0.6875936810514861,0.6885210654587007,0.7152296825362167,0.5943547976708005,0.31161826229247835,0.6944338654364648,0.2688529861381599,-0.12409089864342913,0.45797002341688553,0.40450044644749394,0.8837076390833997,0.3569042151164915,0.3569042151164915,-0.8043623351446129,0.8024144104720269,-0.8087108511401578,-0.19747221648895485,0.6999288878701361,0.45797002341688553,0.4127087213995365,0.3734205824969675
dhi (W/m²),0.4057558970477638,0.6875936810514861,1.0,0.9968389468978075,0.99662059131261,0.9329400924428588,0.7125733700410524,0.9825315237504656,0.49463269074336247,0.2528347578880191,0.6502471096135362,0.5378143862836401,0.8341184017264287,0.23813619655296536,0.23813619655296536,-0.81439346250382,0.3194175692736437,-0.8150685107028383,0.08808152884484893,0.7977910435533664,0.6502471096135362,0.5199056582705212,0.4706014130354752
dni (W/m²),0.39451659572212483,0.6885210654587007,0.9968389468978075,1.0,0.9949111694058032,0.919811816624858,0.6901257936552033,0.9750428201433835,0.5109794107859946,0.26155094556494174,0.6428064345279826,0.5448684441442633,0.8397146352480902,0.2262518974765033,0.2262518974765033,-0.8181646957061659,0.30876305069307153,-0.818780175147647,0.10017769785097042,0.8085830895486751,0.6428064345279826,0.5255859776606608,0.4760114010769891
ghi (W/m²),0.4263569187680132,0.7152296825362167,0.99662059131261,0.9949111694058032,1.0,0.9407173028956405,0.7214254208800472,0.9899442730404213,0.49104697415762366,0.23643500514288315,0.6622567807363852,0.524001778799467,0.8499844086065094,0.2490858294040039,0.2490858294040039,-0.8203754603746802,0.35041111297078975,-0.8214087900562957,0.07552996970818183,0.8056726926844747,0.6622567807363852,0.5096089121699957,0.4559824609240652
max_dhi (W/m²),0.30398127821935406,0.5943547976708005,0.9329400924428588,0.919811816624858,0.9407173028956405,1.0,0.9075297578213464,0.9754653108336274,0.5436929538632123,0.33885475483333205,0.6804759972988819,0.33672542596222976,0.7477690346359814,0.18815158065156273,0.18815158065156273,-0.6479733099496771,0.22107502811435042,-0.6500469567939264,0.17686698127828837,0.7679731713290622,0.6804759972988819,0.32840731084379765,0.26407367016269423
max_dni (W/m²),0.07636792056847014,0.31161826229247835,0.7125733700410524,0.6901257936552033,0.7214254208800472,0.9075297578213464,1.0,0.8019439552285594,0.5302474738520053,0.44670572934565084,0.6057523535267652,0.06452089599660528,0.4776734049040768,0.059666572424885156,0.059666572424885156,-0.3086410401620209,-0.020656246341567815,-0.31093505203750704,0.3052366573924396,0.5876806710887854,0.6057523535267652,0.05671780025795815,-0.008311931963205467
max_ghi (W/m²),0.4020134345149737,0.6944338654364648,0.9825315237504656,0.9750428201433835,0.9899442730404213,0.9754653108336274,0.8019439552285594,1.0,0.5082219172028112,0.2623815342799209,0.679290609791392,0.4523338536005724,0.8307933124969668,0.24123098159062922,0.24123098159062922,-0.7711904663331894,0.3278836252440169,-0.7727466089006578,0.09982864500727831,0.8027864821873302,0.679290609791392,0.444189987257997,0.3833859839822143
max_temp (°C),-0.28662969951237055,0.2688529861381599,0.49463269074336247,0.5109794107859946,0.49104697415762366,0.5436929538632123,0.5302474738520053,0.5082219172028112,1.0,0.649465723544024,0.24862557515192074,-0.09748654289716543,0.5601001188889245,-0.28367812742300874,-0.28367812742300874,-0.236252785672354,-0.330583156920906,-0.2360993809894743,0.6264962565635933,0.8381337691659074,0.24862557515192074,-0.12445013018346092,-0.16294146800195866
max_uv (Index),-0.7012538596517062,-0.12409089864342913,0.2528347578880191,0.26155094556494174,0.23643500514288315,0.33885475483333205,0.44670572934565084,0.2623815342799209,0.649465723544024,1.0,0.18158442147566345,-0.10207486276544536,0.1418851082868532,-0.4051456090307895,-0.4051456090307895,0.11599345140270023,-0.5192828904014238,0.11672766203019441,0.929677131087439,0.4092019596331603,0.18158442147566345,-0.13341430037015659,-0.13867936200964484
max_wind_dir (°),0.2742732531719161,0.45797002341688553,0.6502471096135362,0.6428064345279826,0.6622567807363852,0.6804759972988819,0.6057523535267652,0.679290609791392,0.24862557515192074,0.18158442147566345,1.0,0.20690509999508866,0.5144309213904589,0.16237050904477013,0.16237050904477013,-0.4816265073935592,0.2623611039450245,-0.4823817416039266,0.09637081917518144,0.47053072000275936,1.0,0.1939291925024782,0.14650014131899086
max_wind_spd (m/s),0.43116240510718334,0.40450044644749394,0.5378143862836401,0.5448684441442633,0.524001778799467,0.33672542596222976,0.06452089599660528,0.4523338536005724,-0.09748654289716543,-0.10207486276544536,0.20690509999508866,1.0,0.4220095057096308,0.23716654513402374,0.23716654513402374,-0.6344943270882739,0.3736040184579295,-0.6320749093355574,-0.202664763362399,0.23573331120371085,0.2069050999950887,0.9544436390755695,0.9558375996921511
min_temp (°C),0.4328531439158934,0.8837076390833997,0.8341184017264287,0.8397146352480902,0.8499844086065094,0.7477690346359814,0.4776734049040768,0.8307933124969668,0.5601001188889245,0.1418851082868532,0.5144309213904589,0.4220095057096308,1.0,0.22389886307562573,0.22389886307562573,-0.8202774175647519,0.4703640232036421,-0.8222565692355157,0.053006700921150375,0.916023905565102,0.5144309213904589,0.43199502744120916,0.38035319287507835
precip (mm),0.522009587806802,0.3569042151164915,0.23813619655296536,0.2262518974765033,0.2490858294040039,0.18815158065156273,0.059666572424885156,0.24123098159062922,-0.28367812742300874,-0.4051456090307895,0.16237050904477013,0.23716654513402374,0.22389886307562573,1.0,1.0,-0.42868038761365646,0.5211259210563103,-0.42445647181309465,-0.5573342702917323,0.020411341182984738,0.1623705090447701,0.26843142964415556,0.23190223911400415
precip_gpm (mm/hr),0.522009587806802,0.3569042151164915,0.23813619655296536,0.2262518974765033,0.2490858294040039,0.18815158065156273,0.059666572424885156,0.24123098159062922,-0.28367812742300874,-0.4051456090307895,0.16237050904477013,0.23716654513402374,0.22389886307562573,1.0,1.0,-0.42868038761365646,0.5211259210563103,-0.42445647181309465,-0.5573342702917323,0.020411341182984738,0.1623705090447701,0.26843142964415556,0.23190223911400415
pres (hPa),-0.6254607213401027,-0.8043623351446129,-0.81439346250382,-0.8181646957061659,-0.8203754603746802,-0.6479733099496771,-0.3086410401620209,-0.7711904663331894,-0.236252785672354,0.11599345140270023,-0.4816265073935592,-0.6344943270882739,-0.8202774175647519,-0.42868038761365646,-0.42868038761365646,1.0,-0.597598092241892,0.9964403537748583,0.24819335511375434,-0.6524875398732665,-0.48162650739356,-0.629698124475581,-0.5905972360127664
rh (%),0.7222729172107188,0.8024144104720269,0.3194175692736437,0.30876305069307153,0.35041111297078975,0.22107502811435042,-0.020656246341567815,0.3278836252440169,-0.330583156920906,-0.5192828904014238,0.2623611039450245,0.3736040184579295,0.4703640232036421,0.5211259210563103,0.5211259210563103,-0.597598092241892,1.0,-0.601727342762916,-0.5763156699793922,0.14297409706504424,0.2623611039450245,0.3926536085747728,0.3814339795470657
