Column,Data Type,Non-Null Count,Null Count,Unique Values,Sample Values
clouds (%),float64,110,0,57,"[0.58, 0.48, 0.5]"
Date ,object,110,0,110,"['2024-09-13', '2024-09-14', '2024-09-15']"
dewpt (°C),float64,110,0,79,"[24.5, 23.8, 23.6]"
dhi (W/m²),int64,110,0,11,"[51, 51, 51]"
dni (W/m²),int64,110,0,61,"[400, 399, 398]"
ghi (W/m²),int64,110,0,87,"[322, 321, 320]"
max_dhi (W/m²),int64,110,0,12,"[126, 126, 126]"
max_dni (W/m²),int64,110,0,35,"[941, 941, 941]"
max_ghi (W/m²),int64,110,0,96,"[1014, 1012, 1010]"
max_temp (°C),float64,110,0,26,"[31.1, 30.4, 30.4]"
max_uv (Index),float64,110,0,45,"[7.0, 7.2, 7.6]"
max_wind_dir (°),int64,110,0,82,"[225, 213, 235]"
max_wind_spd (m/s),float64,110,0,9,"[4.8, 4.4, 4.0]"
min_temp (°C),float64,110,0,34,"[25.9, 24.4, 23.7]"
precip (mm),float64,110,0,23,"[0.0, 3.0, 0.0]"
precip_gpm (mm/hr),float64,110,0,23,"[0.0, 3.0, 0.0]"
pres (hPa),int64,110,0,14,"[998, 997, 998]"
rh (%),float64,110,0,47,"[0.82, 0.82, 0.82]"
slp (hPa),int64,110,0,14,"[1007, 1006, 1007]"
solar_rad (W/m²),int64,110,0,84,"[274, 280, 300]"
temp (°C),float64,110,0,58,"[27.9, 27.2, 27.2]"
wind_dir (°),int64,110,0,82,"[225, 213, 235]"
wind_gust_spd (m/s),float64,110,0,18,"[12.4, 10.4, 8.4]"
wind_spd (m/s),float64,110,0,25,"[3.7, 3.5, 2.9]"
market_name (Text),object,110,0,1,"['Kosamba_Vankal', 'Kosamba_Vankal', 'Kosamba_Vankal']"
query_lat (°),float64,110,0,1,"[21.43, 21.43, 21.43]"
query_lon (°),float64,110,0,1,"[73.23, 73.23, 73.23]"
